Dalata.3	Eguineensis.14001
Dalata.25115	Eguineensis.63
Dalata.100	Eguineensis.17242
Dalata.25113	Eguineensis.64
Dalata.25111	Eguineensis.65
Dalata.19872	Eguineensis.66
Dalata.102	Eguineensis.16188
Dalata.4170	Eguineensis.67
Dalata.105	Eguineensis.17236
Dalata.25107	Eguineensis.71
Dalata.5648	Eguineensis.72
Dalata.107	Eguineensis.17233
Dalata.4167	Eguineensis.73
Dalata.108	Eguineensis.17225
Dalata.25120	Eguineensis.75
Dalata.109	Eguineensis.17224
Dalata.110	Eguineensis.19852
Dalata.25101	Eguineensis.76
Dalata.113	Eguineensis.15563
Dalata.114	Eguineensis.17211
Dalata.115	Eguineensis.17212
Dalata.4165	Eguineensis.77
Dalata.116	Eguineensis.19858
Dalata.119	Eguineensis.6926
Dalata.121	Eguineensis.6921
Dalata.123	Eguineensis.19868
Dalata.126	Eguineensis.15487
Dalata.127	Eguineensis.6850
Dalata.25095	Eguineensis.86
Dalata.128	Eguineensis.17138
Dalata.130	Eguineensis.15473
Dalata.131	Eguineensis.19932
Dalata.132	Eguineensis.17143
Dalata.133	Eguineensis.17145
Dalata.5707	Eguineensis.89
Dalata.135	Eguineensis.19930
Dalata.4162	Eguineensis.90
Dalata.137	Eguineensis.23918
Dalata.138	Eguineensis.19949
Dalata.139	Eguineensis.19950
Dalata.4161	Eguineensis.91
Dalata.144	Eguineensis.17116
Dalata.149	Eguineensis.6883
Dalata.25091	Eguineensis.93
Dalata.19908	Eguineensis.94
Dalata.156	Eguineensis.19968
Dalata.25089	Eguineensis.96
Dalata.162	Eguineensis.17100
Dalata.4157	Eguineensis.97
Dalata.164	Eguineensis.17101
Dalata.4156	Eguineensis.100
Dalata.166	Eguineensis.6742
Dalata.25085	Eguineensis.102
Dalata.170	Eguineensis.17098
Dalata.171	Eguineensis.17093
Dalata.2417	Eguineensis.104
Dalata.172	Eguineensis.22289
Dalata.175	Eguineensis.19979
Dalata.176	Eguineensis.6724
Dalata.177	Eguineensis.17091
Dalata.25084	Eguineensis.105
Dalata.181	Eguineensis.16527
Dalata.182	Eguineensis.6700
Dalata.184	Eguineensis.16530
Dalata.186	Eguineensis.16531
Dalata.25072	Eguineensis.110
Dalata.187	Eguineensis.16533
Dalata.19926	Eguineensis.111
Dalata.4145	Eguineensis.114
Dalata.188	Eguineensis.16534
Dalata.4146	Eguineensis.117
Dalata.4147	Eguineensis.118
Dalata.189	Eguineensis.16536
Dalata.25066	Eguineensis.119
Dalata.5709	Eguineensis.120
Dalata.193	Eguineensis.19986
Dalata.194	Eguineensis.16539
Dalata.25059	Eguineensis.127
Dalata.25057	Eguineensis.129
Dalata.25055	Eguineensis.130
Dalata.25053	Eguineensis.132
Dalata.4148	Eguineensis.135
Dalata.25050	Eguineensis.136
Dalata.25049	Eguineensis.137
Dalata.211	Eguineensis.6678
Dalata.19946	Eguineensis.138
Dalata.4149	Eguineensis.139
Dalata.214	Eguineensis.20015
Dalata.25047	Eguineensis.141
Dalata.215	Eguineensis.16562
Dalata.220	Eguineensis.21956
Dalata.4140	Eguineensis.143
Dalata.4139	Eguineensis.144
Dalata.19950	Eguineensis.145
Dalata.221	Eguineensis.16565
Dalata.5727	Eguineensis.146
Dalata.222	Eguineensis.20007
Dalata.4136	Eguineensis.147
Dalata.4135	Eguineensis.148
Dalata.25043	Eguineensis.149
Dalata.223	Eguineensis.16484
Dalata.5730	Eguineensis.151
Dalata.25042	Eguineensis.152
Dalata.4131	Eguineensis.155
Dalata.4130	Eguineensis.157
Dalata.229	Eguineensis.16489
Dalata.4129	Eguineensis.159
Dalata.236	Eguineensis.16494
Dalata.238	Eguineensis.16505
Dalata.19980	Eguineensis.161
Dalata.24532	Eguineensis.167
Dalata.25032	Eguineensis.170
Dalata.25031	Eguineensis.172
Dalata.25029	Eguineensis.173
Dalata.4123	Eguineensis.174
Dalata.25027	Eguineensis.175
Dalata.25026	Eguineensis.176
Dalata.25024	Eguineensis.179
Dalata.270	Eguineensis.2044
Dalata.25022	Eguineensis.181
Dalata.25020	Eguineensis.184
Dalata.25017	Eguineensis.187
Dalata.25016	Eguineensis.188
Dalata.4116	Eguineensis.191
Dalata.25014	Eguineensis.193
Dalata.25013	Eguineensis.194
Dalata.25011	Eguineensis.196
Dalata.304	Eguineensis.19891
Dalata.306	Eguineensis.17186
Dalata.307	Eguineensis.19886
Dalata.4112	Eguineensis.201
Dalata.308	Eguineensis.19885
Dalata.4111	Eguineensis.202
Dalata.309	Eguineensis.19884
Dalata.25033	Eguineensis.203
Dalata.4109	Eguineensis.206
Dalata.311	Eguineensis.17188
Dalata.312	Eguineensis.11855
Dalata.313	Eguineensis.17193
Dalata.25037	Eguineensis.207
Dalata.316	Eguineensis.17195
Dalata.25038	Eguineensis.210
Dalata.319	Eguineensis.17126
Dalata.321	Eguineensis.17120
Dalata.14647	Eguineensis.213
Dalata.25040	Eguineensis.216
Dalata.330	Eguineensis.19928
Dalata.4100	Eguineensis.219
Dalata.5770	Eguineensis.220
Dalata.334	Eguineensis.19917
Dalata.335	Eguineensis.17163
Dalata.4095	Eguineensis.223
Dalata.342	Eguineensis.19911
Dalata.343	Eguineensis.19910
Dalata.5772	Eguineensis.225
Dalata.5773	Eguineensis.226
Dalata.344	Eguineensis.23151
Dalata.345	Eguineensis.17168
Dalata.4093	Eguineensis.233
Dalata.347	Eguineensis.6757
Dalata.348	Eguineensis.17176
Dalata.350	Eguineensis.15506
Dalata.353	Eguineensis.20016
Dalata.356	Eguineensis.20018
Dalata.357	Eguineensis.11794
Dalata.24609	Eguineensis.235
Dalata.20016	Eguineensis.236
Dalata.24606	Eguineensis.238
Dalata.4088	Eguineensis.240
Dalata.24604	Eguineensis.241
Dalata.376	Eguineensis.16546
Dalata.377	Eguineensis.16831
Dalata.379	Eguineensis.20553
Dalata.380	Eguineensis.20554
Dalata.4082	Eguineensis.245
Dalata.4081	Eguineensis.246
Dalata.381	Eguineensis.16842
Dalata.383	Eguineensis.6513
Dalata.384	Eguineensis.16853
Dalata.24599	Eguineensis.251
Dalata.385	Eguineensis.16854
Dalata.4076	Eguineensis.253
Dalata.24597	Eguineensis.254
Dalata.388	Eguineensis.20560
Dalata.389	Eguineensis.24481
Dalata.4074	Eguineensis.255
Dalata.4072	Eguineensis.256
Dalata.4071	Eguineensis.257
Dalata.4070	Eguineensis.258
Dalata.392	Eguineensis.24759
Dalata.4069	Eguineensis.259
Dalata.24593	Eguineensis.260
Dalata.394	Eguineensis.24496
Dalata.395	Eguineensis.16884
Dalata.4059	Eguineensis.266
Dalata.397	Eguineensis.22869
Dalata.4058	Eguineensis.267
Dalata.403	Eguineensis.22876
Dalata.406	Eguineensis.24610
Dalata.24583	Eguineensis.269
Dalata.408	Eguineensis.16900
Dalata.24582	Eguineensis.270
Dalata.409	Eguineensis.16901
Dalata.24581	Eguineensis.271
Dalata.411	Eguineensis.16904
Dalata.24580	Eguineensis.272
Dalata.24579	Eguineensis.273
Dalata.413	Eguineensis.16907
Dalata.4053	Eguineensis.274
Dalata.4051	Eguineensis.276
Dalata.416	Eguineensis.24263
Dalata.4050	Eguineensis.277
Dalata.24577	Eguineensis.278
Dalata.4049	Eguineensis.279
Dalata.422	Eguineensis.16911
Dalata.425	Eguineensis.20123
Dalata.427	Eguineensis.20121
Dalata.429	Eguineensis.20117
Dalata.430	Eguineensis.9856
Dalata.4048	Eguineensis.281
Dalata.432	Eguineensis.20114
Dalata.5883	Eguineensis.285
Dalata.24857	Eguineensis.286
Dalata.433	Eguineensis.6570
Dalata.20271	Eguineensis.287
Dalata.434	Eguineensis.16921
Dalata.20358	Eguineensis.289
Dalata.435	Eguineensis.16922
Dalata.436	Eguineensis.16923
Dalata.3690	Eguineensis.291
Dalata.438	Eguineensis.16927
Dalata.439	Eguineensis.20106
Dalata.440	Eguineensis.25037
Dalata.24849	Eguineensis.295
Dalata.441	Eguineensis.25036
Dalata.3688	Eguineensis.296
Dalata.444	Eguineensis.25035
Dalata.3687	Eguineensis.297
Dalata.445	Eguineensis.20098
Dalata.446	Eguineensis.16942
Dalata.448	Eguineensis.20094
Dalata.3686	Eguineensis.298
Dalata.24845	Eguineensis.299
Dalata.24840	Eguineensis.300
Dalata.3684	Eguineensis.302
Dalata.3683	Eguineensis.304
Dalata.452	Eguineensis.16954
Dalata.454	Eguineensis.20089
Dalata.3676	Eguineensis.306
Dalata.4278	Eguineensis.307
Dalata.457	Eguineensis.20081
Dalata.24836	Eguineensis.308
Dalata.458	Eguineensis.16967
Dalata.24837	Eguineensis.309
Dalata.460	Eguineensis.6301
Dalata.461	Eguineensis.20080
Dalata.462	Eguineensis.16974
Dalata.463	Eguineensis.16970
Dalata.464	Eguineensis.20078
Dalata.465	Eguineensis.16977
Dalata.466	Eguineensis.20077
Dalata.467	Eguineensis.16981
Dalata.20405	Eguineensis.311
Dalata.468	Eguineensis.16983
Dalata.3673	Eguineensis.313
Dalata.469	Eguineensis.16984
Dalata.470	Eguineensis.20073
Dalata.471	Eguineensis.16986
Dalata.473	Eguineensis.20070
Dalata.20412	Eguineensis.323
Dalata.3671	Eguineensis.324
Dalata.476	Eguineensis.17000
Dalata.24829	Eguineensis.326
Dalata.478	Eguineensis.17001
Dalata.479	Eguineensis.17010
Dalata.13391	Eguineensis.329
Dalata.480	Eguineensis.17011
Dalata.481	Eguineensis.20500
Dalata.483	Eguineensis.23494
Dalata.485	Eguineensis.20061
Dalata.487	Eguineensis.17023
Dalata.11867	Eguineensis.334
Dalata.489	Eguineensis.20049
Dalata.3565	Eguineensis.335
Dalata.490	Eguineensis.17025
Dalata.24765	Eguineensis.336
Dalata.492	Eguineensis.20052
Dalata.24767	Eguineensis.338
Dalata.24771	Eguineensis.340
Dalata.3516	Eguineensis.341
Dalata.3517	Eguineensis.342
Dalata.24780	Eguineensis.345
Dalata.6027	Eguineensis.346
Dalata.499	Eguineensis.17047
Dalata.500	Eguineensis.17049
Dalata.501	Eguineensis.6372
Dalata.503	Eguineensis.20039
Dalata.504	Eguineensis.17057
Dalata.24778	Eguineensis.348
Dalata.24777	Eguineensis.349
Dalata.510	Eguineensis.17059
Dalata.511	Eguineensis.20037
Dalata.6021	Eguineensis.356
Dalata.514	Eguineensis.20033
Dalata.24783	Eguineensis.358
Dalata.517	Eguineensis.6628
Dalata.20475	Eguineensis.359
Dalata.520	Eguineensis.20021
Dalata.521	Eguineensis.26225
Dalata.522	Eguineensis.16822
Dalata.6015	Eguineensis.364
Dalata.24792	Eguineensis.366
Dalata.528	Eguineensis.16807
Dalata.529	Eguineensis.16806
Dalata.24794	Eguineensis.368
Dalata.24797	Eguineensis.370
Dalata.24799	Eguineensis.372
Dalata.24801	Eguineensis.373
Dalata.24806	Eguineensis.380
Dalata.3719	Eguineensis.382
Dalata.24808	Eguineensis.386
Dalata.22131	Eguineensis.387
Dalata.24810	Eguineensis.389
Dalata.5991	Eguineensis.390
Dalata.3716	Eguineensis.392
Dalata.24813	Eguineensis.393
Dalata.24815	Eguineensis.397
Dalata.24816	Eguineensis.398
Dalata.20426	Eguineensis.399
Dalata.24817	Eguineensis.401
Dalata.24818	Eguineensis.402
Dalata.3659	Eguineensis.403
Dalata.24819	Eguineensis.406
Dalata.3661	Eguineensis.407
Dalata.20422	Eguineensis.408
Dalata.584	Eguineensis.13718
Dalata.24822	Eguineensis.410
Dalata.585	Eguineensis.16801
Dalata.3664	Eguineensis.413
Dalata.591	Eguineensis.16741
Dalata.24827	Eguineensis.416
Dalata.3575	Eguineensis.417
Dalata.593	Eguineensis.16745
Dalata.594	Eguineensis.7645
Dalata.24746	Eguineensis.420
Dalata.595	Eguineensis.16747
Dalata.24757	Eguineensis.422
Dalata.597	Eguineensis.16749
Dalata.601	Eguineensis.16759
Dalata.3933	Eguineensis.427
Dalata.602	Eguineensis.7639
Dalata.24754	Eguineensis.428
Dalata.24753	Eguineensis.429
Dalata.604	Eguineensis.7633
Dalata.20493	Eguineensis.430
Dalata.6057	Eguineensis.431
Dalata.24750	Eguineensis.432
Dalata.607	Eguineensis.20520
Dalata.608	Eguineensis.16774
Dalata.609	Eguineensis.16776
Dalata.24749	Eguineensis.434
Dalata.612	Eguineensis.16785
Dalata.20496	Eguineensis.435
Dalata.3937	Eguineensis.437
Dalata.615	Eguineensis.16789
Dalata.616	Eguineensis.16792
Dalata.6060	Eguineensis.439
Dalata.618	Eguineensis.26162
Dalata.24742	Eguineensis.442
Dalata.623	Eguineensis.7048
Dalata.624	Eguineensis.16432
Dalata.626	Eguineensis.16427
Dalata.627	Eguineensis.13514
Dalata.628	Eguineensis.16337
Dalata.629	Eguineensis.20194
Dalata.20566	Eguineensis.457
Dalata.24721	Eguineensis.458
Dalata.630	Eguineensis.15804
Dalata.24720	Eguineensis.459
Dalata.20563	Eguineensis.460
Dalata.14754	Eguineensis.462
Dalata.24715	Eguineensis.463
Dalata.634	Eguineensis.16333
Dalata.635	Eguineensis.15796
Dalata.24696	Eguineensis.468
Dalata.24695	Eguineensis.470
Dalata.638	Eguineensis.16324
Dalata.3963	Eguineensis.471
Dalata.639	Eguineensis.16323
Dalata.642	Eguineensis.7153
Dalata.643	Eguineensis.7149
Dalata.3969	Eguineensis.472
Dalata.645	Eguineensis.20209
Dalata.20154	Eguineensis.474
Dalata.646	Eguineensis.16316
Dalata.5848	Eguineensis.475
Dalata.652	Eguineensis.16303
Dalata.655	Eguineensis.16299
Dalata.3975	Eguineensis.481
Dalata.24673	Eguineensis.482
Dalata.660	Eguineensis.16296
Dalata.24671	Eguineensis.485
Dalata.3977	Eguineensis.486
Dalata.663	Eguineensis.23903
Dalata.664	Eguineensis.7109
Dalata.3978	Eguineensis.488
Dalata.24665	Eguineensis.489
Dalata.20138	Eguineensis.490
Dalata.24661	Eguineensis.492
Dalata.672	Eguineensis.16389
Dalata.673	Eguineensis.20229
Dalata.24660	Eguineensis.493
Dalata.3986	Eguineensis.495
Dalata.674	Eguineensis.16392
Dalata.3987	Eguineensis.496
Dalata.675	Eguineensis.16396
Dalata.677	Eguineensis.20234
Dalata.679	Eguineensis.20238
Dalata.3989	Eguineensis.498
Dalata.24655	Eguineensis.499
Dalata.3991	Eguineensis.500
Dalata.680	Eguineensis.7089
Dalata.5839	Eguineensis.501
Dalata.24652	Eguineensis.502
Dalata.3992	Eguineensis.503
Dalata.683	Eguineensis.15726
Dalata.684	Eguineensis.24757
Dalata.24649	Eguineensis.506
Dalata.685	Eguineensis.24687
Dalata.24647	Eguineensis.507
Dalata.686	Eguineensis.24688
Dalata.24644	Eguineensis.509
Dalata.688	Eguineensis.10835
Dalata.20095	Eguineensis.511
Dalata.690	Eguineensis.25105
Dalata.24642	Eguineensis.514
Dalata.692	Eguineensis.24901
Dalata.20097	Eguineensis.516
Dalata.699	Eguineensis.24301
Dalata.24638	Eguineensis.520
Dalata.24636	Eguineensis.521
Dalata.704	Eguineensis.25359
Dalata.705	Eguineensis.15714
Dalata.707	Eguineensis.22759
Dalata.708	Eguineensis.20258
Dalata.709	Eguineensis.23346
Dalata.710	Eguineensis.20190
Dalata.711	Eguineensis.20189
Dalata.24632	Eguineensis.525
Dalata.24630	Eguineensis.528
Dalata.714	Eguineensis.23115
Dalata.4006	Eguineensis.529
Dalata.24628	Eguineensis.533
Dalata.717	Eguineensis.16149
Dalata.24626	Eguineensis.534
Dalata.719	Eguineensis.20003
Dalata.720	Eguineensis.20313
Dalata.24625	Eguineensis.535
Dalata.721	Eguineensis.24639
Dalata.722	Eguineensis.16463
Dalata.724	Eguineensis.20267
Dalata.725	Eguineensis.16476
Dalata.726	Eguineensis.16478
Dalata.729	Eguineensis.20271
Dalata.731	Eguineensis.24413
Dalata.4008	Eguineensis.541
Dalata.4009	Eguineensis.542
Dalata.24621	Eguineensis.543
Dalata.734	Eguineensis.20275
Dalata.24618	Eguineensis.544
Dalata.737	Eguineensis.4400
Dalata.738	Eguineensis.16372
Dalata.739	Eguineensis.16368
Dalata.740	Eguineensis.3285
Dalata.24617	Eguineensis.546
Dalata.741	Eguineensis.16369
Dalata.743	Eguineensis.16366
Dalata.4019	Eguineensis.548
Dalata.20122	Eguineensis.549
Dalata.24541	Eguineensis.550
Dalata.4020	Eguineensis.551
Dalata.4021	Eguineensis.552
Dalata.4022	Eguineensis.553
Dalata.748	Eguineensis.16161
Dalata.751	Eguineensis.16164
Dalata.5818	Eguineensis.557
Dalata.20087	Eguineensis.558
Dalata.5935	Eguineensis.559
Dalata.24547	Eguineensis.561
Dalata.755	Eguineensis.16688
Dalata.24548	Eguineensis.562
Dalata.758	Eguineensis.16142
Dalata.760	Eguineensis.2212
Dalata.24549	Eguineensis.566
Dalata.4027	Eguineensis.568
Dalata.762	Eguineensis.20478
Dalata.4028	Eguineensis.571
Dalata.765	Eguineensis.20480
Dalata.766	Eguineensis.20483
Dalata.767	Eguineensis.20490
Dalata.4029	Eguineensis.577
Dalata.770	Eguineensis.16725
Dalata.772	Eguineensis.16730
Dalata.24553	Eguineensis.578
Dalata.4030	Eguineensis.580
Dalata.773	Eguineensis.20498
Dalata.774	Eguineensis.20336
Dalata.20075	Eguineensis.581
Dalata.775	Eguineensis.20337
Dalata.24556	Eguineensis.585
Dalata.778	Eguineensis.15673
Dalata.780	Eguineensis.6982
Dalata.5799	Eguineensis.590
Dalata.4035	Eguineensis.591
Dalata.5797	Eguineensis.592
Dalata.20059	Eguineensis.593
Dalata.20057	Eguineensis.594
Dalata.24567	Eguineensis.595
Dalata.20050	Eguineensis.597
Dalata.783	Eguineensis.16637
Dalata.784	Eguineensis.15655
Dalata.24568	Eguineensis.598
Dalata.4040	Eguineensis.599
Dalata.787	Eguineensis.16620
Dalata.24571	Eguineensis.601
Dalata.788	Eguineensis.7007
Dalata.789	Eguineensis.16286
Dalata.3165	Eguineensis.602
Dalata.20038	Eguineensis.603
Dalata.24572	Eguineensis.604
Dalata.793	Eguineensis.25338
Dalata.794	Eguineensis.6992
Dalata.24574	Eguineensis.608
Dalata.5885	Eguineensis.609
Dalata.24859	Eguineensis.611
Dalata.797	Eguineensis.25167
Dalata.24861	Eguineensis.613
Dalata.799	Eguineensis.23930
Dalata.20249	Eguineensis.616
Dalata.800	Eguineensis.16283
Dalata.801	Eguineensis.16282
Dalata.3692	Eguineensis.617
Dalata.802	Eguineensis.16279
Dalata.803	Eguineensis.6960
Dalata.807	Eguineensis.23305
Dalata.808	Eguineensis.23304
Dalata.811	Eguineensis.23303
Dalata.24862	Eguineensis.619
Dalata.813	Eguineensis.15835
Dalata.815	Eguineensis.15839
Dalata.5890	Eguineensis.625
Dalata.5891	Eguineensis.626
Dalata.818	Eguineensis.25318
Dalata.24865	Eguineensis.628
Dalata.820	Eguineensis.26608
Dalata.821	Eguineensis.22964
Dalata.24867	Eguineensis.630
Dalata.24868	Eguineensis.631
Dalata.824	Eguineensis.22866
Dalata.825	Eguineensis.23852
Dalata.827	Eguineensis.25070
Dalata.20225	Eguineensis.635
Dalata.829	Eguineensis.7198
Dalata.24870	Eguineensis.637
Dalata.830	Eguineensis.20305
Dalata.3647	Eguineensis.639
Dalata.831	Eguineensis.16341
Dalata.832	Eguineensis.7192
Dalata.833	Eguineensis.20309
Dalata.842	Eguineensis.16410
Dalata.24872	Eguineensis.642
Dalata.3644	Eguineensis.643
Dalata.3643	Eguineensis.644
Dalata.843	Eguineensis.16415
Dalata.3640	Eguineensis.646
Dalata.20220	Eguineensis.647
Dalata.844	Eguineensis.16416
Dalata.845	Eguineensis.16417
Dalata.24879	Eguineensis.649
Dalata.3638	Eguineensis.650
Dalata.848	Eguineensis.23433
Dalata.3637	Eguineensis.651
Dalata.849	Eguineensis.20365
Dalata.850	Eguineensis.23427
Dalata.851	Eguineensis.20371
Dalata.24880	Eguineensis.653
Dalata.853	Eguineensis.16570
Dalata.3629	Eguineensis.654
Dalata.24882	Eguineensis.655
Dalata.854	Eguineensis.16577
Dalata.24883	Eguineensis.656
Dalata.24892	Eguineensis.658
Dalata.855	Eguineensis.7310
Dalata.24893	Eguineensis.659
Dalata.24894	Eguineensis.660
Dalata.856	Eguineensis.16580
Dalata.24896	Eguineensis.662
Dalata.858	Eguineensis.16587
Dalata.859	Eguineensis.20386
Dalata.3626	Eguineensis.665
Dalata.860	Eguineensis.16588
Dalata.24899	Eguineensis.666
Dalata.861	Eguineensis.15701
Dalata.862	Eguineensis.16589
Dalata.863	Eguineensis.20390
Dalata.3623	Eguineensis.669
Dalata.865	Eguineensis.20391
Dalata.3619	Eguineensis.671
Dalata.868	Eguineensis.16592
Dalata.872	Eguineensis.16601
Dalata.873	Eguineensis.15689
Dalata.22351	Eguineensis.678
Dalata.15412	Eguineensis.679
Dalata.877	Eguineensis.16606
Dalata.15411	Eguineensis.680
Dalata.878	Eguineensis.5332
Dalata.15409	Eguineensis.681
Dalata.880	Eguineensis.23947
Dalata.15408	Eguineensis.682
Dalata.882	Eguineensis.16611
Dalata.884	Eguineensis.20330
Dalata.886	Eguineensis.7372
Dalata.887	Eguineensis.20318
Dalata.6102	Eguineensis.687
Dalata.24907	Eguineensis.688
Dalata.888	Eguineensis.13262
Dalata.889	Eguineensis.20316
Dalata.24908	Eguineensis.689
Dalata.3617	Eguineensis.690
Dalata.890	Eguineensis.15911
Dalata.24910	Eguineensis.691
Dalata.24911	Eguineensis.692
Dalata.893	Eguineensis.15976
Dalata.23300	Eguineensis.694
Dalata.896	Eguineensis.15971
Dalata.3616	Eguineensis.695
Dalata.899	Eguineensis.16598
Dalata.24913	Eguineensis.697
Dalata.900	Eguineensis.20298
Dalata.24914	Eguineensis.699
Dalata.902	Eguineensis.15981
Dalata.903	Eguineensis.6264
Dalata.6094	Eguineensis.701
Dalata.3612	Eguineensis.703
Dalata.3595	Eguineensis.704
Dalata.904	Eguineensis.16671
Dalata.24917	Eguineensis.705
Dalata.905	Eguineensis.16284
Dalata.3589	Eguineensis.706
Dalata.906	Eguineensis.16285
Dalata.907	Eguineensis.7491
Dalata.24921	Eguineensis.711
Dalata.24924	Eguineensis.712
Dalata.24925	Eguineensis.713
Dalata.912	Eguineensis.16631
Dalata.916	Eguineensis.16644
Dalata.917	Eguineensis.20434
Dalata.919	Eguineensis.16647
Dalata.5865	Eguineensis.717
Dalata.920	Eguineensis.4285
Dalata.921	Eguineensis.16649
Dalata.20196	Eguineensis.719
Dalata.927	Eguineensis.16653
Dalata.24933	Eguineensis.723
Dalata.928	Eguineensis.16660
Dalata.5870	Eguineensis.725
Dalata.930	Eguineensis.22113
Dalata.20202	Eguineensis.728
Dalata.932	Eguineensis.16665
Dalata.24939	Eguineensis.732
Dalata.935	Eguineensis.16056
Dalata.24941	Eguineensis.733
Dalata.936	Eguineensis.16057
Dalata.937	Eguineensis.25345
Dalata.938	Eguineensis.6936
Dalata.20363	Eguineensis.736
Dalata.939	Eguineensis.24979
Dalata.940	Eguineensis.21844
Dalata.24945	Eguineensis.738
Dalata.941	Eguineensis.7584
Dalata.3528	Eguineensis.739
Dalata.3527	Eguineensis.740
Dalata.3526	Eguineensis.741
Dalata.24957	Eguineensis.742
Dalata.24956	Eguineensis.743
Dalata.3523	Eguineensis.744
Dalata.945	Eguineensis.21852
Dalata.3521	Eguineensis.745
Dalata.947	Eguineensis.21455
Dalata.3515	Eguineensis.747
Dalata.949	Eguineensis.21452
Dalata.950	Eguineensis.21450
Dalata.952	Eguineensis.25536
Dalata.24144	Eguineensis.749
Dalata.953	Eguineensis.25756
Dalata.3611	Eguineensis.750
Dalata.954	Eguineensis.21445
Dalata.24949	Eguineensis.752
Dalata.955	Eguineensis.7606
Dalata.957	Eguineensis.21437
Dalata.24960	Eguineensis.753
Dalata.961	Eguineensis.21434
Dalata.3610	Eguineensis.754
Dalata.964	Eguineensis.20159
Dalata.965	Eguineensis.21965
Dalata.24961	Eguineensis.755
Dalata.966	Eguineensis.20163
Dalata.969	Eguineensis.20167
Dalata.972	Eguineensis.20173
Dalata.975	Eguineensis.8630
Dalata.976	Eguineensis.8631
Dalata.24964	Eguineensis.758
Dalata.977	Eguineensis.21590
Dalata.978	Eguineensis.21597
Dalata.979	Eguineensis.22669
Dalata.981	Eguineensis.21599
Dalata.982	Eguineensis.6776
Dalata.24967	Eguineensis.763
Dalata.983	Eguineensis.21824
Dalata.984	Eguineensis.24097
Dalata.3813	Eguineensis.766
Dalata.3812	Eguineensis.769
Dalata.3811	Eguineensis.770
Dalata.992	Eguineensis.3878
Dalata.993	Eguineensis.9577
Dalata.994	Eguineensis.9561
Dalata.995	Eguineensis.24512
Dalata.996	Eguineensis.19151
Dalata.24971	Eguineensis.772
Dalata.24972	Eguineensis.773
Dalata.997	Eguineensis.23602
Dalata.24973	Eguineensis.776
Dalata.24974	Eguineensis.777
Dalata.998	Eguineensis.6573
Dalata.999	Eguineensis.24259
Dalata.24975	Eguineensis.778
Dalata.1000	Eguineensis.23601
Dalata.1002	Eguineensis.24344
Dalata.1003	Eguineensis.23598
Dalata.24977	Eguineensis.784
Dalata.1004	Eguineensis.23597
Dalata.1006	Eguineensis.23596
Dalata.3806	Eguineensis.786
