Dalata.17	Eguineensis.17323
Dalata.1807	Eguineensis.15551
Dalata.1809	Eguineensis.15553
Dalata.1815	Eguineensis.15561
Dalata.1839	Eguineensis.15529
Dalata.1855	Eguineensis.15564
Dalata.1862	Eguineensis.16172
Dalata.1866	Eguineensis.16176
Dalata.1868	Eguineensis.16179
Dalata.1872	Eguineensis.16182
Dalata.1874	Eguineensis.16184
Dalata.1875	Eguineensis.16185
Dalata.1885	Eguineensis.16195
Dalata.1892	Eguineensis.16190
Dalata.1919	Eguineensis.16213
Dalata.1920	Eguineensis.16214
Dalata.1921	Eguineensis.16215
Dalata.1925	Eguineensis.16218
Dalata.1934	Eguineensis.16219
Dalata.1940	Eguineensis.16230
Dalata.1942	Eguineensis.16232
Dalata.1946	Eguineensis.16235
Dalata.1969	Eguineensis.16244
Dalata.1977	Eguineensis.16249
Dalata.1982	Eguineensis.16254
Dalata.1985	Eguineensis.16260
Dalata.1986	Eguineensis.16261
Dalata.1990	Eguineensis.16270
Dalata.1011	Eguineensis.17357
Dalata.1014	Eguineensis.17350
Dalata.1015	Eguineensis.17346
Dalata.1016	Eguineensis.17345
Dalata.1017	Eguineensis.17343
Dalata.1019	Eguineensis.17337
Dalata.1028	Eguineensis.17334
Dalata.1032	Eguineensis.17328
Dalata.1035	Eguineensis.17358
Dalata.1038	Eguineensis.17362
Dalata.1040	Eguineensis.17365
Dalata.1043	Eguineensis.17369
Dalata.1049	Eguineensis.17375
Dalata.1065	Eguineensis.17392
Dalata.1066	Eguineensis.17394
Dalata.1069	Eguineensis.17400
Dalata.1078	Eguineensis.17410
Dalata.1081	Eguineensis.17413
Dalata.1082	Eguineensis.17414
Dalata.1083	Eguineensis.17415
Dalata.1084	Eguineensis.17419
Dalata.1086	Eguineensis.17420
Dalata.1088	Eguineensis.17421
Dalata.1122	Eguineensis.17435
Dalata.1124	Eguineensis.17439
Dalata.1039	Eguineensis.19317
Dalata.1044	Eguineensis.19310
Dalata.1045	Eguineensis.19306
Dalata.1046	Eguineensis.19305
Dalata.1050	Eguineensis.19301
Dalata.1062	Eguineensis.19294
Dalata.1064	Eguineensis.19295
Dalata.1070	Eguineensis.19288
Dalata.1077	Eguineensis.19281
Dalata.1098	Eguineensis.19265
Dalata.1105	Eguineensis.19263
Dalata.1118	Eguineensis.19207
Dalata.1120	Eguineensis.19210
Dalata.1127	Eguineensis.19249
Dalata.1128	Eguineensis.19248
Dalata.1129	Eguineensis.19246
Dalata.1456	Eguineensis.21838
Dalata.1462	Eguineensis.21836
Dalata.1471	Eguineensis.21835
Dalata.1501	Eguineensis.21815
Dalata.1503	Eguineensis.21817
Dalata.1222	Eguineensis.21877
Dalata.1225	Eguineensis.21880
Dalata.1231	Eguineensis.21885
Dalata.1233	Eguineensis.21887
Dalata.1234	Eguineensis.21888
Dalata.1243	Eguineensis.22612
Dalata.1247	Eguineensis.22613
Dalata.1249	Eguineensis.22614
Dalata.1251	Eguineensis.22616
Dalata.1265	Eguineensis.22617
Dalata.1270	Eguineensis.22621
Dalata.1277	Eguineensis.22623
Dalata.1281	Eguineensis.22625
Dalata.997	Eguineensis.23602
Dalata.1000	Eguineensis.23601
Dalata.1003	Eguineensis.23598
Dalata.1004	Eguineensis.23597
Dalata.1006	Eguineensis.23596
Dalata.2100	Eguineensis.4104
Dalata.2103	Eguineensis.4101
Dalata.2106	Eguineensis.4090
Dalata.2111	Eguineensis.4073
Dalata.2112	Eguineensis.4070
Dalata.2114	Eguineensis.4069
Dalata.2116	Eguineensis.4067
Dalata.2127	Eguineensis.4054
Dalata.2130	Eguineensis.4050
Dalata.2146	Eguineensis.4038
Dalata.2150	Eguineensis.4041
Dalata.2156	Eguineensis.4034
Dalata.2157	Eguineensis.4033
Dalata.2160	Eguineensis.4032
Dalata.2163	Eguineensis.4026
Dalata.2166	Eguineensis.4024
Dalata.2167	Eguineensis.4023
Dalata.2173	Eguineensis.4018
Dalata.2174	Eguineensis.4016
Dalata.2182	Eguineensis.4012
Dalata.2186	Eguineensis.4006
Dalata.2196	Eguineensis.3992
Dalata.2197	Eguineensis.3988
Dalata.2199	Eguineensis.3987
Dalata.2201	Eguineensis.3986
Dalata.2203	Eguineensis.3983
Dalata.2204	Eguineensis.3982
Dalata.2414	Eguineensis.3632
Dalata.2431	Eguineensis.3627
Dalata.2432	Eguineensis.3641
Dalata.2436	Eguineensis.3642
Dalata.2444	Eguineensis.3639
Dalata.2451	Eguineensis.3638
Dalata.2488	Eguineensis.3624
Dalata.2490	Eguineensis.3620
Dalata.2492	Eguineensis.3618
Dalata.2496	Eguineensis.3614
Dalata.2497	Eguineensis.3613
Dalata.2504	Eguineensis.3658
Dalata.2525	Eguineensis.3703
Dalata.2527	Eguineensis.3701
Dalata.2529	Eguineensis.3698
Dalata.2530	Eguineensis.3697
Dalata.2531	Eguineensis.3696
Dalata.2535	Eguineensis.3690
Dalata.2541	Eguineensis.3678
Dalata.2542	Eguineensis.3672
Dalata.2545	Eguineensis.3668
Dalata.2584	Eguineensis.3611
Dalata.2586	Eguineensis.3612
Dalata.2590	Eguineensis.3648
Dalata.2622	Eguineensis.3651
Dalata.2798	Eguineensis.3474
Dalata.2799	Eguineensis.3475
Dalata.2802	Eguineensis.3480
Dalata.2805	Eguineensis.3484
Dalata.2807	Eguineensis.3485
Dalata.2808	Eguineensis.3486
Dalata.2827	Eguineensis.3503
Dalata.2834	Eguineensis.3509
Dalata.2844	Eguineensis.3519
Dalata.2854	Eguineensis.3531
Dalata.2855	Eguineensis.3536
Dalata.2864	Eguineensis.3551
Dalata.2866	Eguineensis.3554
Dalata.2872	Eguineensis.3561
Dalata.2873	Eguineensis.3564
Dalata.2875	Eguineensis.3568
Dalata.1994	Eguineensis.12008
Dalata.1995	Eguineensis.12007
Dalata.1996	Eguineensis.12006
Dalata.1997	Eguineensis.12005
Dalata.2004	Eguineensis.11991
Dalata.2013	Eguineensis.11975
Dalata.2022	Eguineensis.11965
Dalata.2027	Eguineensis.11961
Dalata.2028	Eguineensis.11960
Dalata.2029	Eguineensis.11959
Dalata.2038	Eguineensis.11947
Dalata.2046	Eguineensis.11940
Dalata.2050	Eguineensis.11935
Dalata.2054	Eguineensis.11932
Dalata.2063	Eguineensis.11920
Dalata.2068	Eguineensis.11912
Dalata.2071	Eguineensis.11911
Dalata.2077	Eguineensis.11870
Dalata.2082	Eguineensis.11880
Dalata.2089	Eguineensis.11872
Dalata.2000	Eguineensis.13279
Dalata.2012	Eguineensis.13271
Dalata.2014	Eguineensis.13269
Dalata.2018	Eguineensis.13265
Dalata.2019	Eguineensis.13264
Dalata.2020	Eguineensis.13261
Dalata.2023	Eguineensis.13258
Dalata.2025	Eguineensis.13256
Dalata.2035	Eguineensis.13251
Dalata.2040	Eguineensis.13246
Dalata.2048	Eguineensis.13243
Dalata.2055	Eguineensis.13232
Dalata.2056	Eguineensis.13229
Dalata.2065	Eguineensis.13225
Dalata.2067	Eguineensis.13220
Dalata.2078	Eguineensis.13204
Dalata.2079	Eguineensis.13206
Dalata.2081	Eguineensis.13205
Dalata.2097	Eguineensis.13203
Dalata.2101	Eguineensis.13197
Dalata.2155	Eguineensis.13168
Dalata.2172	Eguineensis.13162
Dalata.2185	Eguineensis.13157
Dalata.2189	Eguineensis.13150
Dalata.2192	Eguineensis.13148
Dalata.2200	Eguineensis.13142
Dalata.2225	Eguineensis.13134
Dalata.2234	Eguineensis.13127
Dalata.2245	Eguineensis.13118
Dalata.2248	Eguineensis.13113
Dalata.2249	Eguineensis.13112
Dalata.2250	Eguineensis.13111
Dalata.2252	Eguineensis.13109
Dalata.2260	Eguineensis.13105
Dalata.2269	Eguineensis.13101
Dalata.2274	Eguineensis.13098
Dalata.2277	Eguineensis.13092
Dalata.2309	Eguineensis.12080
Dalata.2319	Eguineensis.12078
Dalata.2323	Eguineensis.12076
Dalata.2333	Eguineensis.12085
Dalata.2362	Eguineensis.12072
Dalata.2377	Eguineensis.12058
Dalata.2396	Eguineensis.12054
Dalata.2450	Eguineensis.12739
Dalata.2514	Eguineensis.12749
Dalata.2516	Eguineensis.12783
Dalata.2523	Eguineensis.12778
Dalata.2540	Eguineensis.12754
Dalata.2544	Eguineensis.12745
Dalata.2546	Eguineensis.12744
Dalata.2547	Eguineensis.12743
Dalata.2551	Eguineensis.12741
Dalata.2695	Eguineensis.12494
Dalata.2701	Eguineensis.12489
Dalata.2713	Eguineensis.12483
Dalata.2723	Eguineensis.12445
Dalata.2724	Eguineensis.12449
Dalata.2733	Eguineensis.12457
Dalata.2739	Eguineensis.12465
Dalata.2761	Eguineensis.12472
Dalata.2794	Eguineensis.12514
Dalata.2797	Eguineensis.12518
Dalata.2806	Eguineensis.12531
Dalata.2810	Eguineensis.12540
Dalata.2826	Eguineensis.12548
Dalata.2839	Eguineensis.12556
Dalata.2846	Eguineensis.12734
Dalata.2860	Eguineensis.12726
Dalata.2862	Eguineensis.12724
Dalata.2874	Eguineensis.12711
Dalata.2876	Eguineensis.12709
Dalata.2878	Eguineensis.12130
Dalata.2908	Eguineensis.12129
Dalata.2913	Eguineensis.12123
Dalata.2923	Eguineensis.12110
Dalata.2926	Eguineensis.12109
Dalata.2938	Eguineensis.12096
Dalata.2947	Eguineensis.12680
Dalata.2951	Eguineensis.12681
Dalata.2959	Eguineensis.12686
Dalata.2960	Eguineensis.12687
Dalata.2979	Eguineensis.12693
Dalata.2984	Eguineensis.12695
Dalata.2991	Eguineensis.12704
Dalata.2999	Eguineensis.12134
Dalata.3001	Eguineensis.12136
Dalata.3004	Eguineensis.12138
Dalata.3007	Eguineensis.12142
Dalata.3008	Eguineensis.12143
Dalata.2401	Eguineensis.14820
Dalata.2404	Eguineensis.14819
Dalata.2405	Eguineensis.14818
Dalata.2416	Eguineensis.14823
Dalata.2418	Eguineensis.14824
Dalata.2428	Eguineensis.14826
Dalata.2880	Eguineensis.14897
Dalata.2909	Eguineensis.14896
Dalata.2912	Eguineensis.14887
Dalata.2914	Eguineensis.14884
Dalata.2915	Eguineensis.14883
Dalata.2916	Eguineensis.14881
Dalata.2917	Eguineensis.14880
Dalata.2930	Eguineensis.14870
Dalata.2932	Eguineensis.14869
Dalata.2933	Eguineensis.14868
Dalata.2934	Eguineensis.14866
Dalata.2935	Eguineensis.14860
Dalata.2937	Eguineensis.14854
Dalata.2993	Eguineensis.14899
Dalata.2995	Eguineensis.14900
Dalata.2996	Eguineensis.14901
Dalata.3002	Eguineensis.14905
Dalata.3003	Eguineensis.14906
Dalata.3006	Eguineensis.14909
Dalata.3010	Eguineensis.14914
Dalata.3011	Eguineensis.14917
Dalata.2233	Eguineensis.21059
Dalata.2235	Eguineensis.21062
Dalata.2240	Eguineensis.21078
Dalata.2241	Eguineensis.21069
Dalata.2247	Eguineensis.21094
Dalata.2253	Eguineensis.21103
Dalata.2255	Eguineensis.21105
Dalata.2264	Eguineensis.21108
Dalata.2265	Eguineensis.21111
Dalata.2278	Eguineensis.21128
Dalata.2279	Eguineensis.21122
Dalata.2281	Eguineensis.21124
Dalata.2286	Eguineensis.21139
Dalata.2687	Eguineensis.21516
Dalata.2699	Eguineensis.21522
Dalata.2700	Eguineensis.21521
Dalata.2705	Eguineensis.21528
Dalata.2706	Eguineensis.21529
Dalata.2707	Eguineensis.21530
Dalata.2710	Eguineensis.21533
Dalata.2711	Eguineensis.21534
Dalata.2715	Eguineensis.21544
Dalata.2717	Eguineensis.21547
Dalata.2718	Eguineensis.21548
Dalata.2720	Eguineensis.21539
Dalata.2721	Eguineensis.21542
Dalata.2722	Eguineensis.21535
Dalata.2591	Eguineensis.21814
Dalata.2615	Eguineensis.21811
Dalata.2618	Eguineensis.21807
Dalata.2624	Eguineensis.21804
Dalata.2625	Eguineensis.21802
Dalata.2630	Eguineensis.21791
Dalata.2631	Eguineensis.21789
Dalata.2635	Eguineensis.21785
Dalata.2636	Eguineensis.21784
Dalata.2655	Eguineensis.21782
Dalata.2679	Eguineensis.21781
Dalata.2680	Eguineensis.21780
Dalata.2688	Eguineensis.21774
Dalata.2940	Eguineensis.21891
Dalata.2957	Eguineensis.21901
Dalata.2958	Eguineensis.21903
Dalata.2961	Eguineensis.21905
Dalata.2962	Eguineensis.21907
Dalata.2969	Eguineensis.21921
Dalata.2973	Eguineensis.21923
Dalata.2981	Eguineensis.21927
Dalata.2982	Eguineensis.21930
Dalata.2983	Eguineensis.21931
Dalata.2986	Eguineensis.21933
Dalata.2988	Eguineensis.21937
Dalata.3515	Eguineensis.747
Dalata.3521	Eguineensis.745
Dalata.3523	Eguineensis.744
Dalata.3526	Eguineensis.741
Dalata.3527	Eguineensis.740
Dalata.3528	Eguineensis.739
Dalata.3589	Eguineensis.706
Dalata.3595	Eguineensis.704
Dalata.3612	Eguineensis.703
Dalata.3616	Eguineensis.695
Dalata.3617	Eguineensis.690
Dalata.3619	Eguineensis.671
Dalata.3623	Eguineensis.669
Dalata.3626	Eguineensis.665
Dalata.3629	Eguineensis.654
Dalata.3637	Eguineensis.651
Dalata.3638	Eguineensis.650
Dalata.3640	Eguineensis.646
Dalata.3643	Eguineensis.644
Dalata.3644	Eguineensis.643
Dalata.3647	Eguineensis.639
Dalata.3692	Eguineensis.617
Dalata.3659	Eguineensis.403
Dalata.3661	Eguineensis.407
Dalata.3664	Eguineensis.413
Dalata.3716	Eguineensis.392
Dalata.3719	Eguineensis.382
Dalata.3671	Eguineensis.324
Dalata.3673	Eguineensis.313
Dalata.3676	Eguineensis.306
Dalata.3683	Eguineensis.304
Dalata.3684	Eguineensis.302
Dalata.3686	Eguineensis.298
Dalata.3687	Eguineensis.297
Dalata.3688	Eguineensis.296
Dalata.3690	Eguineensis.291
Dalata.3735	Eguineensis.913
Dalata.3739	Eguineensis.907
Dalata.3741	Eguineensis.904
Dalata.3745	Eguineensis.897
Dalata.3751	Eguineensis.888
Dalata.3753	Eguineensis.884
Dalata.3758	Eguineensis.868
Dalata.3759	Eguineensis.867
Dalata.3765	Eguineensis.794
Dalata.3770	Eguineensis.800
Dalata.3774	Eguineensis.806
Dalata.3775	Eguineensis.807
Dalata.3779	Eguineensis.822
Dalata.3780	Eguineensis.823
Dalata.3782	Eguineensis.825
Dalata.3783	Eguineensis.826
Dalata.3788	Eguineensis.839
Dalata.3789	Eguineensis.841
Dalata.3790	Eguineensis.842
Dalata.3793	Eguineensis.847
Dalata.3794	Eguineensis.849
Dalata.3798	Eguineensis.856
Dalata.3799	Eguineensis.862
Dalata.3802	Eguineensis.790
Dalata.3803	Eguineensis.789
Dalata.3804	Eguineensis.788
Dalata.3806	Eguineensis.786
Dalata.3811	Eguineensis.770
Dalata.3812	Eguineensis.769
Dalata.3813	Eguineensis.766
Dalata.3819	Eguineensis.1005
Dalata.3820	Eguineensis.1003
Dalata.3821	Eguineensis.1002
Dalata.3822	Eguineensis.1000
Dalata.3824	Eguineensis.995
Dalata.3826	Eguineensis.991
Dalata.3827	Eguineensis.987
Dalata.3832	Eguineensis.979
Dalata.3833	Eguineensis.978
Dalata.3834	Eguineensis.977
Dalata.3847	Eguineensis.961
Dalata.3850	Eguineensis.956
Dalata.3851	Eguineensis.955
Dalata.3864	Eguineensis.952
Dalata.3866	Eguineensis.951
Dalata.3867	Eguineensis.950
Dalata.3872	Eguineensis.939
Dalata.3873	Eguineensis.937
Dalata.3881	Eguineensis.926
Dalata.3884	Eguineensis.919
Dalata.3887	Eguineensis.1143
Dalata.3889	Eguineensis.1075
Dalata.3892	Eguineensis.1031
Dalata.3898	Eguineensis.1110
Dalata.3903	Eguineensis.1132
Dalata.3912	Eguineensis.1011
Dalata.3913	Eguineensis.1013
Dalata.3914	Eguineensis.1153
Dalata.3915	Eguineensis.1018
Dalata.3916	Eguineensis.1019
Dalata.3918	Eguineensis.1057
Dalata.3919	Eguineensis.1051
