Dalata.4	Dzingiberensis.15593
Dalata.533	Dzingiberensis.15818
Dalata.537	Dzingiberensis.15812
Dalata.537	Dzingiberensis.15813
Dalata.537	Dzingiberensis.15814
Dalata.537	Dzingiberensis.15815
Dalata.545	Dzingiberensis.15825
Dalata.545	Dzingiberensis.15826
Dalata.545	Dzingiberensis.15827
Dalata.545	Dzingiberensis.15828
Dalata.545	Dzingiberensis.15829
Dalata.549	Dzingiberensis.15824
Dalata.559	Dzingiberensis.15804
Dalata.560	Dzingiberensis.15809
Dalata.562	Dzingiberensis.15783
Dalata.574	Dzingiberensis.15812
Dalata.574	Dzingiberensis.15813
Dalata.574	Dzingiberensis.15814
Dalata.574	Dzingiberensis.15815
Dalata.574	Dzingiberensis.15796
Dalata.574	Dzingiberensis.15797
Dalata.574	Dzingiberensis.15798
Dalata.574	Dzingiberensis.15799
Dalata.574	Dzingiberensis.15800
Dalata.574	Dzingiberensis.15793
Dalata.574	Dzingiberensis.15794
Dalata.574	Dzingiberensis.15795
Dalata.575	Dzingiberensis.15812
Dalata.575	Dzingiberensis.15813
Dalata.575	Dzingiberensis.15814
Dalata.575	Dzingiberensis.15815
Dalata.575	Dzingiberensis.15822
Dalata.575	Dzingiberensis.15823
Dalata.575	Dzingiberensis.15796
Dalata.575	Dzingiberensis.15797
Dalata.575	Dzingiberensis.15798
Dalata.575	Dzingiberensis.15799
Dalata.575	Dzingiberensis.15800
Dalata.575	Dzingiberensis.15801
Dalata.575	Dzingiberensis.15802
Dalata.575	Dzingiberensis.15803
Dalata.575	Dzingiberensis.15793
Dalata.575	Dzingiberensis.15794
Dalata.575	Dzingiberensis.15795
Dalata.576	Dzingiberensis.15811
Dalata.579	Dzingiberensis.15831
Dalata.584	Dzingiberensis.15835
Dalata.585	Dzingiberensis.15836
Dalata.590	Dzingiberensis.15863
Dalata.591	Dzingiberensis.15862
Dalata.592	Dzingiberensis.15861
Dalata.593	Dzingiberensis.15860
Dalata.594	Dzingiberensis.15859
Dalata.595	Dzingiberensis.15858
Dalata.597	Dzingiberensis.15857
Dalata.598	Dzingiberensis.15850
Dalata.599	Dzingiberensis.15856
Dalata.600	Dzingiberensis.15855
Dalata.601	Dzingiberensis.15854
Dalata.602	Dzingiberensis.15853
Dalata.603	Dzingiberensis.15852
Dalata.605	Dzingiberensis.15849
Dalata.606	Dzingiberensis.15848
Dalata.607	Dzingiberensis.15846
Dalata.609	Dzingiberensis.15845
Dalata.611	Dzingiberensis.15843
Dalata.612	Dzingiberensis.15842
Dalata.613	Dzingiberensis.15841
Dalata.615	Dzingiberensis.15839
Dalata.616	Dzingiberensis.15838
Dalata.622	Dzingiberensis.15864
Dalata.623	Dzingiberensis.15867
Dalata.624	Dzingiberensis.15868
Dalata.626	Dzingiberensis.15869
Dalata.627	Dzingiberensis.15870
Dalata.628	Dzingiberensis.15871
Dalata.629	Dzingiberensis.15873
Dalata.630	Dzingiberensis.15874
Dalata.631	Dzingiberensis.15875
Dalata.633	Dzingiberensis.15876
Dalata.634	Dzingiberensis.15877
Dalata.635	Dzingiberensis.15878
Dalata.636	Dzingiberensis.15879
Dalata.637	Dzingiberensis.15880
Dalata.640	Dzingiberensis.15881
Dalata.638	Dzingiberensis.15948
Dalata.639	Dzingiberensis.15947
Dalata.641	Dzingiberensis.15946
Dalata.642	Dzingiberensis.15945
Dalata.643	Dzingiberensis.15944
Dalata.644	Dzingiberensis.15943
Dalata.645	Dzingiberensis.15942
Dalata.646	Dzingiberensis.15941
Dalata.647	Dzingiberensis.15940
Dalata.648	Dzingiberensis.15939
Dalata.650	Dzingiberensis.15938
Dalata.651	Dzingiberensis.15937
Dalata.652	Dzingiberensis.15936
Dalata.655	Dzingiberensis.15935
Dalata.658	Dzingiberensis.15933
Dalata.659	Dzingiberensis.15932
Dalata.660	Dzingiberensis.15930
Dalata.661	Dzingiberensis.15929
Dalata.662	Dzingiberensis.15928
Dalata.663	Dzingiberensis.15927
Dalata.664	Dzingiberensis.15926
Dalata.665	Dzingiberensis.15925
Dalata.666	Dzingiberensis.15921
Dalata.666	Dzingiberensis.15922
Dalata.672	Dzingiberensis.15918
Dalata.673	Dzingiberensis.15914
Dalata.674	Dzingiberensis.15913
Dalata.675	Dzingiberensis.15912
Dalata.676	Dzingiberensis.15911
Dalata.677	Dzingiberensis.15910
Dalata.679	Dzingiberensis.15908
Dalata.680	Dzingiberensis.15907
Dalata.682	Dzingiberensis.15905
Dalata.683	Dzingiberensis.15904
Dalata.684	Dzingiberensis.15903
Dalata.685	Dzingiberensis.15902
Dalata.686	Dzingiberensis.15901
Dalata.687	Dzingiberensis.15900
Dalata.688	Dzingiberensis.15899
Dalata.689	Dzingiberensis.15898
Dalata.690	Dzingiberensis.15897
Dalata.692	Dzingiberensis.15896
Dalata.693	Dzingiberensis.15895
Dalata.696	Dzingiberensis.15893
Dalata.697	Dzingiberensis.15891
Dalata.697	Dzingiberensis.15892
Dalata.698	Dzingiberensis.15890
Dalata.699	Dzingiberensis.15889
Dalata.700	Dzingiberensis.15886
Dalata.700	Dzingiberensis.15887
Dalata.700	Dzingiberensis.15888
Dalata.703	Dzingiberensis.15885
Dalata.704	Dzingiberensis.15884
Dalata.705	Dzingiberensis.15883
Dalata.707	Dzingiberensis.15949
Dalata.708	Dzingiberensis.15950
Dalata.709	Dzingiberensis.15951
Dalata.710	Dzingiberensis.15952
Dalata.711	Dzingiberensis.15953
Dalata.712	Dzingiberensis.15954
Dalata.713	Dzingiberensis.15955
Dalata.714	Dzingiberensis.15956
Dalata.715	Dzingiberensis.15957
Dalata.716	Dzingiberensis.15958
Dalata.717	Dzingiberensis.15959
Dalata.718	Dzingiberensis.15960
Dalata.719	Dzingiberensis.15961
Dalata.720	Dzingiberensis.15962
Dalata.721	Dzingiberensis.15963
Dalata.722	Dzingiberensis.15964
Dalata.724	Dzingiberensis.15966
Dalata.725	Dzingiberensis.15967
Dalata.726	Dzingiberensis.15968
Dalata.728	Dzingiberensis.15970
Dalata.729	Dzingiberensis.15971
Dalata.730	Dzingiberensis.15972
Dalata.731	Dzingiberensis.15973
Dalata.732	Dzingiberensis.15974
Dalata.733	Dzingiberensis.15975
Dalata.734	Dzingiberensis.15976
Dalata.736	Dzingiberensis.15978
Dalata.737	Dzingiberensis.15979
Dalata.738	Dzingiberensis.15980
Dalata.739	Dzingiberensis.15981
Dalata.740	Dzingiberensis.15982
Dalata.741	Dzingiberensis.15983
Dalata.742	Dzingiberensis.15984
Dalata.743	Dzingiberensis.15985
Dalata.745	Dzingiberensis.15986
Dalata.746	Dzingiberensis.15987
Dalata.747	Dzingiberensis.15988
Dalata.749	Dzingiberensis.15990
Dalata.750	Dzingiberensis.15991
Dalata.751	Dzingiberensis.15992
Dalata.753	Dzingiberensis.15994
Dalata.754	Dzingiberensis.15995
Dalata.755	Dzingiberensis.15996
Dalata.756	Dzingiberensis.15997
Dalata.759	Dzingiberensis.15999
Dalata.760	Dzingiberensis.16002
Dalata.761	Dzingiberensis.16003
Dalata.763	Dzingiberensis.16005
Dalata.765	Dzingiberensis.16006
Dalata.766	Dzingiberensis.16007
Dalata.768	Dzingiberensis.16009
Dalata.769	Dzingiberensis.16010
Dalata.770	Dzingiberensis.16011
Dalata.771	Dzingiberensis.16012
Dalata.772	Dzingiberensis.16013
Dalata.773	Dzingiberensis.16014
Dalata.775	Dzingiberensis.16017
Dalata.776	Dzingiberensis.16018
Dalata.777	Dzingiberensis.16019
Dalata.778	Dzingiberensis.16020
Dalata.779	Dzingiberensis.16021
Dalata.780	Dzingiberensis.16022
Dalata.781	Dzingiberensis.16023
Dalata.782	Dzingiberensis.16024
Dalata.783	Dzingiberensis.16025
Dalata.785	Dzingiberensis.16027
Dalata.786	Dzingiberensis.16028
Dalata.788	Dzingiberensis.16029
Dalata.789	Dzingiberensis.16030
Dalata.792	Dzingiberensis.16033
Dalata.793	Dzingiberensis.16034
Dalata.794	Dzingiberensis.16035
Dalata.796	Dzingiberensis.16036
Dalata.796	Dzingiberensis.16037
Dalata.797	Dzingiberensis.16038
Dalata.798	Dzingiberensis.16039
Dalata.799	Dzingiberensis.16040
Dalata.800	Dzingiberensis.16041
Dalata.801	Dzingiberensis.16042
Dalata.802	Dzingiberensis.16043
Dalata.803	Dzingiberensis.16044
Dalata.804	Dzingiberensis.16045
Dalata.805	Dzingiberensis.16046
Dalata.806	Dzingiberensis.16047
Dalata.807	Dzingiberensis.16048
Dalata.808	Dzingiberensis.16049
Dalata.811	Dzingiberensis.16052
Dalata.812	Dzingiberensis.16053
Dalata.813	Dzingiberensis.16054
Dalata.815	Dzingiberensis.16055
Dalata.817	Dzingiberensis.16057
Dalata.817	Dzingiberensis.16058
Dalata.818	Dzingiberensis.16061
Dalata.819	Dzingiberensis.16062
Dalata.820	Dzingiberensis.16064
Dalata.821	Dzingiberensis.16065
Dalata.822	Dzingiberensis.16066
Dalata.824	Dzingiberensis.16067
Dalata.825	Dzingiberensis.16068
Dalata.826	Dzingiberensis.16069
Dalata.827	Dzingiberensis.16070
Dalata.828	Dzingiberensis.16071
Dalata.829	Dzingiberensis.16072
Dalata.830	Dzingiberensis.16074
Dalata.831	Dzingiberensis.16075
Dalata.832	Dzingiberensis.16076
Dalata.833	Dzingiberensis.16077
Dalata.841	Dzingiberensis.16091
Dalata.842	Dzingiberensis.16089
Dalata.843	Dzingiberensis.16088
Dalata.844	Dzingiberensis.16087
Dalata.845	Dzingiberensis.16086
Dalata.847	Dzingiberensis.16080
Dalata.847	Dzingiberensis.16082
Dalata.848	Dzingiberensis.16093
Dalata.849	Dzingiberensis.16094
Dalata.850	Dzingiberensis.16095
Dalata.851	Dzingiberensis.16096
Dalata.852	Dzingiberensis.16097
Dalata.852	Dzingiberensis.16098
Dalata.853	Dzingiberensis.16099
Dalata.854	Dzingiberensis.16100
Dalata.855	Dzingiberensis.16101
Dalata.856	Dzingiberensis.16102
Dalata.858	Dzingiberensis.16104
Dalata.859	Dzingiberensis.16105
Dalata.860	Dzingiberensis.16106
Dalata.861	Dzingiberensis.16107
Dalata.862	Dzingiberensis.16108
Dalata.863	Dzingiberensis.16110
Dalata.864	Dzingiberensis.16109
Dalata.865	Dzingiberensis.16111
Dalata.868	Dzingiberensis.16112
Dalata.869	Dzingiberensis.16113
Dalata.871	Dzingiberensis.16115
Dalata.872	Dzingiberensis.16116
Dalata.873	Dzingiberensis.16118
Dalata.874	Dzingiberensis.16119
Dalata.875	Dzingiberensis.16120
Dalata.876	Dzingiberensis.16121
Dalata.877	Dzingiberensis.16122
Dalata.878	Dzingiberensis.16124
Dalata.881	Dzingiberensis.16126
Dalata.882	Dzingiberensis.16127
Dalata.883	Dzingiberensis.16128
Dalata.884	Dzingiberensis.16129
Dalata.885	Dzingiberensis.16130
Dalata.886	Dzingiberensis.16131
Dalata.887	Dzingiberensis.16132
Dalata.888	Dzingiberensis.16133
Dalata.889	Dzingiberensis.16135
Dalata.890	Dzingiberensis.16136
Dalata.891	Dzingiberensis.16137
Dalata.892	Dzingiberensis.16138
Dalata.894	Dzingiberensis.16139
Dalata.895	Dzingiberensis.16140
Dalata.896	Dzingiberensis.16141
Dalata.898	Dzingiberensis.16143
Dalata.899	Dzingiberensis.16144
Dalata.900	Dzingiberensis.16145
Dalata.901	Dzingiberensis.16146
Dalata.902	Dzingiberensis.16147
Dalata.903	Dzingiberensis.16148
Dalata.904	Dzingiberensis.16149
Dalata.905	Dzingiberensis.16150
Dalata.906	Dzingiberensis.16151
Dalata.907	Dzingiberensis.16152
Dalata.909	Dzingiberensis.16155
Dalata.910	Dzingiberensis.16156
Dalata.911	Dzingiberensis.16157
Dalata.912	Dzingiberensis.16158
Dalata.913	Dzingiberensis.16159
Dalata.917	Dzingiberensis.16162
Dalata.918	Dzingiberensis.16163
Dalata.919	Dzingiberensis.16164
Dalata.921	Dzingiberensis.16166
Dalata.923	Dzingiberensis.16171
Dalata.924	Dzingiberensis.16172
Dalata.925	Dzingiberensis.16173
Dalata.927	Dzingiberensis.16174
Dalata.928	Dzingiberensis.16175
Dalata.929	Dzingiberensis.16176
Dalata.930	Dzingiberensis.16177
Dalata.931	Dzingiberensis.16178
Dalata.932	Dzingiberensis.16179
Dalata.933	Dzingiberensis.16180
Dalata.934	Dzingiberensis.16181
Dalata.935	Dzingiberensis.16182
Dalata.936	Dzingiberensis.16183
Dalata.937	Dzingiberensis.16185
Dalata.938	Dzingiberensis.16186
Dalata.939	Dzingiberensis.16187
Dalata.939	Dzingiberensis.16188
Dalata.940	Dzingiberensis.16189
Dalata.941	Dzingiberensis.16192
Dalata.945	Dzingiberensis.16193
Dalata.947	Dzingiberensis.16195
Dalata.948	Dzingiberensis.16196
Dalata.949	Dzingiberensis.16197
Dalata.950	Dzingiberensis.16198
Dalata.952	Dzingiberensis.16200
Dalata.953	Dzingiberensis.16202
Dalata.954	Dzingiberensis.16203
Dalata.955	Dzingiberensis.16204
Dalata.956	Dzingiberensis.16205
Dalata.959	Dzingiberensis.16207
Dalata.959	Dzingiberensis.16208
Dalata.959	Dzingiberensis.16209
Dalata.961	Dzingiberensis.16211
Dalata.962	Dzingiberensis.16212
Dalata.964	Dzingiberensis.16214
Dalata.965	Dzingiberensis.16215
Dalata.966	Dzingiberensis.16217
Dalata.967	Dzingiberensis.16218
Dalata.969	Dzingiberensis.16220
Dalata.970	Dzingiberensis.16221
Dalata.972	Dzingiberensis.16224
Dalata.975	Dzingiberensis.16229
Dalata.976	Dzingiberensis.16230
Dalata.977	Dzingiberensis.16240
Dalata.978	Dzingiberensis.16239
Dalata.980	Dzingiberensis.16238
Dalata.979	Dzingiberensis.16237
Dalata.981	Dzingiberensis.16234
Dalata.982	Dzingiberensis.16233
Dalata.983	Dzingiberensis.16232
Dalata.984	Dzingiberensis.16231
Dalata.990	Dzingiberensis.16184
Dalata.995	Dzingiberensis.17366
Dalata.996	Dzingiberensis.17368
Dalata.997	Dzingiberensis.17369
Dalata.998	Dzingiberensis.17370
Dalata.999	Dzingiberensis.17371
Dalata.1000	Dzingiberensis.17372
Dalata.1001	Dzingiberensis.17373
Dalata.1003	Dzingiberensis.17374
Dalata.1004	Dzingiberensis.17375
Dalata.1006	Dzingiberensis.17376
Dalata.1006	Dzingiberensis.17377
Dalata.1007	Dzingiberensis.17378
Dalata.1008	Dzingiberensis.17379
Dalata.1009	Dzingiberensis.17380
Dalata.1010	Dzingiberensis.17381
Dalata.1011	Dzingiberensis.17382
Dalata.1012	Dzingiberensis.17383
Dalata.1013	Dzingiberensis.17384
Dalata.1014	Dzingiberensis.17385
Dalata.1015	Dzingiberensis.17386
Dalata.1016	Dzingiberensis.17387
Dalata.1017	Dzingiberensis.17388
Dalata.1021	Dzingiberensis.17393
Dalata.1023	Dzingiberensis.17400
Dalata.1028	Dzingiberensis.17409
Dalata.1030	Dzingiberensis.17410
Dalata.1032	Dzingiberensis.17412
Dalata.1033	Dzingiberensis.17413
Dalata.1034	Dzingiberensis.17414
Dalata.1035	Dzingiberensis.17415
Dalata.1037	Dzingiberensis.17417
Dalata.1038	Dzingiberensis.17418
Dalata.1039	Dzingiberensis.17419
Dalata.1040	Dzingiberensis.17420
Dalata.1041	Dzingiberensis.17422
Dalata.1042	Dzingiberensis.17423
Dalata.1043	Dzingiberensis.17424
Dalata.1044	Dzingiberensis.17425
Dalata.1045	Dzingiberensis.17426
Dalata.1046	Dzingiberensis.17427
Dalata.1047	Dzingiberensis.17428
Dalata.1048	Dzingiberensis.17429
Dalata.1049	Dzingiberensis.17430
Dalata.1050	Dzingiberensis.17431
Dalata.1061	Dzingiberensis.17433
Dalata.1062	Dzingiberensis.17436
Dalata.1063	Dzingiberensis.17434
Dalata.1064	Dzingiberensis.17435
Dalata.1065	Dzingiberensis.17437
Dalata.1066	Dzingiberensis.17438
