Dalata.10	Drotundata.1288
Dalata.1043	Drotundata.1397
Dalata.10431	Drotundata.12174
Dalata.10432	Drotundata.12173
Dalata.10434	Drotundata.12172
Dalata.10436	Drotundata.12170
Dalata.10438	Drotundata.12169
Dalata.10439	Drotundata.12168
Dalata.1044	Drotundata.1396
Dalata.10440	Drotundata.12167
Dalata.10441	Drotundata.12166
Dalata.10442	Drotundata.12165
Dalata.10443	Drotundata.12164
Dalata.10445	Drotundata.12162
Dalata.10446	Drotundata.12161
Dalata.10447	Drotundata.12160
Dalata.10449	Drotundata.34465
Dalata.1045	Drotundata.1395
Dalata.10450	Drotundata.34467
Dalata.10451	Drotundata.34468
Dalata.10452	Drotundata.34469
Dalata.10453	Drotundata.34470
Dalata.10454	Drotundata.34471
Dalata.10455	Drotundata.34472
Dalata.10456	Drotundata.34473
Dalata.10458	Drotundata.34475
Dalata.10459	Drotundata.34476
Dalata.10460	Drotundata.34477
Dalata.10461	Drotundata.34478
Dalata.10462	Drotundata.34479
Dalata.10463	Drotundata.34480
Dalata.10464	Drotundata.34481
Dalata.10465	Drotundata.34482
Dalata.10466	Drotundata.34483
Dalata.10467	Drotundata.34484
Dalata.10468	Drotundata.34486
Dalata.1047	Drotundata.1394
Dalata.10471	Drotundata.34488
Dalata.10472	Drotundata.34489
Dalata.10473	Drotundata.34490
Dalata.10474	Drotundata.34491
Dalata.10475	Drotundata.34492
Dalata.10476	Drotundata.34493
Dalata.10477	Drotundata.34494
Dalata.10478	Drotundata.34496
Dalata.10479	Drotundata.34497
Dalata.10480	Drotundata.34500
Dalata.10481	Drotundata.34499
Dalata.10483	Drotundata.34501
Dalata.10484	Drotundata.34503
Dalata.10486	Drotundata.34505
Dalata.10487	Drotundata.34506
Dalata.10490	Drotundata.34508
Dalata.10491	Drotundata.34509
Dalata.10492	Drotundata.34510
Dalata.10493	Drotundata.34511
Dalata.10494	Drotundata.34513
Dalata.10495	Drotundata.34514
Dalata.10496	Drotundata.34515
Dalata.10497	Drotundata.34516
Dalata.10498	Drotundata.32288
Dalata.10499	Drotundata.32287
Dalata.105	Drotundata.1222
Dalata.1050	Drotundata.1391
Dalata.10501	Drotundata.32284
Dalata.10502	Drotundata.12159
Dalata.10503	Drotundata.12158
Dalata.10504	Drotundata.12157
Dalata.10505	Drotundata.12156
Dalata.10506	Drotundata.12155
Dalata.10507	Drotundata.12154
Dalata.10508	Drotundata.12153
Dalata.10509	Drotundata.12152
Dalata.10510	Drotundata.12151
Dalata.10511	Drotundata.12150
Dalata.10512	Drotundata.12149
Dalata.10514	Drotundata.12146
Dalata.10515	Drotundata.12145
Dalata.10517	Drotundata.12144
Dalata.10519	Drotundata.12101
Dalata.10520	Drotundata.20010
Dalata.10521	Drotundata.12100
Dalata.10523	Drotundata.12098
Dalata.10524	Drotundata.12096
Dalata.10525	Drotundata.12095
Dalata.10526	Drotundata.12094
Dalata.10527	Drotundata.12092
Dalata.10527	Drotundata.12093
Dalata.10528	Drotundata.12091
Dalata.10529	Drotundata.12090
Dalata.10531	Drotundata.12140
Dalata.10532	Drotundata.12139
Dalata.10533	Drotundata.12138
Dalata.10534	Drotundata.12137
Dalata.10535	Drotundata.12136
Dalata.10536	Drotundata.12135
Dalata.10537	Drotundata.12134
Dalata.10538	Drotundata.12133
Dalata.10539	Drotundata.12130
Dalata.10540	Drotundata.12128
Dalata.10541	Drotundata.12127
Dalata.10542	Drotundata.12126
Dalata.10543	Drotundata.12125
Dalata.10544	Drotundata.12124
Dalata.10546	Drotundata.12120
Dalata.10547	Drotundata.22951
Dalata.10550	Drotundata.22945
Dalata.10551	Drotundata.22943
Dalata.10552	Drotundata.22941
Dalata.10553	Drotundata.22940
Dalata.10554	Drotundata.22937
Dalata.10563	Drotundata.22932
Dalata.10564	Drotundata.22930
Dalata.10565	Drotundata.22929
Dalata.10566	Drotundata.22928
Dalata.10568	Drotundata.22927
Dalata.10569	Drotundata.22926
Dalata.10571	Drotundata.22925
Dalata.10573	Drotundata.22924
Dalata.10574	Drotundata.22922
Dalata.10576	Drotundata.12119
Dalata.10580	Drotundata.29858
Dalata.10582	Drotundata.12116
Dalata.10583	Drotundata.12115
Dalata.10584	Drotundata.12102
Dalata.10585	Drotundata.12112
Dalata.10587	Drotundata.12110
Dalata.10591	Drotundata.12107
Dalata.10592	Drotundata.12106
Dalata.10593	Drotundata.12105
Dalata.10598	Drotundata.12087
Dalata.10599	Drotundata.12086
Dalata.106	Drotundata.1221
Dalata.106	Drotundata.14422
Dalata.106	Drotundata.30551
Dalata.10603	Drotundata.12081
Dalata.10604	Drotundata.12080
Dalata.10605	Drotundata.12079
Dalata.10605	Drotundata.3539
Dalata.10606	Drotundata.12078
Dalata.10607	Drotundata.12077
Dalata.10609	Drotundata.12075
Dalata.1061	Drotundata.1390
Dalata.10610	Drotundata.12074
Dalata.10611	Drotundata.12073
Dalata.10612	Drotundata.12072
Dalata.10613	Drotundata.12071
Dalata.10615	Drotundata.12069
Dalata.10616	Drotundata.12068
Dalata.10618	Drotundata.12066
Dalata.10619	Drotundata.12065
Dalata.1062	Drotundata.1389
Dalata.10621	Drotundata.12063
Dalata.10623	Drotundata.12061
Dalata.10625	Drotundata.33628
Dalata.10626	Drotundata.33630
Dalata.10627	Drotundata.33631
Dalata.10629	Drotundata.12060
Dalata.1063	Drotundata.1388
Dalata.10631	Drotundata.12056
Dalata.10632	Drotundata.12055
Dalata.10633	Drotundata.12054
Dalata.10634	Drotundata.12053
Dalata.10636	Drotundata.12049
Dalata.10637	Drotundata.12048
Dalata.10638	Drotundata.12047
Dalata.10639	Drotundata.12045
Dalata.1064	Drotundata.1387
Dalata.10640	Drotundata.12044
Dalata.10641	Drotundata.12043
Dalata.10642	Drotundata.12042
Dalata.10643	Drotundata.12041
Dalata.10644	Drotundata.12040
Dalata.10646	Drotundata.12039
Dalata.10647	Drotundata.12037
Dalata.10648	Drotundata.12036
Dalata.10649	Drotundata.12035
Dalata.1065	Drotundata.1385
Dalata.10651	Drotundata.12034
Dalata.10652	Drotundata.12033
Dalata.10653	Drotundata.12032
Dalata.10654	Drotundata.12031
Dalata.10659	Drotundata.12028
Dalata.1066	Drotundata.1384
Dalata.10660	Drotundata.12027
Dalata.10661	Drotundata.31646
Dalata.10662	Drotundata.31645
Dalata.10664	Drotundata.31644
Dalata.10665	Drotundata.31642
Dalata.10666	Drotundata.31641
Dalata.10667	Drotundata.31640
Dalata.10668	Drotundata.31639
Dalata.10670	Drotundata.32107
Dalata.10671	Drotundata.33789
Dalata.10672	Drotundata.33790
Dalata.10673	Drotundata.33792
Dalata.10674	Drotundata.33793
Dalata.10675	Drotundata.33794
Dalata.10676	Drotundata.33796
Dalata.10677	Drotundata.33797
Dalata.10678	Drotundata.33798
Dalata.10679	Drotundata.34885
Dalata.1068	Drotundata.1383
Dalata.10680	Drotundata.29824
Dalata.10681	Drotundata.29825
Dalata.10682	Drotundata.29826
Dalata.10684	Drotundata.11975
Dalata.10685	Drotundata.11976
Dalata.10686	Drotundata.11978
Dalata.10687	Drotundata.11980
Dalata.1069	Drotundata.1382
Dalata.10690	Drotundata.11984
Dalata.10692	Drotundata.11988
Dalata.10695	Drotundata.12006
Dalata.10696	Drotundata.12008
Dalata.10697	Drotundata.12009
Dalata.10698	Drotundata.12010
Dalata.10699	Drotundata.12011
Dalata.107	Drotundata.1220
Dalata.1070	Drotundata.1381
Dalata.10700	Drotundata.12012
Dalata.10702	Drotundata.12013
Dalata.10702	Drotundata.12014
Dalata.10703	Drotundata.12015
Dalata.10704	Drotundata.12016
Dalata.10706	Drotundata.12019
Dalata.10707	Drotundata.12020
Dalata.10709	Drotundata.12023
Dalata.1071	Drotundata.1380
Dalata.10710	Drotundata.12024
Dalata.10711	Drotundata.12025
Dalata.10712	Drotundata.35215
Dalata.10713	Drotundata.35214
Dalata.10715	Drotundata.35212
Dalata.10716	Drotundata.35211
Dalata.10717	Drotundata.35210
Dalata.10718	Drotundata.35209
Dalata.10719	Drotundata.35208
Dalata.1072	Drotundata.1379
Dalata.10720	Drotundata.35206
Dalata.10722	Drotundata.35204
Dalata.10723	Drotundata.35203
Dalata.10724	Drotundata.32069
Dalata.10725	Drotundata.32071
Dalata.10726	Drotundata.32073
Dalata.10727	Drotundata.32074
Dalata.10729	Drotundata.33814
Dalata.10732	Drotundata.33812
Dalata.10733	Drotundata.33811
Dalata.10734	Drotundata.33810
Dalata.10735	Drotundata.33809
Dalata.10736	Drotundata.33808
Dalata.10737	Drotundata.33807
Dalata.10738	Drotundata.33806
Dalata.10739	Drotundata.33805
Dalata.10741	Drotundata.32892
Dalata.10742	Drotundata.11973
Dalata.10743	Drotundata.11974
Dalata.10743	Drotundata.32894
Dalata.10743	Drotundata.33287
Dalata.10744	Drotundata.35194
Dalata.10745	Drotundata.11969
Dalata.10746	Drotundata.11968
Dalata.10747	Drotundata.11967
Dalata.10748	Drotundata.11966
Dalata.10750	Drotundata.11964
Dalata.10751	Drotundata.11963
Dalata.10752	Drotundata.11962
Dalata.10755	Drotundata.11960
Dalata.10756	Drotundata.11959
Dalata.10757	Drotundata.11958
Dalata.1076	Drotundata.1377
Dalata.10761	Drotundata.11956
Dalata.10762	Drotundata.11955
Dalata.10763	Drotundata.11954
Dalata.10764	Drotundata.11953
Dalata.10765	Drotundata.11951
Dalata.10766	Drotundata.11950
Dalata.10767	Drotundata.11949
Dalata.10768	Drotundata.11948
Dalata.10769	Drotundata.11946
Dalata.1077	Drotundata.1376
Dalata.10770	Drotundata.11945
Dalata.10772	Drotundata.11943
Dalata.10773	Drotundata.11941
Dalata.10775	Drotundata.11940
Dalata.10776	Drotundata.11939
Dalata.10777	Drotundata.11937
Dalata.10778	Drotundata.11936
Dalata.10779	Drotundata.11935
Dalata.1078	Drotundata.1374
Dalata.10780	Drotundata.11934
Dalata.10781	Drotundata.11933
Dalata.10785	Drotundata.11933
Dalata.10786	Drotundata.11934
Dalata.10788	Drotundata.11932
Dalata.10789	Drotundata.11931
Dalata.10793	Drotundata.11890
Dalata.10794	Drotundata.11889
Dalata.10796	Drotundata.11887
Dalata.10797	Drotundata.11886
Dalata.10798	Drotundata.11885
Dalata.10799	Drotundata.11884
Dalata.108	Drotundata.1219
Dalata.10800	Drotundata.11883
Dalata.10801	Drotundata.11882
Dalata.10802	Drotundata.11881
Dalata.10803	Drotundata.11880
Dalata.10805	Drotundata.11879
Dalata.10806	Drotundata.11878
Dalata.10807	Drotundata.11927
Dalata.10808	Drotundata.11926
Dalata.10809	Drotundata.11925
Dalata.1081	Drotundata.9860
Dalata.10810	Drotundata.11924
Dalata.10811	Drotundata.11922
Dalata.10811	Drotundata.11923
Dalata.10812	Drotundata.11921
Dalata.10815	Drotundata.11917
Dalata.10816	Drotundata.11916
Dalata.10818	Drotundata.11914
Dalata.10819	Drotundata.11913
Dalata.1082	Drotundata.9861
Dalata.10821	Drotundata.11911
Dalata.10822	Drotundata.11910
Dalata.10823	Drotundata.11909
Dalata.10824	Drotundata.11908
Dalata.10825	Drotundata.11907
Dalata.10826	Drotundata.11906
Dalata.10827	Drotundata.11905
Dalata.10828	Drotundata.11904
Dalata.10829	Drotundata.11903
Dalata.1083	Drotundata.9862
Dalata.10830	Drotundata.11902
Dalata.10831	Drotundata.11901
Dalata.10833	Drotundata.11898
Dalata.10833	Drotundata.11899
Dalata.10834	Drotundata.11896
Dalata.10835	Drotundata.11894
Dalata.10836	Drotundata.11892
Dalata.10837	Drotundata.11876
Dalata.10838	Drotundata.11875
Dalata.10839	Drotundata.11874
Dalata.1084	Drotundata.9863
Dalata.10840	Drotundata.11873
Dalata.10841	Drotundata.11871
Dalata.10842	Drotundata.11870
Dalata.10845	Drotundata.11868
Dalata.10846	Drotundata.11867
Dalata.10847	Drotundata.11866
Dalata.10848	Drotundata.11865
Dalata.1085	Drotundata.9864
Dalata.10852	Drotundata.11864
Dalata.10853	Drotundata.11863
Dalata.10856	Drotundata.11848
Dalata.10858	Drotundata.11849
Dalata.10859	Drotundata.11851
Dalata.1086	Drotundata.9865
Dalata.10860	Drotundata.11852
Dalata.10861	Drotundata.11854
Dalata.10862	Drotundata.11855
Dalata.10863	Drotundata.11856
Dalata.10864	Drotundata.11857
Dalata.10865	Drotundata.11858
Dalata.10866	Drotundata.11859
Dalata.10867	Drotundata.11860
Dalata.10867	Drotundata.11861
Dalata.10868	Drotundata.11862
Dalata.1087	Drotundata.9866
Dalata.10871	Drotundata.11842
Dalata.10872	Drotundata.11841
Dalata.10873	Drotundata.11839
Dalata.10874	Drotundata.11838
Dalata.10875	Drotundata.11837
Dalata.10876	Drotundata.11836
Dalata.10877	Drotundata.11835
Dalata.10879	Drotundata.11833
Dalata.1088	Drotundata.9867
Dalata.10880	Drotundata.11832
Dalata.10881	Drotundata.11831
Dalata.10884	Drotundata.11828
Dalata.10886	Drotundata.11825
Dalata.10887	Drotundata.11823
Dalata.10888	Drotundata.11822
Dalata.10889	Drotundata.11821
Dalata.1089	Drotundata.9868
Dalata.10890	Drotundata.11820
Dalata.10891	Drotundata.11819
Dalata.10892	Drotundata.11818
Dalata.10893	Drotundata.11817
Dalata.10896	Drotundata.11814
Dalata.10897	Drotundata.11813
Dalata.10898	Drotundata.11811
Dalata.10899	Drotundata.11810
Dalata.109	Drotundata.1217
Dalata.10901	Drotundata.11808
Dalata.10902	Drotundata.11806
Dalata.10905	Drotundata.11804
Dalata.10906	Drotundata.11803
Dalata.10907	Drotundata.11802
Dalata.10908	Drotundata.11801
Dalata.10909	Drotundata.11800
Dalata.10910	Drotundata.11799
Dalata.10911	Drotundata.11798
Dalata.10912	Drotundata.11797
Dalata.10916	Drotundata.11794
Dalata.10917	Drotundata.11792
Dalata.10918	Drotundata.11791
Dalata.10919	Drotundata.11789
Dalata.10920	Drotundata.11788
Dalata.10921	Drotundata.11787
Dalata.10922	Drotundata.11785
Dalata.10922	Drotundata.11786
Dalata.10923	Drotundata.11784
Dalata.10924	Drotundata.11783
Dalata.10926	Drotundata.11782
Dalata.10928	Drotundata.11780
Dalata.10929	Drotundata.11777
Dalata.10930	Drotundata.11778
Dalata.10933	Drotundata.11774
Dalata.10934	Drotundata.11773
Dalata.10935	Drotundata.11772
Dalata.10936	Drotundata.11771
Dalata.10937	Drotundata.11770
Dalata.10938	Drotundata.21045
Dalata.10939	Drotundata.11744
Dalata.10942	Drotundata.11748
Dalata.10944	Drotundata.11751
Dalata.10945	Drotundata.11768
Dalata.10946	Drotundata.11767
Dalata.10947	Drotundata.11766
Dalata.10950	Drotundata.11762
Dalata.10951	Drotundata.11760
Dalata.10952	Drotundata.11759
Dalata.10953	Drotundata.11758
Dalata.10954	Drotundata.11756
Dalata.10955	Drotundata.11755
Dalata.10956	Drotundata.11701
Dalata.10957	Drotundata.11702
Dalata.10959	Drotundata.11704
Dalata.10961	Drotundata.11706
Dalata.10962	Drotundata.11707
Dalata.10965	Drotundata.11732
Dalata.10966	Drotundata.11733
Dalata.10968	Drotundata.11738
Dalata.10969	Drotundata.11739
Dalata.1097	Drotundata.1368
Dalata.10970	Drotundata.11740
Dalata.10971	Drotundata.11741
Dalata.10972	Drotundata.11742
Dalata.10973	Drotundata.11743
Dalata.10978	Drotundata.11729
Dalata.1098	Drotundata.1362
Dalata.10980	Drotundata.11728
Dalata.10981	Drotundata.11727
Dalata.10983	Drotundata.11725
Dalata.10986	Drotundata.11723
Dalata.10988	Drotundata.11722
Dalata.1099	Drotundata.1357
Dalata.10990	Drotundata.11721
Dalata.10991	Drotundata.11720
Dalata.10992	Drotundata.11719
Dalata.10995	Drotundata.11716
Dalata.10996	Drotundata.11715
Dalata.10997	Drotundata.11714
Dalata.10998	Drotundata.11713
Dalata.10999	Drotundata.11712
Dalata.11	Drotundata.1287
Dalata.110	Drotundata.1216
Dalata.11000	Drotundata.11711
Dalata.11001	Drotundata.11708
Dalata.11002	Drotundata.11693
Dalata.11003	Drotundata.11696
Dalata.11008	Drotundata.11698
Dalata.1101	Drotundata.1355
Dalata.11011	Drotundata.11689
Dalata.11012	Drotundata.11688
Dalata.11014	Drotundata.11687
Dalata.11017	Drotundata.11685
Dalata.11018	Drotundata.11684
Dalata.11019	Drotundata.11683
Dalata.1102	Drotundata.1354
Dalata.11020	Drotundata.11682
Dalata.11021	Drotundata.11681
Dalata.11023	Drotundata.11677
Dalata.11024	Drotundata.11676
Dalata.11025	Drotundata.11675
Dalata.11026	Drotundata.11674
Dalata.11027	Drotundata.11673
Dalata.11029	Drotundata.32010
Dalata.1103	Drotundata.35189
Dalata.11031	Drotundata.32008
Dalata.11032	Drotundata.32007
Dalata.11033	Drotundata.32006
Dalata.11034	Drotundata.32005
Dalata.11035	Drotundata.32004
Dalata.11036	Drotundata.11672
Dalata.11037	Drotundata.11671
Dalata.11038	Drotundata.11670
Dalata.11040	Drotundata.11668
Dalata.11041	Drotundata.11667
Dalata.11042	Drotundata.11665
Dalata.11043	Drotundata.11663
Dalata.11044	Drotundata.11662
Dalata.11045	Drotundata.11661
Dalata.11046	Drotundata.11660
Dalata.11047	Drotundata.11659
Dalata.11048	Drotundata.11658
Dalata.1105	Drotundata.1460
Dalata.11051	Drotundata.11656
Dalata.11052	Drotundata.11655
Dalata.11053	Drotundata.11654
Dalata.11054	Drotundata.11653
Dalata.11056	Drotundata.11652
Dalata.11057	Drotundata.11651
Dalata.11059	Drotundata.11650
