Dalata.11	Dalata.23565
Dalata.1008	Dalata.15905
Dalata.1010	Dalata.9758
Dalata.1011	Dalata.9759
Dalata.1012	Dalata.15122
Dalata.1013	Dalata.15127
Dalata.1028	Dalata.6426
Dalata.1030	Dalata.15161
Dalata.1031	Dalata.15158
Dalata.1033	Dalata.15157
Dalata.1034	Dalata.15150
Dalata.1037	Dalata.15149
Dalata.1038	Dalata.15147
Dalata.1039	Dalata.11938
Dalata.1040	Dalata.15145
Dalata.1042	Dalata.15142
Dalata.1047	Dalata.15139
Dalata.1048	Dalata.17818
Dalata.1050	Dalata.15138
Dalata.1061	Dalata.15137
Dalata.1063	Dalata.15136
Dalata.1066	Dalata.17830
Dalata.1070	Dalata.1189
Dalata.1071	Dalata.15194
Dalata.1074	Dalata.15196
Dalata.1077	Dalata.15197
Dalata.1078	Dalata.15199
Dalata.1080	Dalata.15200
Dalata.1081	Dalata.15202
Dalata.1089	Dalata.15208
Dalata.1098	Dalata.17856
Dalata.1101	Dalata.15214
Dalata.1102	Dalata.15213
Dalata.1106	Dalata.17158
Dalata.1113	Dalata.17160
Dalata.1123	Dalata.15256
Dalata.1125	Dalata.15251
Dalata.1131	Dalata.15240
Dalata.1135	Dalata.6558
Dalata.1144	Dalata.15224
Dalata.1145	Dalata.17562
Dalata.1158	Dalata.11223
Dalata.1161	Dalata.1497
Dalata.1163	Dalata.16399
Dalata.1170	Dalata.13718
Dalata.1173	Dalata.23364
Dalata.1181	Dalata.16415
Dalata.1187	Dalata.24878
Dalata.1199	Dalata.16477
Dalata.1214	Dalata.16492
Dalata.1221	Dalata.16499
Dalata.1230	Dalata.9309
Dalata.1232	Dalata.13095
Dalata.1233	Dalata.2806
Dalata.1234	Dalata.16511
Dalata.1236	Dalata.13651
Dalata.1237	Dalata.16009
Dalata.1240	Dalata.13652
Dalata.1250	Dalata.13054
Dalata.1269	Dalata.18537
Dalata.1270	Dalata.16540
Dalata.1275	Dalata.13661
Dalata.1282	Dalata.16542
Dalata.1345	Dalata.13696
Dalata.1348	Dalata.13698
Dalata.1359	Dalata.16374
Dalata.1361	Dalata.13743
Dalata.1368	Dalata.19320
Dalata.1375	Dalata.6600
Dalata.1378	Dalata.24840
Dalata.1406	Dalata.5750
Dalata.1408	Dalata.9954
Dalata.1410	Dalata.7963
Dalata.1411	Dalata.13987
Dalata.1412	Dalata.13988
Dalata.1421	Dalata.13992
Dalata.1422	Dalata.16180
Dalata.1436	Dalata.7110
Dalata.1438	Dalata.16205
Dalata.1441	Dalata.16206
Dalata.1443	Dalata.16207
Dalata.1444	Dalata.14003
Dalata.1451	Dalata.24326
Dalata.1457	Dalata.14020
Dalata.1472	Dalata.22888
Dalata.1495	Dalata.11528
Dalata.1510	Dalata.16222
Dalata.1523	Dalata.16227
Dalata.1524	Dalata.13975
Dalata.1532	Dalata.9847
Dalata.1536	Dalata.16233
Dalata.1538	Dalata.1890
Dalata.1540	Dalata.16234
Dalata.1542	Dalata.13971
Dalata.1543	Dalata.16238
Dalata.1553	Dalata.13960
Dalata.1577	Dalata.16279
Dalata.1583	Dalata.16277
Dalata.1586	Dalata.16276
Dalata.1588	Dalata.16275
Dalata.1594	Dalata.14028
Dalata.1598	Dalata.14032
Dalata.1600	Dalata.16269
Dalata.1616	Dalata.1850
Dalata.1620	Dalata.13913
Dalata.1621	Dalata.12402
Dalata.1624	Dalata.9731
Dalata.1628	Dalata.16266
Dalata.1631	Dalata.16267
Dalata.1644	Dalata.16287
Dalata.1649	Dalata.19715
Dalata.1665	Dalata.8796
Dalata.1673	Dalata.16293
Dalata.1678	Dalata.16296
Dalata.1679	Dalata.16301
Dalata.1684	Dalata.13928
Dalata.1690	Dalata.19932
Dalata.1691	Dalata.13930
Dalata.1695	Dalata.16311
Dalata.1697	Dalata.13935
Dalata.1698	Dalata.13936
Dalata.1699	Dalata.16313
Dalata.1700	Dalata.13940
Dalata.1708	Dalata.16318
Dalata.1711	Dalata.13941
Dalata.1713	Dalata.14024
Dalata.1736	Dalata.16323
Dalata.1738	Dalata.16320
Dalata.1742	Dalata.16329
Dalata.1744	Dalata.15093
Dalata.1746	Dalata.16331
Dalata.1747	Dalata.16337
Dalata.1749	Dalata.16332
Dalata.1751	Dalata.4679
Dalata.1752	Dalata.16341
Dalata.1758	Dalata.16362
Dalata.1760	Dalata.16364
Dalata.1761	Dalata.13867
Dalata.1765	Dalata.16368
Dalata.1771	Dalata.16177
Dalata.1774	Dalata.16175
Dalata.1782	Dalata.16169
Dalata.1785	Dalata.16164
Dalata.1789	Dalata.14045
Dalata.1800	Dalata.16161
Dalata.1808	Dalata.16154
Dalata.1811	Dalata.16152
Dalata.1812	Dalata.16151
Dalata.1856	Dalata.16148
Dalata.1858	Dalata.14057
Dalata.1861	Dalata.14060
Dalata.1862	Dalata.22164
Dalata.1865	Dalata.24512
Dalata.1866	Dalata.14070
Dalata.1868	Dalata.16144
Dalata.1874	Dalata.16142
Dalata.1876	Dalata.16141
Dalata.1879	Dalata.14079
Dalata.1885	Dalata.16139
Dalata.1891	Dalata.12945
Dalata.1897	Dalata.14084
Dalata.1899	Dalata.16128
Dalata.1903	Dalata.14091
Dalata.1917	Dalata.16122
Dalata.1921	Dalata.16121
Dalata.1922	Dalata.16120
Dalata.1924	Dalata.6281
Dalata.1936	Dalata.16116
Dalata.1937	Dalata.16114
Dalata.1942	Dalata.14120
Dalata.1952	Dalata.16102
Dalata.1959	Dalata.16097
Dalata.1960	Dalata.14132
Dalata.1965	Dalata.17888
Dalata.1967	Dalata.16088
Dalata.1973	Dalata.16081
Dalata.1975	Dalata.9295
Dalata.1977	Dalata.16078
Dalata.1981	Dalata.16068
Dalata.1983	Dalata.16067
Dalata.1997	Dalata.20975
Dalata.1999	Dalata.10449
Dalata.2000	Dalata.10455
Dalata.2001	Dalata.10459
Dalata.2003	Dalata.10461
Dalata.2004	Dalata.10462
Dalata.2005	Dalata.11243
Dalata.2007	Dalata.10468
Dalata.2008	Dalata.10469
Dalata.2011	Dalata.10472
Dalata.2012	Dalata.10474
Dalata.2013	Dalata.10477
Dalata.2015	Dalata.24135
Dalata.2016	Dalata.17451
Dalata.2017	Dalata.10478
Dalata.2021	Dalata.10482
Dalata.2036	Dalata.10491
Dalata.2038	Dalata.10493
Dalata.2039	Dalata.10497
Dalata.2042	Dalata.10499
Dalata.2044	Dalata.10500
Dalata.2045	Dalata.10502
Dalata.2048	Dalata.10503
Dalata.2050	Dalata.10507
Dalata.2051	Dalata.18935
Dalata.2053	Dalata.10508
Dalata.2054	Dalata.10510
Dalata.2055	Dalata.19285
Dalata.2065	Dalata.10516
Dalata.2066	Dalata.10519
Dalata.2068	Dalata.10525
Dalata.2070	Dalata.10527
Dalata.2071	Dalata.10528
Dalata.2075	Dalata.10530
Dalata.2077	Dalata.11295
Dalata.2081	Dalata.24893
Dalata.2084	Dalata.19293
Dalata.2086	Dalata.10531
Dalata.2092	Dalata.19229
Dalata.2093	Dalata.11300
Dalata.2094	Dalata.10581
Dalata.2098	Dalata.10537
Dalata.2099	Dalata.11302
Dalata.2102	Dalata.11303
Dalata.2103	Dalata.3354
Dalata.2104	Dalata.10541
Dalata.2105	Dalata.10544
Dalata.2107	Dalata.10548
Dalata.2108	Dalata.10564
Dalata.2110	Dalata.22922
Dalata.2112	Dalata.10568
Dalata.2115	Dalata.10570
Dalata.2116	Dalata.10571
Dalata.2122	Dalata.10574
Dalata.2125	Dalata.10575
Dalata.2127	Dalata.10576
Dalata.2131	Dalata.3943
Dalata.2138	Dalata.11326
Dalata.2139	Dalata.10582
Dalata.2142	Dalata.10593
Dalata.2143	Dalata.10591
Dalata.2147	Dalata.10590
Dalata.2148	Dalata.8603
Dalata.2149	Dalata.11333
Dalata.2150	Dalata.11332
Dalata.2154	Dalata.10587
Dalata.2160	Dalata.10597
Dalata.2162	Dalata.10598
Dalata.2168	Dalata.10607
Dalata.2169	Dalata.10606
Dalata.2170	Dalata.10605
Dalata.2172	Dalata.10604
Dalata.2180	Dalata.6137
Dalata.2182	Dalata.10610
Dalata.2183	Dalata.10613
Dalata.2185	Dalata.11344
Dalata.2186	Dalata.10621
Dalata.2194	Dalata.10629
Dalata.2198	Dalata.24199
Dalata.2201	Dalata.10635
Dalata.2206	Dalata.10640
Dalata.2224	Dalata.10649
Dalata.2225	Dalata.19374
Dalata.2227	Dalata.10651
Dalata.2231	Dalata.15252
Dalata.2234	Dalata.11376
Dalata.2235	Dalata.10666
Dalata.2239	Dalata.19510
Dalata.2242	Dalata.10675
Dalata.2243	Dalata.17626
Dalata.2245	Dalata.10681
Dalata.2246	Dalata.11390
Dalata.2248	Dalata.10686
Dalata.2251	Dalata.10687
Dalata.2267	Dalata.10699
Dalata.2279	Dalata.10702
Dalata.2280	Dalata.10703
Dalata.2287	Dalata.15947
Dalata.2296	Dalata.2373
Dalata.2298	Dalata.18815
Dalata.2305	Dalata.10721
Dalata.2308	Dalata.10723
Dalata.2313	Dalata.10724
Dalata.2317	Dalata.10727
Dalata.2321	Dalata.19472
Dalata.2323	Dalata.10731
Dalata.2324	Dalata.11420
Dalata.2346	Dalata.10648
Dalata.2347	Dalata.10736
Dalata.2355	Dalata.24409
Dalata.2357	Dalata.11427
Dalata.2360	Dalata.9704
Dalata.2362	Dalata.17074
Dalata.2364	Dalata.10637
Dalata.2367	Dalata.19468
Dalata.2375	Dalata.10740
Dalata.2383	Dalata.11437
Dalata.2389	Dalata.10732
Dalata.2398	Dalata.10424
Dalata.2400	Dalata.10421
Dalata.2404	Dalata.24560
Dalata.2405	Dalata.13770
Dalata.2406	Dalata.10420
Dalata.2409	Dalata.11457
Dalata.2416	Dalata.10422
Dalata.2417	Dalata.10443
Dalata.2428	Dalata.10761
Dalata.2430	Dalata.10758
Dalata.2444	Dalata.11372
Dalata.2446	Dalata.22938
Dalata.2451	Dalata.19598
Dalata.2456	Dalata.2507
Dalata.2518	Dalata.7023
Dalata.2519	Dalata.21236
Dalata.2521	Dalata.10386
Dalata.2527	Dalata.10379
Dalata.2531	Dalata.10301
Dalata.2532	Dalata.10366
Dalata.2536	Dalata.10346
Dalata.2537	Dalata.23613
Dalata.2539	Dalata.10341
Dalata.2543	Dalata.14500
Dalata.2547	Dalata.10315
Dalata.2550	Dalata.10319
Dalata.2552	Dalata.10412
Dalata.2555	Dalata.2689
Dalata.2568	Dalata.4431
Dalata.2570	Dalata.11298
Dalata.2586	Dalata.19419
Dalata.2611	Dalata.15899
Dalata.2613	Dalata.10289
Dalata.2616	Dalata.19633
Dalata.2617	Dalata.7073
Dalata.2626	Dalata.10280
Dalata.2627	Dalata.10279
Dalata.2628	Dalata.10278
Dalata.2634	Dalata.10277
Dalata.2635	Dalata.10276
Dalata.2636	Dalata.12721
Dalata.2643	Dalata.5598
Dalata.2679	Dalata.10274
Dalata.2682	Dalata.10271
Dalata.2701	Dalata.7121
Dalata.2705	Dalata.7123
Dalata.2706	Dalata.7068
Dalata.2709	Dalata.19656
Dalata.2711	Dalata.10256
Dalata.2713	Dalata.19663
Dalata.2714	Dalata.10252
Dalata.2716	Dalata.7137
Dalata.2717	Dalata.7138
Dalata.2724	Dalata.10212
Dalata.2734	Dalata.10226
Dalata.2736	Dalata.10232
Dalata.2747	Dalata.10242
Dalata.2758	Dalata.10243
Dalata.2766	Dalata.10283
Dalata.2769	Dalata.10183
Dalata.2786	Dalata.19370
Dalata.2794	Dalata.10186
Dalata.2795	Dalata.10187
Dalata.2796	Dalata.19699
Dalata.2797	Dalata.10188
Dalata.2799	Dalata.10196
Dalata.2800	Dalata.7171
Dalata.2801	Dalata.10198
Dalata.2803	Dalata.10200
Dalata.2809	Dalata.10168
Dalata.2830	Dalata.10162
Dalata.2833	Dalata.19692
Dalata.2845	Dalata.19710
Dalata.2850	Dalata.19711
Dalata.2851	Dalata.10135
Dalata.2853	Dalata.19713
Dalata.2856	Dalata.10127
Dalata.2861	Dalata.10126
Dalata.2863	Dalata.10119
Dalata.2865	Dalata.10112
Dalata.2867	Dalata.10111
Dalata.2870	Dalata.10105
Dalata.2871	Dalata.25026
Dalata.2872	Dalata.10102
Dalata.2873	Dalata.5248
Dalata.2875	Dalata.10100
Dalata.2878	Dalata.21963
Dalata.2909	Dalata.10017
Dalata.2910	Dalata.10020
Dalata.2911	Dalata.10018
Dalata.2912	Dalata.9998
Dalata.2914	Dalata.10025
Dalata.2918	Dalata.10031
Dalata.2919	Dalata.10030
Dalata.2926	Dalata.7233
Dalata.2930	Dalata.10035
Dalata.2936	Dalata.10041
Dalata.2939	Dalata.10046
Dalata.2941	Dalata.23510
Dalata.2947	Dalata.10052
Dalata.2950	Dalata.24554
Dalata.2954	Dalata.10054
Dalata.2958	Dalata.7215
Dalata.2959	Dalata.4609
Dalata.2960	Dalata.10063
Dalata.2967	Dalata.10073
Dalata.2969	Dalata.10074
Dalata.2978	Dalata.16403
Dalata.2981	Dalata.3128
Dalata.2983	Dalata.10077
Dalata.2986	Dalata.10080
Dalata.2987	Dalata.10083
Dalata.2989	Dalata.10089
Dalata.2992	Dalata.10098
Dalata.2994	Dalata.10009
Dalata.2997	Dalata.10008
Dalata.2999	Dalata.17166
Dalata.3003	Dalata.10767
Dalata.3004	Dalata.13961
Dalata.3017	Dalata.17050
Dalata.3022	Dalata.6480
Dalata.3028	Dalata.17046
Dalata.3034	Dalata.9666
Dalata.3036	Dalata.5078
Dalata.3040	Dalata.17093
Dalata.3044	Dalata.17116
Dalata.3045	Dalata.17117
Dalata.3049	Dalata.11673
Dalata.3055	Dalata.17128
Dalata.3057	Dalata.5491
Dalata.3061	Dalata.13742
Dalata.3068	Dalata.6417
Dalata.3069	Dalata.24622
Dalata.3076	Dalata.25014
Dalata.3078	Dalata.24923
Dalata.3085	Dalata.6398
Dalata.3087	Dalata.17081
Dalata.3091	Dalata.9469
Dalata.3095	Dalata.5530
Dalata.3097	Dalata.5509
Dalata.3098	Dalata.19231
Dalata.3100	Dalata.5506
Dalata.3102	Dalata.17136
Dalata.3103	Dalata.17135
Dalata.3104	Dalata.12395
Dalata.3106	Dalata.12394
Dalata.3109	Dalata.17062
Dalata.3122	Dalata.20046
Dalata.3127	Dalata.5072
Dalata.3131	Dalata.5243
Dalata.3133	Dalata.16936
Dalata.3134	Dalata.12757
Dalata.3136	Dalata.18321
Dalata.3138	Dalata.5340
Dalata.3146	Dalata.16920
Dalata.3151	Dalata.24465
Dalata.3153	Dalata.7488
Dalata.3154	Dalata.12742
Dalata.3155	Dalata.5356
Dalata.3157	Dalata.16924
Dalata.3160	Dalata.12747
Dalata.3161	Dalata.12750
Dalata.3168	Dalata.5337
Dalata.3169	Dalata.12722
Dalata.3174	Dalata.16844
Dalata.3175	Dalata.16908
Dalata.3176	Dalata.16907
Dalata.3177	Dalata.3760
Dalata.3186	Dalata.12706
Dalata.3187	Dalata.12705
Dalata.3191	Dalata.16894
Dalata.3192	Dalata.16893
Dalata.3193	Dalata.16892
Dalata.3194	Dalata.10766
Dalata.3195	Dalata.5307
Dalata.3196	Dalata.16889
Dalata.3197	Dalata.16888
Dalata.3198	Dalata.12689
Dalata.3202	Dalata.16881
Dalata.3210	Dalata.5400
Dalata.3211	Dalata.12644
Dalata.3214	Dalata.5394
Dalata.3216	Dalata.16870
Dalata.3217	Dalata.16869
Dalata.3218	Dalata.16868
Dalata.3223	Dalata.16866
Dalata.3224	Dalata.12669
Dalata.3225	Dalata.5372
Dalata.3233	Dalata.20041
Dalata.3238	Dalata.12632
Dalata.3239	Dalata.16853
Dalata.3248	Dalata.5412
Dalata.3249	Dalata.12627
Dalata.3250	Dalata.5422
Dalata.3258	Dalata.5432
Dalata.3260	Dalata.3643
Dalata.3266	Dalata.5460
Dalata.3267	Dalata.16841
Dalata.3270	Dalata.11408
Dalata.3281	Dalata.5474
Dalata.3287	Dalata.16832
Dalata.3292	Dalata.16829
Dalata.3293	Dalata.16827
Dalata.3304	Dalata.16822
Dalata.3305	Dalata.16821
Dalata.3306	Dalata.5038
Dalata.3310	Dalata.16814
Dalata.3311	Dalata.16813
Dalata.3323	Dalata.12841
Dalata.3324	Dalata.23650
Dalata.3325	Dalata.23511
Dalata.3329	Dalata.16805
Dalata.3330	Dalata.16792
Dalata.3334	Dalata.12853
Dalata.3335	Dalata.16789
Dalata.3339	Dalata.16783
Dalata.3342	Dalata.16781
Dalata.3343	Dalata.16777
Dalata.3347	Dalata.5214
Dalata.3350	Dalata.16773
Dalata.3351	Dalata.16772
Dalata.3357	Dalata.5200
Dalata.3358	Dalata.16765
Dalata.3361	Dalata.16762
Dalata.3365	Dalata.5194
Dalata.3371	Dalata.5190
Dalata.3374	Dalata.16756
Dalata.3376	Dalata.5183
Dalata.3380	Dalata.16753
Dalata.3383	Dalata.5171
Dalata.3387	Dalata.19208
Dalata.3390	Dalata.23746
Dalata.3391	Dalata.12887
Dalata.3399	Dalata.16738
Dalata.3401	Dalata.13116
Dalata.3402	Dalata.16737
Dalata.3406	Dalata.9125
Dalata.3407	Dalata.6158
Dalata.3408	Dalata.16731
Dalata.3411	Dalata.12925
Dalata.3413	Dalata.12928
Dalata.3416	Dalata.5145
Dalata.3418	Dalata.16724
Dalata.3419	Dalata.16723
Dalata.3420	Dalata.12601
Dalata.3421	Dalata.16721
Dalata.3431	Dalata.5045
Dalata.3433	Dalata.23077
Dalata.3442	Dalata.12966
Dalata.3444	Dalata.16727
Dalata.3456	Dalata.9163
Dalata.3461	Dalata.16702
Dalata.3474	Dalata.4996
Dalata.3476	Dalata.16662
Dalata.3478	Dalata.16661
Dalata.3479	Dalata.16660
Dalata.3480	Dalata.13002
Dalata.3495	Dalata.16649
Dalata.3496	Dalata.13024
Dalata.3497	Dalata.6350
Dalata.3499	Dalata.13025
Dalata.3504	Dalata.17102
Dalata.3505	Dalata.13027
Dalata.3510	Dalata.4941
Dalata.3513	Dalata.4929
Dalata.3517	Dalata.6034
Dalata.3523	Dalata.20379
Dalata.3524	Dalata.24955
Dalata.3527	Dalata.24958
Dalata.3528	Dalata.24947
Dalata.3532	Dalata.24938
Dalata.3533	Dalata.16634
Dalata.3534	Dalata.14543
Dalata.3535	Dalata.4768
Dalata.3536	Dalata.4871
Dalata.3546	Dalata.4899
Dalata.3549	Dalata.16615
Dalata.3552	Dalata.12776
Dalata.3557	Dalata.16610
Dalata.3558	Dalata.13043
Dalata.3560	Dalata.4919
Dalata.3562	Dalata.16606
Dalata.3563	Dalata.16604
Dalata.3564	Dalata.24954
Dalata.3565	Dalata.14071
Dalata.3569	Dalata.5874
Dalata.3570	Dalata.24936
Dalata.3572	Dalata.24935
Dalata.3575	Dalata.24827
Dalata.3578	Dalata.19063
Dalata.3588	Dalata.24932
Dalata.3592	Dalata.9340
Dalata.3598	Dalata.24917
Dalata.3613	Dalata.24916
Dalata.3615	Dalata.24914
Dalata.3624	Dalata.24900
Dalata.3625	Dalata.24899
Dalata.3628	Dalata.24883
Dalata.3635	Dalata.24881
Dalata.3639	Dalata.24876
Dalata.3641	Dalata.24873
Dalata.3645	Dalata.16215
Dalata.3650	Dalata.24815
Dalata.3655	Dalata.24817
Dalata.3657	Dalata.24819
Dalata.3660	Dalata.24820
Dalata.3662	Dalata.24821
Dalata.3665	Dalata.24826
Dalata.3666	Dalata.5976
