Dalata.18	Dalata.14141
Dalata.1738	Dalata.16320
Dalata.1742	Dalata.16329
Dalata.1746	Dalata.16331
Dalata.1747	Dalata.16337
Dalata.1749	Dalata.16332
Dalata.1752	Dalata.16341
Dalata.1758	Dalata.16362
Dalata.1760	Dalata.16364
Dalata.1765	Dalata.16368
Dalata.1771	Dalata.16177
Dalata.1774	Dalata.16175
Dalata.1782	Dalata.16169
Dalata.1785	Dalata.16164
Dalata.1800	Dalata.16161
Dalata.1808	Dalata.16154
Dalata.1811	Dalata.16152
Dalata.1812	Dalata.16151
Dalata.1856	Dalata.16148
Dalata.1868	Dalata.16144
Dalata.1874	Dalata.16142
Dalata.1876	Dalata.16141
Dalata.1885	Dalata.16139
Dalata.1899	Dalata.16128
Dalata.1917	Dalata.16122
Dalata.1921	Dalata.16121
Dalata.1922	Dalata.16120
Dalata.1936	Dalata.16116
Dalata.1937	Dalata.16114
Dalata.1952	Dalata.16102
Dalata.1959	Dalata.16097
Dalata.1967	Dalata.16088
Dalata.1973	Dalata.16081
Dalata.1977	Dalata.16078
Dalata.1981	Dalata.16068
Dalata.1983	Dalata.16067
Dalata.1999	Dalata.10449
Dalata.2000	Dalata.10455
Dalata.2001	Dalata.10459
Dalata.2003	Dalata.10461
Dalata.2004	Dalata.10462
Dalata.2007	Dalata.10468
Dalata.2008	Dalata.10469
Dalata.2011	Dalata.10472
Dalata.2012	Dalata.10474
Dalata.2013	Dalata.10477
Dalata.2017	Dalata.10478
Dalata.2021	Dalata.10482
Dalata.2036	Dalata.10491
Dalata.2038	Dalata.10493
Dalata.2039	Dalata.10497
Dalata.2042	Dalata.10499
Dalata.2044	Dalata.10500
Dalata.2045	Dalata.10502
Dalata.2048	Dalata.10503
Dalata.2050	Dalata.10507
Dalata.2053	Dalata.10508
Dalata.2054	Dalata.10510
Dalata.2065	Dalata.10516
Dalata.2066	Dalata.10519
Dalata.2068	Dalata.10525
Dalata.2070	Dalata.10527
Dalata.2071	Dalata.10528
Dalata.2075	Dalata.10530
Dalata.2086	Dalata.10531
Dalata.2094	Dalata.10581
Dalata.2098	Dalata.10537
Dalata.2104	Dalata.10541
Dalata.2105	Dalata.10544
Dalata.2107	Dalata.10548
Dalata.2108	Dalata.10564
Dalata.2112	Dalata.10568
Dalata.2115	Dalata.10570
Dalata.2116	Dalata.10571
Dalata.2122	Dalata.10574
Dalata.2125	Dalata.10575
Dalata.2127	Dalata.10576
Dalata.2139	Dalata.10582
Dalata.2142	Dalata.10593
Dalata.2143	Dalata.10591
Dalata.2147	Dalata.10590
Dalata.2154	Dalata.10587
Dalata.2160	Dalata.10597
Dalata.2162	Dalata.10598
Dalata.2168	Dalata.10607
Dalata.2169	Dalata.10606
Dalata.2170	Dalata.10605
Dalata.2172	Dalata.10604
Dalata.2182	Dalata.10610
Dalata.2183	Dalata.10613
Dalata.2186	Dalata.10621
Dalata.2194	Dalata.10629
Dalata.2201	Dalata.10635
Dalata.2206	Dalata.10640
Dalata.2224	Dalata.10649
Dalata.2227	Dalata.10651
Dalata.2235	Dalata.10666
Dalata.2242	Dalata.10675
Dalata.2245	Dalata.10681
Dalata.2248	Dalata.10686
Dalata.2251	Dalata.10687
Dalata.2267	Dalata.10699
Dalata.2279	Dalata.10702
Dalata.2280	Dalata.10703
Dalata.2305	Dalata.10721
Dalata.2308	Dalata.10723
Dalata.2313	Dalata.10724
Dalata.2317	Dalata.10727
Dalata.2323	Dalata.10731
Dalata.2346	Dalata.10648
Dalata.2347	Dalata.10736
Dalata.2364	Dalata.10637
Dalata.2375	Dalata.10740
Dalata.2389	Dalata.10732
Dalata.2428	Dalata.10761
Dalata.2430	Dalata.10758
Dalata.2398	Dalata.10424
Dalata.2400	Dalata.10421
Dalata.2406	Dalata.10420
Dalata.2416	Dalata.10422
Dalata.2417	Dalata.10443
Dalata.2521	Dalata.10386
Dalata.2527	Dalata.10379
Dalata.2531	Dalata.10301
Dalata.2532	Dalata.10366
Dalata.2536	Dalata.10346
Dalata.2539	Dalata.10341
Dalata.2547	Dalata.10315
Dalata.2550	Dalata.10319
Dalata.2552	Dalata.10412
Dalata.2613	Dalata.10289
Dalata.2626	Dalata.10280
Dalata.2627	Dalata.10279
Dalata.2628	Dalata.10278
Dalata.2634	Dalata.10277
Dalata.2635	Dalata.10276
Dalata.2679	Dalata.10274
Dalata.2682	Dalata.10271
Dalata.2711	Dalata.10256
Dalata.2714	Dalata.10252
Dalata.2724	Dalata.10212
Dalata.2734	Dalata.10226
Dalata.2736	Dalata.10232
Dalata.2747	Dalata.10242
Dalata.2758	Dalata.10243
Dalata.2766	Dalata.10283
Dalata.2769	Dalata.10183
Dalata.2794	Dalata.10186
Dalata.2795	Dalata.10187
Dalata.2797	Dalata.10188
Dalata.2799	Dalata.10196
Dalata.2801	Dalata.10198
Dalata.2803	Dalata.10200
Dalata.2809	Dalata.10168
Dalata.2830	Dalata.10162
Dalata.2851	Dalata.10135
Dalata.2856	Dalata.10127
Dalata.2861	Dalata.10126
Dalata.2863	Dalata.10119
Dalata.2865	Dalata.10112
Dalata.2867	Dalata.10111
Dalata.2870	Dalata.10105
Dalata.2872	Dalata.10102
Dalata.2875	Dalata.10100
Dalata.2909	Dalata.10017
Dalata.2910	Dalata.10020
Dalata.2911	Dalata.10018
Dalata.2912	Dalata.9998
Dalata.2914	Dalata.10025
Dalata.2918	Dalata.10031
Dalata.2919	Dalata.10030
Dalata.2930	Dalata.10035
Dalata.2936	Dalata.10041
Dalata.2939	Dalata.10046
Dalata.2947	Dalata.10052
Dalata.2954	Dalata.10054
Dalata.2960	Dalata.10063
Dalata.2967	Dalata.10073
Dalata.2969	Dalata.10074
Dalata.2983	Dalata.10077
Dalata.2986	Dalata.10080
Dalata.2987	Dalata.10083
Dalata.2989	Dalata.10089
Dalata.2992	Dalata.10098
Dalata.2994	Dalata.10009
Dalata.2997	Dalata.10008
Dalata.3017	Dalata.17050
Dalata.3028	Dalata.17046
Dalata.3040	Dalata.17093
Dalata.3044	Dalata.17116
Dalata.3045	Dalata.17117
Dalata.3055	Dalata.17128
Dalata.3087	Dalata.17081
Dalata.3102	Dalata.17136
Dalata.3103	Dalata.17135
Dalata.3109	Dalata.17062
Dalata.3133	Dalata.16936
Dalata.3146	Dalata.16920
Dalata.3157	Dalata.16924
Dalata.3174	Dalata.16844
Dalata.3175	Dalata.16908
Dalata.3176	Dalata.16907
Dalata.3191	Dalata.16894
Dalata.3192	Dalata.16893
Dalata.3193	Dalata.16892
Dalata.3196	Dalata.16889
Dalata.3197	Dalata.16888
Dalata.3202	Dalata.16881
Dalata.3216	Dalata.16870
Dalata.3217	Dalata.16869
Dalata.3218	Dalata.16868
Dalata.3223	Dalata.16866
Dalata.3239	Dalata.16853
Dalata.3267	Dalata.16841
Dalata.3287	Dalata.16832
Dalata.3292	Dalata.16829
Dalata.3293	Dalata.16827
Dalata.3304	Dalata.16822
Dalata.3305	Dalata.16821
Dalata.3310	Dalata.16814
Dalata.3311	Dalata.16813
Dalata.3329	Dalata.16805
Dalata.3330	Dalata.16792
Dalata.3335	Dalata.16789
Dalata.3339	Dalata.16783
Dalata.3342	Dalata.16781
Dalata.3343	Dalata.16777
Dalata.3350	Dalata.16773
Dalata.3351	Dalata.16772
Dalata.3358	Dalata.16765
Dalata.3361	Dalata.16762
Dalata.3374	Dalata.16756
Dalata.3380	Dalata.16753
Dalata.3399	Dalata.16738
Dalata.3402	Dalata.16737
Dalata.3408	Dalata.16731
Dalata.3418	Dalata.16724
Dalata.3419	Dalata.16723
Dalata.3421	Dalata.16721
Dalata.3444	Dalata.16727
Dalata.3461	Dalata.16702
Dalata.3476	Dalata.16662
Dalata.3478	Dalata.16661
Dalata.3479	Dalata.16660
Dalata.3495	Dalata.16649
Dalata.3533	Dalata.16634
Dalata.3549	Dalata.16615
Dalata.3557	Dalata.16610
Dalata.3562	Dalata.16606
Dalata.3563	Dalata.16604
Dalata.4228	Dalata.17078
Dalata.4231	Dalata.17009
Dalata.4242	Dalata.17001
Dalata.4245	Dalata.16999
Dalata.4248	Dalata.16992
Dalata.4250	Dalata.17377
Dalata.4252	Dalata.17378
Dalata.4256	Dalata.17381
Dalata.4257	Dalata.17382
Dalata.4260	Dalata.17383
Dalata.4265	Dalata.17387
Dalata.4266	Dalata.17388
Dalata.4268	Dalata.17393
Dalata.4272	Dalata.17394
Dalata.4273	Dalata.17395
Dalata.4275	Dalata.17397
Dalata.4278	Dalata.17398
Dalata.4281	Dalata.17399
Dalata.4286	Dalata.17402
Dalata.4296	Dalata.17413
Dalata.4297	Dalata.17416
Dalata.4298	Dalata.17417
Dalata.4421	Dalata.17475
Dalata.4422	Dalata.17476
Dalata.4425	Dalata.17481
Dalata.4432	Dalata.17483
Dalata.4433	Dalata.17489
Dalata.4434	Dalata.17490
Dalata.4447	Dalata.17498
Dalata.4449	Dalata.17440
Dalata.4451	Dalata.17438
Dalata.4452	Dalata.17437
Dalata.4453	Dalata.17435
Dalata.4454	Dalata.17434
Dalata.4458	Dalata.17429
Dalata.4460	Dalata.17431
Dalata.4309	Dalata.19159
Dalata.4312	Dalata.19162
Dalata.4322	Dalata.19163
Dalata.4323	Dalata.19164
Dalata.4324	Dalata.19165
Dalata.4326	Dalata.19168
Dalata.4333	Dalata.19172
Dalata.4337	Dalata.19178
Dalata.4338	Dalata.19185
Dalata.4339	Dalata.19187
Dalata.4340	Dalata.19188
Dalata.4351	Dalata.19202
Dalata.4352	Dalata.19203
Dalata.4354	Dalata.19205
Dalata.4357	Dalata.19206
Dalata.4364	Dalata.19212
Dalata.4369	Dalata.19217
Dalata.4375	Dalata.19227
Dalata.4376	Dalata.19228
Dalata.4384	Dalata.19235
Dalata.4387	Dalata.19248
Dalata.4389	Dalata.19249
Dalata.4390	Dalata.19253
Dalata.4399	Dalata.19266
Dalata.4480	Dalata.18814
Dalata.4493	Dalata.18821
Dalata.4494	Dalata.18822
Dalata.4495	Dalata.18825
Dalata.4513	Dalata.18836
Dalata.4517	Dalata.18837
Dalata.4522	Dalata.18840
Dalata.4535	Dalata.18844
Dalata.4536	Dalata.18848
Dalata.4537	Dalata.18849
Dalata.4543	Dalata.18852
Dalata.4547	Dalata.18853
Dalata.4548	Dalata.18854
Dalata.4557	Dalata.18867
Dalata.4568	Dalata.18874
Dalata.4573	Dalata.18876
Dalata.4582	Dalata.18890
Dalata.4584	Dalata.18891
Dalata.4585	Dalata.18892
Dalata.4587	Dalata.18893
Dalata.4588	Dalata.18894
Dalata.4593	Dalata.18898
Dalata.4598	Dalata.18907
Dalata.4603	Dalata.18912
Dalata.4608	Dalata.18956
Dalata.4611	Dalata.18940
Dalata.4618	Dalata.18934
Dalata.4621	Dalata.18933
Dalata.4630	Dalata.18931
Dalata.4636	Dalata.18930
Dalata.4640	Dalata.18928
Dalata.4646	Dalata.18925
Dalata.4658	Dalata.18918
Dalata.4663	Dalata.18916
Dalata.4665	Dalata.18915
Dalata.4688	Dalata.18984
Dalata.4710	Dalata.18987
Dalata.4714	Dalata.18990
Dalata.4726	Dalata.19008
Dalata.4732	Dalata.19016
Dalata.4733	Dalata.19025
Dalata.4739	Dalata.19028
Dalata.4741	Dalata.19052
Dalata.4742	Dalata.19053
Dalata.4743	Dalata.19056
Dalata.4747	Dalata.19060
Dalata.4748	Dalata.19061
Dalata.4749	Dalata.19064
Dalata.4750	Dalata.19065
Dalata.4753	Dalata.19083
Dalata.4771	Dalata.19087
Dalata.4785	Dalata.19095
Dalata.4786	Dalata.19098
Dalata.4788	Dalata.19101
Dalata.4803	Dalata.19106
Dalata.4804	Dalata.19107
Dalata.4805	Dalata.19108
Dalata.4807	Dalata.19111
Dalata.4810	Dalata.19116
Dalata.4812	Dalata.19120
Dalata.4818	Dalata.19126
Dalata.4821	Dalata.19127
Dalata.4835	Dalata.19131
Dalata.4836	Dalata.19133
Dalata.4838	Dalata.19134
Dalata.4841	Dalata.19137
Dalata.4847	Dalata.19149
Dalata.4849	Dalata.19143
Dalata.4850	Dalata.19152
Dalata.4853	Dalata.19153
Dalata.3524	Dalata.24955
Dalata.3527	Dalata.24958
Dalata.3528	Dalata.24947
Dalata.3532	Dalata.24938
Dalata.3564	Dalata.24954
Dalata.3570	Dalata.24936
Dalata.3572	Dalata.24935
Dalata.3575	Dalata.24827
Dalata.3588	Dalata.24932
Dalata.3598	Dalata.24917
Dalata.3613	Dalata.24916
Dalata.3615	Dalata.24914
Dalata.3624	Dalata.24900
Dalata.3625	Dalata.24899
Dalata.3628	Dalata.24883
Dalata.3635	Dalata.24881
Dalata.3639	Dalata.24876
Dalata.3641	Dalata.24873
Dalata.3650	Dalata.24815
Dalata.3655	Dalata.24817
Dalata.3657	Dalata.24819
Dalata.3660	Dalata.24820
Dalata.3662	Dalata.24821
Dalata.3665	Dalata.24826
Dalata.3670	Dalata.24828
Dalata.3685	Dalata.24841
Dalata.3686	Dalata.24846
Dalata.3688	Dalata.24847
Dalata.3689	Dalata.24849
Dalata.3690	Dalata.24854
Dalata.3691	Dalata.24859
Dalata.3700	Dalata.24865
Dalata.3704	Dalata.24866
Dalata.3708	Dalata.24867
Dalata.3710	Dalata.24869
Dalata.3718	Dalata.24809
Dalata.3720	Dalata.24807
Dalata.3734	Dalata.24790
Dalata.3738	Dalata.24448
Dalata.3743	Dalata.24450
Dalata.3746	Dalata.24452
Dalata.3749	Dalata.24458
Dalata.3753	Dalata.24467
Dalata.3755	Dalata.24473
Dalata.3762	Dalata.24487
Dalata.3783	Dalata.24522
Dalata.3784	Dalata.24521
Dalata.3791	Dalata.24508
Dalata.3796	Dalata.24498
Dalata.3797	Dalata.24496
Dalata.3835	Dalata.24191
Dalata.3842	Dalata.24137
Dalata.3868	Dalata.24394
Dalata.3878	Dalata.24403
Dalata.3890	Dalata.24360
Dalata.3910	Dalata.24375
Dalata.3932	Dalata.24755
Dalata.3934	Dalata.24753
Dalata.3936	Dalata.24748
Dalata.3938	Dalata.24744
Dalata.3939	Dalata.24743
Dalata.3940	Dalata.24742
Dalata.3941	Dalata.24735
Dalata.3955	Dalata.24714
Dalata.3958	Dalata.24701
Dalata.3961	Dalata.24696
Dalata.3962	Dalata.24695
Dalata.3980	Dalata.24665
Dalata.3981	Dalata.24663
Dalata.3983	Dalata.24662
Dalata.3987	Dalata.24658
Dalata.3988	Dalata.24657
Dalata.3990	Dalata.24655
Dalata.3993	Dalata.24644
Dalata.3995	Dalata.24642
Dalata.3996	Dalata.24641
Dalata.4000	Dalata.24635
Dalata.4007	Dalata.24625
Dalata.4010	Dalata.24621
Dalata.4011	Dalata.24620
Dalata.4025	Dalata.24547
Dalata.4029	Dalata.24552
Dalata.4037	Dalata.24562
Dalata.4038	Dalata.24566
Dalata.4040	Dalata.24569
Dalata.4044	Dalata.24574
Dalata.4046	Dalata.24575
Dalata.4061	Dalata.24587
Dalata.4067	Dalata.24591
Dalata.4069	Dalata.24594
Dalata.4070	Dalata.24595
Dalata.4072	Dalata.24596
Dalata.4077	Dalata.24598
Dalata.4078	Dalata.24600
Dalata.4081	Dalata.24602
Dalata.4084	Dalata.24603
Dalata.4087	Dalata.24605
Dalata.4091	Dalata.24609
Dalata.4110	Dalata.25034
Dalata.4115	Dalata.25012
Dalata.4118	Dalata.25021
Dalata.4123	Dalata.25028
Dalata.4124	Dalata.25030
Dalata.4125	Dalata.25031
Dalata.4141	Dalata.25046
Dalata.4143	Dalata.25071
Dalata.4144	Dalata.25070
Dalata.4148	Dalata.25051
Dalata.4157	Dalata.25090
Dalata.4158	Dalata.25091
Dalata.4170	Dalata.25109
Dalata.4171	Dalata.25110
Dalata.4172	Dalata.25122
Dalata.4178	Dalata.25125
Dalata.4182	Dalata.25138
Dalata.4186	Dalata.25144
Dalata.4188	Dalata.25145
Dalata.4189	Dalata.25147
Dalata.4193	Dalata.25150
Dalata.4204	Dalata.25155
Dalata.4861	Dalata.13094
Dalata.4867	Dalata.13086
Dalata.4869	Dalata.13085
Dalata.4872	Dalata.13082
Dalata.4877	Dalata.13076
Dalata.4885	Dalata.13072
Dalata.4891	Dalata.13074
Dalata.4893	Dalata.13068
Dalata.4907	Dalata.13056
Dalata.4911	Dalata.13051
Dalata.4913	Dalata.13050
Dalata.4922	Dalata.13041
Dalata.4925	Dalata.13038
Dalata.4927	Dalata.13035
Dalata.4937	Dalata.13031
Dalata.4944	Dalata.13026
Dalata.4952	Dalata.13023
Dalata.4954	Dalata.12977
Dalata.4956	Dalata.12978
Dalata.4959	Dalata.12980
Dalata.4963	Dalata.12983
Dalata.4967	Dalata.12984
Dalata.4968	Dalata.12985
Dalata.4969	Dalata.12986
Dalata.4970	Dalata.12987
Dalata.4975	Dalata.12989
Dalata.4977	Dalata.12991
Dalata.4979	Dalata.12993
Dalata.4982	Dalata.12996
Dalata.4991	Dalata.13003
Dalata.4993	Dalata.13008
Dalata.4995	Dalata.13009
Dalata.5001	Dalata.13020
Dalata.5003	Dalata.13021
Dalata.5012	Dalata.12839
Dalata.5013	Dalata.12838
Dalata.5020	Dalata.12834
Dalata.5022	Dalata.12831
Dalata.5026	Dalata.12829
Dalata.5027	Dalata.12814
Dalata.5030	Dalata.12816
Dalata.5031	Dalata.12817
Dalata.5032	Dalata.12821
Dalata.5033	Dalata.12820
Dalata.5037	Dalata.12825
Dalata.5040	Dalata.12950
Dalata.5044	Dalata.12953
Dalata.5046	Dalata.12954
Dalata.5053	Dalata.12970
Dalata.5055	Dalata.12972
Dalata.5058	Dalata.12974
Dalata.5060	Dalata.12975
Dalata.5075	Dalata.12786
Dalata.5080	Dalata.12789
Dalata.5081	Dalata.12790
Dalata.5082	Dalata.12791
Dalata.5084	Dalata.12793
Dalata.5086	Dalata.12795
Dalata.5087	Dalata.12799
Dalata.5092	Dalata.12801
Dalata.5096	Dalata.12802
Dalata.5122	Dalata.12806
Dalata.5136	Dalata.12927
Dalata.5147	Dalata.12931
Dalata.5154	Dalata.12940
Dalata.5156	Dalata.12941
Dalata.5157	Dalata.12811
Dalata.5161	Dalata.12894
Dalata.5162	Dalata.12891
Dalata.5166	Dalata.12888
Dalata.5169	Dalata.12886
Dalata.5170	Dalata.12884
Dalata.5172	Dalata.12883
Dalata.5176	Dalata.12879
Dalata.5185	Dalata.12870
Dalata.5189	Dalata.12868
Dalata.5193	Dalata.12866
Dalata.5198	Dalata.12862
Dalata.5202	Dalata.12860
Dalata.5230	Dalata.12847
Dalata.5231	Dalata.12846
Dalata.5232	Dalata.12843
Dalata.5237	Dalata.12773
Dalata.5240	Dalata.12771
Dalata.5250	Dalata.12764
Dalata.5254	Dalata.12758
Dalata.5258	Dalata.12756
Dalata.5260	Dalata.12755
Dalata.5265	Dalata.12752
Dalata.5279	Dalata.12659
Dalata.5284	Dalata.12656
Dalata.5291	Dalata.12683
Dalata.5293	Dalata.12681
Dalata.5296	Dalata.12684
Dalata.5301	Dalata.12687
Dalata.5303	Dalata.12688
Dalata.5326	Dalata.12714
Dalata.5329	Dalata.12716
Dalata.5330	Dalata.12717
Dalata.5335	Dalata.12719
Dalata.5345	Dalata.12736
Dalata.5351	Dalata.12740
Dalata.5352	Dalata.12741
Dalata.5358	Dalata.12743
Dalata.5360	Dalata.12744
Dalata.5362	Dalata.12745
Dalata.5363	Dalata.12746
Dalata.5364	Dalata.12748
Dalata.5367	Dalata.12660
Dalata.5368	Dalata.12661
Dalata.5373	Dalata.12663
Dalata.5377	Dalata.12670
Dalata.5384	Dalata.12671
Dalata.5389	Dalata.12678
Dalata.5390	Dalata.12650
Dalata.5409	Dalata.12635
Dalata.5411	Dalata.12634
Dalata.5420	Dalata.12618
Dalata.5423	Dalata.12621
Dalata.5433	Dalata.12609
Dalata.5449	Dalata.12608
Dalata.5450	Dalata.12607
Dalata.5495	Dalata.12582
Dalata.5499	Dalata.12579
Dalata.5501	Dalata.12567
Dalata.5516	Dalata.12561
Dalata.6344	Dalata.12526
Dalata.6348	Dalata.12516
Dalata.6349	Dalata.12514
Dalata.6354	Dalata.12508
Dalata.6365	Dalata.12503
Dalata.6381	Dalata.12491
Dalata.6387	Dalata.12487
Dalata.6388	Dalata.12486
Dalata.6391	Dalata.12484
Dalata.6392	Dalata.12481
Dalata.6400	Dalata.12475
Dalata.6403	Dalata.12468
Dalata.6405	Dalata.12466
Dalata.6408	Dalata.12462
Dalata.6409	Dalata.12461
Dalata.6423	Dalata.12446
Dalata.6425	Dalata.12438
Dalata.6429	Dalata.12435
Dalata.6440	Dalata.12429
Dalata.6441	Dalata.12430
Dalata.6449	Dalata.12424
Dalata.6454	Dalata.12423
Dalata.6460	Dalata.12383
Dalata.6461	Dalata.12385
Dalata.6463	Dalata.12405
Dalata.6466	Dalata.12407
Dalata.6468	Dalata.12409
Dalata.6475	Dalata.12389
Dalata.6481	Dalata.12341
Dalata.6483	Dalata.12334
Dalata.6498	Dalata.12324
Dalata.6501	Dalata.12332
Dalata.6503	Dalata.12310
Dalata.6504	Dalata.12307
Dalata.6508	Dalata.12305
Dalata.6515	Dalata.12303
Dalata.6516	Dalata.12292
Dalata.6519	Dalata.12290
Dalata.6521	Dalata.12289
Dalata.6525	Dalata.12288
Dalata.6527	Dalata.12287
Dalata.6530	Dalata.12283
Dalata.6532	Dalata.12281
Dalata.6534	Dalata.12279
Dalata.6535	Dalata.12277
Dalata.6537	Dalata.12274
Dalata.6540	Dalata.12273
Dalata.6545	Dalata.12271
Dalata.6546	Dalata.12270
Dalata.6552	Dalata.12267
Dalata.6553	Dalata.12266
Dalata.6554	Dalata.12263
Dalata.6557	Dalata.12261
Dalata.6561	Dalata.12251
Dalata.6562	Dalata.12253
Dalata.6564	Dalata.12254
Dalata.6579	Dalata.12222
Dalata.6582	Dalata.12220
Dalata.6586	Dalata.12217
Dalata.6593	Dalata.12211
Dalata.6598	Dalata.12209
Dalata.6599	Dalata.12207
Dalata.6602	Dalata.12206
Dalata.6603	Dalata.12205
Dalata.6607	Dalata.12203
Dalata.6608	Dalata.12202
Dalata.6614	Dalata.12199
Dalata.6620	Dalata.12201
Dalata.6622	Dalata.12192
Dalata.6643	Dalata.12168
