Dalata.126	Ddumetorum.20355
Dalata.521	Ddumetorum.20059
Dalata.522	Ddumetorum.20058
Dalata.524	Ddumetorum.20056
Dalata.525	Ddumetorum.20055
Dalata.526	Ddumetorum.20054
Dalata.527	Ddumetorum.20053
Dalata.528	Ddumetorum.20052
Dalata.529	Ddumetorum.20051
Dalata.530	Ddumetorum.20050
Dalata.547	Ddumetorum.20049
Dalata.560	Ddumetorum.20044
Dalata.562	Ddumetorum.20041
Dalata.566	Ddumetorum.20039
Dalata.567	Ddumetorum.20042
Dalata.568	Ddumetorum.20037
Dalata.575	Ddumetorum.20035
Dalata.579	Ddumetorum.20034
Dalata.584	Ddumetorum.20033
Dalata.586	Ddumetorum.20032
Dalata.593	Ddumetorum.20028
Dalata.597	Ddumetorum.20024
Dalata.598	Ddumetorum.20023
Dalata.599	Ddumetorum.20022
Dalata.600	Ddumetorum.20021
Dalata.601	Ddumetorum.20020
Dalata.602	Ddumetorum.20019
Dalata.605	Ddumetorum.20017
Dalata.606	Ddumetorum.20016
Dalata.607	Ddumetorum.20015
Dalata.608	Ddumetorum.20014
Dalata.609	Ddumetorum.20013
Dalata.613	Ddumetorum.20010
Dalata.616	Ddumetorum.20009
Dalata.621	Ddumetorum.20008
Dalata.622	Ddumetorum.20007
Dalata.623	Ddumetorum.20006
Dalata.624	Ddumetorum.20005
Dalata.625	Ddumetorum.20004
Dalata.626	Ddumetorum.20003
Dalata.627	Ddumetorum.20002
Dalata.628	Ddumetorum.20001
Dalata.629	Ddumetorum.20000
Dalata.630	Ddumetorum.19999
Dalata.631	Ddumetorum.19998
Dalata.633	Ddumetorum.19997
Dalata.634	Ddumetorum.19996
Dalata.635	Ddumetorum.19995
Dalata.636	Ddumetorum.19994
Dalata.637	Ddumetorum.19993
Dalata.638	Ddumetorum.19992
Dalata.639	Ddumetorum.19991
Dalata.641	Ddumetorum.19990
Dalata.642	Ddumetorum.19988
Dalata.643	Ddumetorum.19987
Dalata.645	Ddumetorum.19985
Dalata.646	Ddumetorum.19984
Dalata.648	Ddumetorum.19983
Dalata.655	Ddumetorum.19981
Dalata.656	Ddumetorum.19980
Dalata.657	Ddumetorum.19979
Dalata.658	Ddumetorum.19978
Dalata.659	Ddumetorum.19977
Dalata.660	Ddumetorum.19976
Dalata.661	Ddumetorum.19975
Dalata.662	Ddumetorum.19974
Dalata.664	Ddumetorum.19973
Dalata.666	Ddumetorum.19970
Dalata.673	Ddumetorum.19968
Dalata.674	Ddumetorum.19967
Dalata.675	Ddumetorum.19966
Dalata.677	Ddumetorum.19965
Dalata.679	Ddumetorum.19964
Dalata.680	Ddumetorum.19963
Dalata.682	Ddumetorum.19960
Dalata.683	Ddumetorum.19959
Dalata.684	Ddumetorum.19958
Dalata.685	Ddumetorum.19957
Dalata.686	Ddumetorum.19956
Dalata.687	Ddumetorum.19955
Dalata.688	Ddumetorum.19954
Dalata.689	Ddumetorum.19953
Dalata.690	Ddumetorum.19952
Dalata.691	Ddumetorum.19951
Dalata.693	Ddumetorum.19949
Dalata.694	Ddumetorum.19948
Dalata.696	Ddumetorum.19947
Dalata.704	Ddumetorum.19945
Dalata.707	Ddumetorum.19944
Dalata.708	Ddumetorum.19943
Dalata.709	Ddumetorum.19942
Dalata.710	Ddumetorum.19941
Dalata.712	Ddumetorum.19940
Dalata.713	Ddumetorum.19939
Dalata.714	Ddumetorum.19938
Dalata.715	Ddumetorum.19937
Dalata.716	Ddumetorum.19936
Dalata.717	Ddumetorum.19935
Dalata.718	Ddumetorum.19934
Dalata.719	Ddumetorum.19933
Dalata.720	Ddumetorum.19932
Dalata.721	Ddumetorum.19931
Dalata.722	Ddumetorum.19930
Dalata.723	Ddumetorum.19929
Dalata.724	Ddumetorum.19928
Dalata.725	Ddumetorum.19927
Dalata.726	Ddumetorum.19926
Dalata.728	Ddumetorum.19925
Dalata.729	Ddumetorum.19924
Dalata.730	Ddumetorum.19923
Dalata.731	Ddumetorum.19922
Dalata.732	Ddumetorum.19921
Dalata.733	Ddumetorum.19920
Dalata.734	Ddumetorum.19919
Dalata.736	Ddumetorum.19918
Dalata.737	Ddumetorum.19917
Dalata.739	Ddumetorum.19916
Dalata.740	Ddumetorum.19915
Dalata.741	Ddumetorum.19914
Dalata.743	Ddumetorum.19912
Dalata.745	Ddumetorum.19911
Dalata.746	Ddumetorum.19910
Dalata.747	Ddumetorum.19909
Dalata.748	Ddumetorum.19908
Dalata.749	Ddumetorum.19907
Dalata.751	Ddumetorum.19906
Dalata.752	Ddumetorum.19905
Dalata.753	Ddumetorum.19904
Dalata.754	Ddumetorum.19903
Dalata.756	Ddumetorum.19902
Dalata.758	Ddumetorum.19901
Dalata.760	Ddumetorum.19900
Dalata.762	Ddumetorum.19899
Dalata.763	Ddumetorum.19898
Dalata.765	Ddumetorum.19897
Dalata.766	Ddumetorum.19896
Dalata.767	Ddumetorum.19895
Dalata.768	Ddumetorum.19894
Dalata.769	Ddumetorum.19893
Dalata.770	Ddumetorum.19892
Dalata.772	Ddumetorum.19891
Dalata.773	Ddumetorum.19890
Dalata.774	Ddumetorum.19889
Dalata.775	Ddumetorum.19888
Dalata.776	Ddumetorum.19887
Dalata.778	Ddumetorum.19886
Dalata.779	Ddumetorum.19885
Dalata.780	Ddumetorum.19884
Dalata.781	Ddumetorum.19883
Dalata.782	Ddumetorum.19882
Dalata.783	Ddumetorum.19881
Dalata.784	Ddumetorum.19880
Dalata.785	Ddumetorum.19879
Dalata.786	Ddumetorum.19878
Dalata.788	Ddumetorum.19877
Dalata.789	Ddumetorum.19875
Dalata.792	Ddumetorum.19873
Dalata.793	Ddumetorum.19872
Dalata.794	Ddumetorum.19871
Dalata.798	Ddumetorum.19868
Dalata.799	Ddumetorum.19867
Dalata.801	Ddumetorum.19865
Dalata.802	Ddumetorum.19864
Dalata.806	Ddumetorum.19863
Dalata.807	Ddumetorum.19862
Dalata.811	Ddumetorum.19861
Dalata.812	Ddumetorum.19860
Dalata.815	Ddumetorum.19858
Dalata.817	Ddumetorum.19857
Dalata.819	Ddumetorum.19856
Dalata.820	Ddumetorum.19855
Dalata.821	Ddumetorum.19854
Dalata.822	Ddumetorum.19853
Dalata.824	Ddumetorum.19852
Dalata.825	Ddumetorum.19851
Dalata.826	Ddumetorum.19850
Dalata.827	Ddumetorum.19849
Dalata.828	Ddumetorum.19848
Dalata.829	Ddumetorum.19847
Dalata.830	Ddumetorum.19846
Dalata.831	Ddumetorum.19845
Dalata.832	Ddumetorum.19844
Dalata.833	Ddumetorum.19843
Dalata.841	Ddumetorum.19836
Dalata.842	Ddumetorum.19837
Dalata.844	Ddumetorum.19838
Dalata.845	Ddumetorum.19839
Dalata.846	Ddumetorum.19840
Dalata.849	Ddumetorum.19834
Dalata.850	Ddumetorum.19833
Dalata.851	Ddumetorum.19832
Dalata.853	Ddumetorum.19831
Dalata.854	Ddumetorum.19830
Dalata.855	Ddumetorum.19829
Dalata.856	Ddumetorum.19828
Dalata.858	Ddumetorum.19827
Dalata.859	Ddumetorum.19826
Dalata.862	Ddumetorum.19824
Dalata.863	Ddumetorum.19823
Dalata.865	Ddumetorum.19822
Dalata.868	Ddumetorum.19821
Dalata.871	Ddumetorum.19820
Dalata.872	Ddumetorum.19819
Dalata.873	Ddumetorum.19818
Dalata.874	Ddumetorum.19817
Dalata.875	Ddumetorum.19816
Dalata.876	Ddumetorum.19815
Dalata.878	Ddumetorum.19813
Dalata.881	Ddumetorum.19811
Dalata.882	Ddumetorum.19810
Dalata.883	Ddumetorum.19809
Dalata.884	Ddumetorum.19808
Dalata.885	Ddumetorum.19807
Dalata.886	Ddumetorum.19806
Dalata.887	Ddumetorum.19805
Dalata.888	Ddumetorum.19804
Dalata.889	Ddumetorum.19803
Dalata.890	Ddumetorum.19802
Dalata.896	Ddumetorum.19801
Dalata.899	Ddumetorum.19800
Dalata.900	Ddumetorum.19799
Dalata.902	Ddumetorum.19798
Dalata.903	Ddumetorum.19797
Dalata.904	Ddumetorum.19796
Dalata.905	Ddumetorum.19795
Dalata.907	Ddumetorum.19794
Dalata.908	Ddumetorum.19793
Dalata.909	Ddumetorum.19792
Dalata.910	Ddumetorum.19791
Dalata.911	Ddumetorum.19790
Dalata.912	Ddumetorum.19789
Dalata.913	Ddumetorum.19788
Dalata.916	Ddumetorum.19787
Dalata.917	Ddumetorum.19786
Dalata.918	Ddumetorum.19785
Dalata.919	Ddumetorum.19784
Dalata.921	Ddumetorum.19783
Dalata.923	Ddumetorum.19780
Dalata.924	Ddumetorum.19779
Dalata.932	Ddumetorum.19778
Dalata.933	Ddumetorum.19777
Dalata.934	Ddumetorum.19776
Dalata.935	Ddumetorum.19775
Dalata.936	Ddumetorum.19774
Dalata.937	Ddumetorum.19773
Dalata.938	Ddumetorum.19772
Dalata.939	Ddumetorum.19771
Dalata.940	Ddumetorum.19770
Dalata.941	Ddumetorum.19769
Dalata.945	Ddumetorum.19768
Dalata.946	Ddumetorum.19767
Dalata.947	Ddumetorum.19766
Dalata.948	Ddumetorum.19765
Dalata.949	Ddumetorum.19764
Dalata.950	Ddumetorum.19763
Dalata.953	Ddumetorum.19760
Dalata.954	Ddumetorum.19759
Dalata.955	Ddumetorum.19758
Dalata.956	Ddumetorum.19756
Dalata.963	Ddumetorum.19755
Dalata.964	Ddumetorum.19754
Dalata.965	Ddumetorum.19753
Dalata.966	Ddumetorum.19752
Dalata.969	Ddumetorum.19750
Dalata.970	Ddumetorum.19749
Dalata.972	Ddumetorum.19748
Dalata.975	Ddumetorum.19747
Dalata.976	Ddumetorum.19746
Dalata.977	Ddumetorum.19745
Dalata.978	Ddumetorum.19744
Dalata.979	Ddumetorum.19742
Dalata.981	Ddumetorum.19741
Dalata.982	Ddumetorum.19740
Dalata.983	Ddumetorum.19739
Dalata.984	Ddumetorum.19738
Dalata.3	Ddumetorum.23405
Dalata.4	Ddumetorum.23403
Dalata.6	Ddumetorum.23402
Dalata.7	Ddumetorum.23401
Dalata.8	Ddumetorum.23400
Dalata.9	Ddumetorum.23399
Dalata.10	Ddumetorum.23397
Dalata.11	Ddumetorum.23395
Dalata.12	Ddumetorum.23394
Dalata.13	Ddumetorum.23393
Dalata.16	Ddumetorum.23389
Dalata.17	Ddumetorum.23390
Dalata.19	Ddumetorum.23388
Dalata.20	Ddumetorum.23387
Dalata.21	Ddumetorum.23386
Dalata.23	Ddumetorum.23383
Dalata.24	Ddumetorum.23382
Dalata.25	Ddumetorum.23381
Dalata.27	Ddumetorum.23380
Dalata.28	Ddumetorum.23379
Dalata.30	Ddumetorum.23378
Dalata.32	Ddumetorum.23377
Dalata.34	Ddumetorum.23376
Dalata.35	Ddumetorum.23375
Dalata.36	Ddumetorum.23372
Dalata.37	Ddumetorum.23371
Dalata.38	Ddumetorum.23370
Dalata.40	Ddumetorum.23369
Dalata.41	Ddumetorum.23368
Dalata.42	Ddumetorum.23367
Dalata.45	Ddumetorum.23366
Dalata.46	Ddumetorum.23365
Dalata.49	Ddumetorum.23363
Dalata.50	Ddumetorum.23362
Dalata.51	Ddumetorum.23361
Dalata.52	Ddumetorum.23360
Dalata.53	Ddumetorum.23359
Dalata.54	Ddumetorum.23358
Dalata.59	Ddumetorum.23354
Dalata.61	Ddumetorum.23353
Dalata.62	Ddumetorum.23351
Dalata.76	Ddumetorum.23340
Dalata.81	Ddumetorum.23336
Dalata.82	Ddumetorum.23335
Dalata.83	Ddumetorum.23334
Dalata.85	Ddumetorum.23333
Dalata.87	Ddumetorum.23332
Dalata.88	Ddumetorum.23331
Dalata.89	Ddumetorum.23330
Dalata.90	Ddumetorum.23329
Dalata.92	Ddumetorum.23327
Dalata.93	Ddumetorum.23326
Dalata.94	Ddumetorum.23325
Dalata.98	Ddumetorum.23320
Dalata.99	Ddumetorum.23319
Dalata.100	Ddumetorum.23318
Dalata.102	Ddumetorum.23315
Dalata.103	Ddumetorum.23314
Dalata.105	Ddumetorum.23313
Dalata.107	Ddumetorum.23311
Dalata.109	Ddumetorum.23310
Dalata.110	Ddumetorum.23309
Dalata.112	Ddumetorum.23306
Dalata.113	Ddumetorum.23305
Dalata.114	Ddumetorum.23304
Dalata.115	Ddumetorum.23303
Dalata.116	Ddumetorum.23302
Dalata.117	Ddumetorum.23300
Dalata.118	Ddumetorum.23299
Dalata.119	Ddumetorum.23296
Dalata.121	Ddumetorum.23295
Dalata.123	Ddumetorum.23293
Dalata.124	Ddumetorum.23292
Dalata.993	Ddumetorum.4305
Dalata.994	Ddumetorum.4304
Dalata.995	Ddumetorum.4303
Dalata.997	Ddumetorum.4301
Dalata.998	Ddumetorum.4300
Dalata.999	Ddumetorum.4296
Dalata.1000	Ddumetorum.4294
Dalata.1003	Ddumetorum.4293
Dalata.1004	Ddumetorum.4292
Dalata.1006	Ddumetorum.4289
Dalata.1008	Ddumetorum.4287
Dalata.1009	Ddumetorum.4286
Dalata.1010	Ddumetorum.4285
Dalata.1011	Ddumetorum.4284
Dalata.1012	Ddumetorum.4283
Dalata.1014	Ddumetorum.4282
Dalata.1015	Ddumetorum.4281
Dalata.1016	Ddumetorum.4280
Dalata.1017	Ddumetorum.4279
Dalata.1019	Ddumetorum.4278
Dalata.1026	Ddumetorum.4270
Dalata.1028	Ddumetorum.4266
Dalata.1030	Ddumetorum.4265
Dalata.1031	Ddumetorum.4264
Dalata.1032	Ddumetorum.4263
Dalata.1033	Ddumetorum.4262
Dalata.1035	Ddumetorum.4261
Dalata.1037	Ddumetorum.4260
Dalata.1038	Ddumetorum.4259
Dalata.1039	Ddumetorum.4258
Dalata.1040	Ddumetorum.4257
Dalata.1041	Ddumetorum.4256
Dalata.1042	Ddumetorum.4255
Dalata.1043	Ddumetorum.4254
Dalata.1044	Ddumetorum.4253
Dalata.1045	Ddumetorum.4252
Dalata.1046	Ddumetorum.4251
Dalata.1047	Ddumetorum.4250
Dalata.1049	Ddumetorum.4248
Dalata.1062	Ddumetorum.4247
Dalata.1065	Ddumetorum.4243
Dalata.1068	Ddumetorum.4241
Dalata.1069	Ddumetorum.4240
Dalata.1070	Ddumetorum.4239
Dalata.1072	Ddumetorum.4235
Dalata.1074	Ddumetorum.4233
Dalata.1077	Ddumetorum.4231
Dalata.1078	Ddumetorum.4230
Dalata.1080	Ddumetorum.4229
Dalata.1081	Ddumetorum.4227
Dalata.1082	Ddumetorum.4226
Dalata.1083	Ddumetorum.4224
Dalata.1084	Ddumetorum.4223
Dalata.1085	Ddumetorum.4222
Dalata.1086	Ddumetorum.4221
Dalata.1088	Ddumetorum.4220
Dalata.1089	Ddumetorum.4219
Dalata.1095	Ddumetorum.4217
Dalata.1108	Ddumetorum.4210
Dalata.1109	Ddumetorum.4209
Dalata.1111	Ddumetorum.4208
Dalata.1112	Ddumetorum.4207
Dalata.1113	Ddumetorum.4206
Dalata.1114	Ddumetorum.4205
Dalata.1115	Ddumetorum.4204
Dalata.1116	Ddumetorum.4202
Dalata.1121	Ddumetorum.4201
Dalata.1122	Ddumetorum.4200
Dalata.1124	Ddumetorum.4199
Dalata.1123	Ddumetorum.4198
Dalata.1126	Ddumetorum.4197
Dalata.1128	Ddumetorum.4196
Dalata.1136	Ddumetorum.4194
Dalata.1142	Ddumetorum.4192
Dalata.1145	Ddumetorum.4190
Dalata.1146	Ddumetorum.4189
Dalata.1155	Ddumetorum.4188
Dalata.1156	Ddumetorum.4187
Dalata.1157	Ddumetorum.4186
Dalata.1158	Ddumetorum.4185
Dalata.1159	Ddumetorum.4184
Dalata.1160	Ddumetorum.4183
Dalata.1161	Ddumetorum.4182
Dalata.1163	Ddumetorum.4181
Dalata.1166	Ddumetorum.4179
Dalata.1167	Ddumetorum.4178
Dalata.1168	Ddumetorum.4177
Dalata.1171	Ddumetorum.4175
Dalata.1172	Ddumetorum.4174
Dalata.1175	Ddumetorum.4172
Dalata.1176	Ddumetorum.4171
Dalata.1177	Ddumetorum.4170
Dalata.1178	Ddumetorum.4168
Dalata.1179	Ddumetorum.4167
Dalata.1180	Ddumetorum.4166
Dalata.1185	Ddumetorum.4162
Dalata.1187	Ddumetorum.4161
Dalata.1189	Ddumetorum.4159
Dalata.1190	Ddumetorum.4158
Dalata.1191	Ddumetorum.4157
Dalata.1192	Ddumetorum.4155
Dalata.1197	Ddumetorum.4154
Dalata.1198	Ddumetorum.4153
Dalata.1199	Ddumetorum.4152
Dalata.1202	Ddumetorum.4150
Dalata.1203	Ddumetorum.4148
Dalata.1204	Ddumetorum.4145
Dalata.1205	Ddumetorum.4144
Dalata.1212	Ddumetorum.4143
Dalata.1213	Ddumetorum.4142
Dalata.1220	Ddumetorum.4137
Dalata.1221	Ddumetorum.4136
Dalata.1222	Ddumetorum.4135
Dalata.1224	Ddumetorum.4134
Dalata.1225	Ddumetorum.4132
Dalata.1227	Ddumetorum.4129
Dalata.1229	Ddumetorum.4128
Dalata.1230	Ddumetorum.4127
Dalata.1231	Ddumetorum.4126
Dalata.1233	Ddumetorum.4123
Dalata.1234	Ddumetorum.4121
Dalata.1236	Ddumetorum.4120
Dalata.1240	Ddumetorum.4117
Dalata.1242	Ddumetorum.4117
Dalata.1243	Ddumetorum.4116
Dalata.1245	Ddumetorum.4112
Dalata.1245	Ddumetorum.4106
Dalata.1249	Ddumetorum.4105
Dalata.1250	Ddumetorum.4104
Dalata.1251	Ddumetorum.4102
Dalata.1252	Ddumetorum.4101
Dalata.1257	Ddumetorum.4099
Dalata.1264	Ddumetorum.4097
Dalata.1271	Ddumetorum.4091
Dalata.1275	Ddumetorum.4088
Dalata.1277	Ddumetorum.4087
Dalata.1281	Ddumetorum.4086
Dalata.1282	Ddumetorum.4085
Dalata.1289	Ddumetorum.4082
Dalata.1291	Ddumetorum.4076
Dalata.1341	Ddumetorum.4065
Dalata.1343	Ddumetorum.4062
Dalata.1345	Ddumetorum.4061
Dalata.1348	Ddumetorum.4057
Dalata.1350	Ddumetorum.4049
Dalata.1351	Ddumetorum.4037
Dalata.1359	Ddumetorum.3998
Dalata.1360	Ddumetorum.3999
Dalata.1361	Ddumetorum.4000
Dalata.1363	Ddumetorum.4003
Dalata.1364	Ddumetorum.4011
Dalata.1373	Ddumetorum.4007
Dalata.1375	Ddumetorum.4032
Dalata.1378	Ddumetorum.4043
Dalata.1380	Ddumetorum.4045
Dalata.1384	Ddumetorum.4052
Dalata.1400	Ddumetorum.3993
Dalata.1405	Ddumetorum.3992
Dalata.1408	Ddumetorum.3990
Dalata.1410	Ddumetorum.3984
Dalata.1411	Ddumetorum.3980
Dalata.1412	Ddumetorum.3979
Dalata.1413	Ddumetorum.3977
Dalata.1414	Ddumetorum.3976
Dalata.1420	Ddumetorum.3967
Dalata.1422	Ddumetorum.3960
Dalata.1423	Ddumetorum.3959
Dalata.1429	Ddumetorum.3955
Dalata.1430	Ddumetorum.3954
Dalata.1435	Ddumetorum.3953
Dalata.1438	Ddumetorum.3950
Dalata.1441	Ddumetorum.3949
Dalata.1443	Ddumetorum.3948
Dalata.1444	Ddumetorum.3945
Dalata.1445	Ddumetorum.3944
Dalata.1446	Ddumetorum.3942
Dalata.1448	Ddumetorum.3939
Dalata.1452	Ddumetorum.3936
Dalata.1453	Ddumetorum.3935
Dalata.1454	Ddumetorum.3934
Dalata.1456	Ddumetorum.3933
Dalata.1457	Ddumetorum.3931
Dalata.1462	Ddumetorum.3927
Dalata.1464	Ddumetorum.3926
Dalata.1467	Ddumetorum.3925
Dalata.1471	Ddumetorum.3922
Dalata.1472	Ddumetorum.3921
Dalata.1473	Ddumetorum.3920
Dalata.1474	Ddumetorum.3918
Dalata.1475	Ddumetorum.3917
Dalata.1476	Ddumetorum.3916
Dalata.1477	Ddumetorum.3913
Dalata.1481	Ddumetorum.3911
Dalata.1487	Ddumetorum.3896
Dalata.1492	Ddumetorum.3893
Dalata.1493	Ddumetorum.3892
Dalata.1497	Ddumetorum.3891
Dalata.1498	Ddumetorum.3890
Dalata.1499	Ddumetorum.3889
Dalata.1500	Ddumetorum.3887
Dalata.1501	Ddumetorum.3886
Dalata.1503	Ddumetorum.3885
Dalata.1510	Ddumetorum.3879
Dalata.1522	Ddumetorum.3874
Dalata.1523	Ddumetorum.3873
Dalata.1524	Ddumetorum.3871
Dalata.1525	Ddumetorum.3869
Dalata.1526	Ddumetorum.3866
Dalata.1527	Ddumetorum.3865
Dalata.1528	Ddumetorum.3864
Dalata.1529	Ddumetorum.3863
Dalata.1536	Ddumetorum.3862
Dalata.1539	Ddumetorum.3861
Dalata.1540	Ddumetorum.3860
Dalata.1541	Ddumetorum.3859
Dalata.1542	Ddumetorum.3858
Dalata.1549	Ddumetorum.3854
Dalata.1550	Ddumetorum.3853
Dalata.1551	Ddumetorum.3852
Dalata.1552	Ddumetorum.3851
Dalata.1576	Ddumetorum.3840
Dalata.1577	Ddumetorum.3839
Dalata.1578	Ddumetorum.3838
Dalata.1580	Ddumetorum.3837
Dalata.1581	Ddumetorum.3835
Dalata.1582	Ddumetorum.3834
Dalata.1583	Ddumetorum.3833
Dalata.1584	Ddumetorum.3832
Dalata.1585	Ddumetorum.3831
Dalata.1586	Ddumetorum.3829
Dalata.1587	Ddumetorum.3828
Dalata.1588	Ddumetorum.3827
Dalata.1589	Ddumetorum.3826
Dalata.1590	Ddumetorum.3825
Dalata.1591	Ddumetorum.3824
Dalata.1592	Ddumetorum.3819
Dalata.1594	Ddumetorum.3818
Dalata.1595	Ddumetorum.3817
Dalata.1596	Ddumetorum.3816
Dalata.1597	Ddumetorum.3815
Dalata.1599	Ddumetorum.3814
Dalata.1604	Ddumetorum.3807
Dalata.1619	Ddumetorum.3805
Dalata.1620	Ddumetorum.3804
Dalata.1626	Ddumetorum.3801
Dalata.1628	Ddumetorum.3800
Dalata.1629	Ddumetorum.3799
Dalata.1630	Ddumetorum.3798
Dalata.1631	Ddumetorum.3795
Dalata.1635	Ddumetorum.3794
Dalata.1639	Ddumetorum.3791
