CHROM	START	END	HET	HOM
Chr1	920000	1091637	0.00972	0
Chr1	930000	1091999	0.00972	0
Chr1	940000	1093281	0.00969	0
Chr1	950000	1098059	0.00899	0
Chr1	960000	1113250	0.00917	0
Chr1	970000	1138265	0.00901	0
Chr1	980000	1145466	0.00863	0
Chr1	990000	1171989	0.00798	0
Chr1	1000000	1184002	0.00724	0
Chr1	1010000	1195542	0.00694	3e-05
Chr1	1020000	1211605	0.0067	0.00022
Chr1	1030000	1226665	0.00662	0.00039
Chr1	1040000	1242303	0.00639	0.00053
Chr1	1050000	1249480	0.0063	0.00059
Chr1	1060000	1264036	0.00576	0.00069
Chr1	1070000	1282602	0.00513	0.00077
Chr1	1080000	1287793	0.00452	0.00079
Chr1	1090000	1297442	0.00381	0.00089
Chr1	1100000	1323679	0.00347	0.00108
Chr1	1110000	1330485	0.00335	0.00114
Chr1	1120000	1332306	0.00326	0.00118
Chr1	1130000	1334349	0.00324	0.00129
Chr1	1140000	1349501	0.0032	0.00139
Chr1	1150000	1362331	0.00341	0.00143
Chr1	1160000	1364252	0.00338	0.00143
Chr1	1170000	1370787	0.00334	0.00143
Chr1	1180000	1378605	0.00323	0.00143
Chr1	1190000	1422973	0.00356	0.00141
Chr1	1200000	1441347	0.00372	0.00137
Chr1	1210000	1459693	0.00366	0.00121
Chr1	1220000	1482063	0.00349	0.00111
Chr1	1230000	1498408	0.0034	0.00099
Chr1	1240000	1500380	0.00337	0.00092
Chr1	1250000	1523426	0.00346	0.0008
Chr1	1260000	1527637	0.00351	0.00076
Chr1	1270000	1541598	0.00357	0.0007
Chr1	1280000	1563923	0.00387	0.00069
Chr1	1290000	1698369	0.00399	0.0006
Chr1	1300000	1724004	0.00437	0.00051
Chr1	1310000	1728037	0.00458	0.00048
Chr1	1320000	1744061	0.00474	0.0004
Chr1	1330000	1777755	0.00498	0.0003
Chr1	1340000	1872618	0.00515	6e-05
Chr1	1350000	1878678	0.00514	4e-05
Chr1	1360000	1916365	0.00499	0
Chr1	1370000	1945388	0.00486	0
Chr1	1380000	2035313	0.00478	0
Chr1	1390000	2046222	0.00479	0
Chr1	1400000	2049416	0.00484	0
Chr1	1410000	2058867	0.0048	0
Chr1	1420000	2065198	0.00486	0
Chr1	1430000	2072282	0.00483	0
Chr1	1440000	2080263	0.00482	0
Chr1	1450000	2107734	0.00475	0
Chr1	1460000	2109792	0.00468	0
Chr1	1470000	2112219	0.00467	0
Chr1	1480000	2117643	0.00475	0
Chr1	1490000	2122890	0.00495	0
Chr1	1500000	2126936	0.00519	0
Chr1	1510000	2136296	0.00533	0
Chr1	1520000	2141974	0.00533	0
Chr1	1530000	2169610	0.00532	0
Chr1	1540000	2183034	0.00529	0
Chr1	1550000	2211451	0.0051	0
Chr1	1560000	2212850	0.00501	0
Chr1	1570000	2214909	0.00495	0
Chr1	1580000	2215344	0.005	0
Chr1	1590000	2215951	0.00507	0
Chr1	1600000	2216036	0.00508	0
Chr1	1610000	2216036	0.00508	0
Chr1	1620000	2216341	0.0051	0
Chr1	1630000	2216489	0.0051	0
Chr1	1640000	2216718	0.0051	0
Chr1	1650000	2216949	0.0051	0
Chr1	1660000	2216988	0.0051	0
Chr1	1670000	2217103	0.0051	0
Chr1	1680000	2217412	0.00511	0
Chr1	1690000	2219984	0.00501	0
Chr1	1700000	2272549	0.00498	0
Chr1	1710000	2281626	0.00519	0
Chr1	1720000	2294407	0.00546	0
Chr1	1730000	2317319	0.00528	0
Chr1	1740000	2318310	0.00526	0
Chr1	1750000	2331998	0.0053	0
Chr1	1760000	2331998	0.0053	0
Chr1	1770000	2344743	0.00528	0
Chr1	1780000	2365545	0.00541	0
Chr1	1790000	2368549	0.00541	0
Chr1	1800000	2368643	0.00541	0
Chr1	1810000	2370475	0.00542	0
Chr1	1820000	2371935	0.00542	0
Chr1	1830000	2371974	0.00542	0
Chr1	1840000	2373071	0.0054	0
Chr1	1850000	2373307	0.00543	0
Chr1	1860000	2373437	0.00544	0
Chr1	1870000	2375087	0.00554	0
Chr1	1880000	2467634	0.00583	0
Chr1	1890000	2483804	0.00595	0
Chr1	1900000	2485885	0.00597	0
Chr1	1910000	2489677	0.00601	0
Chr1	1920000	2498185	0.00618	0
Chr1	1930000	2499115	0.00623	0
Chr1	1940000	2499150	0.00623	0
Chr1	1950000	2513650	0.00617	0
Chr1	1960000	2514020	0.00618	0
Chr1	1970000	2514020	0.00618	0
Chr1	1980000	2514020	0.00618	0
Chr1	1990000	2521535	0.0062	0
Chr1	2000000	2529842	0.0063	0
Chr1	2010000	2548895	0.00651	0
Chr1	2020000	2549472	0.00654	0
Chr1	2030000	2549648	0.00657	0
Chr1	2040000	2560112	0.00664	0
Chr1	2050000	2562648	0.00662	0
Chr1	2060000	2562911	0.00662	0
Chr1	2070000	2568619	0.00637	0
Chr1	2080000	2598729	0.00645	0
Chr1	2090000	2604593	0.00649	0
Chr1	2100000	2605545	0.0065	0
Chr1	2110000	2609114	0.00655	0
Chr1	2120000	2639379	0.00659	0
Chr1	2130000	2712994	0.00636	0
Chr1	2140000	2720739	0.00634	0
Chr1	2150000	2738472	0.00636	0
Chr1	2160000	2740177	0.00634	0
Chr1	2170000	2751617	0.00636	0
Chr1	2180000	2752839	0.00634	0
Chr1	2190000	2756718	0.00633	0
Chr1	2200000	2756783	0.00633	0
Chr1	2210000	2770559	0.00633	0
Chr1	2220000	2806400	0.0062	0
Chr1	2230000	2808239	0.00619	0
Chr1	2240000	2809383	0.00615	0
Chr1	2250000	2809616	0.00615	0
Chr1	2260000	2810052	0.00608	0
Chr1	2270000	2810240	0.00607	0
Chr1	2280000	2811887	0.00597	0
Chr1	2290000	2817005	0.00547	0
Chr1	2300000	2819779	0.00544	0
Chr1	2310000	2820869	0.0054	0
Chr1	2320000	2842489	0.00532	0
Chr1	2330000	2843940	0.00531	0
Chr1	2340000	2852177	0.00526	0
Chr1	2350000	2872992	0.00513	0
Chr1	2360000	2874437	0.00504	0
Chr1	2370000	2882431	0.00487	0
Chr1	2380000	2925716	0.00484	0
Chr1	2390000	2927382	0.00479	0
Chr1	2400000	2929154	0.00469	0
Chr1	2410000	2929619	0.00469	0
Chr1	2420000	2938248	0.00469	0
Chr1	2430000	2947190	0.0047	0
Chr1	2440000	2947190	0.0047	0
Chr1	2450000	2947190	0.0047	0
Chr1	2460000	2947683	0.0047	0
Chr1	2470000	2976887	0.00466	0
Chr1	2480000	2976888	0.00466	0
Chr1	2490000	2981639	0.00454	0
Chr1	2500000	3007056	0.00459	0
Chr1	2510000	3007459	0.00462	0
Chr1	2520000	3010117	0.00467	0
Chr1	2530000	3045646	0.00455	0
Chr1	2540000	3096687	0.00451	0
Chr1	2550000	3104257	0.0044	0
Chr1	2560000	3227338	0.00426	0
Chr1	2570000	3247374	0.00429	0
Chr1	2580000	3249874	0.00426	0
Chr1	2590000	3250408	0.00419	0
Chr1	2600000	3257933	0.00411	0
Chr1	2610000	3271717	0.00412	0
Chr1	2620000	3280368	0.004	0
Chr1	2630000	3282354	0.004	0
Chr1	2640000	3284415	0.00386	0
Chr1	2650000	3284415	0.00386	0
Chr1	2660000	3285463	0.00374	0
Chr1	2670000	3293218	0.00365	0
Chr1	2680000	3323152	0.00364	0
Chr1	2690000	3345566	0.00359	0
Chr1	2700000	3347025	0.00359	0
Chr1	2710000	3347050	0.00359	0
Chr1	2720000	3373537	0.00349	0
Chr1	2730000	3383069	0.00333	0
Chr1	2740000	3389611	0.00328	0
Chr1	2750000	3402108	0.0032	0
Chr1	2760000	3421858	0.00312	0
Chr1	2770000	3430338	0.00312	0
Chr1	2780000	3446716	0.00299	0
Chr1	2790000	3446716	0.00299	0
Chr1	2800000	3448949	0.00288	0
Chr1	2810000	3488073	0.00299	0
Chr1	2820000	3522827	0.00309	0
Chr1	2830000	3529521	0.00303	0
Chr1	2840000	3529679	0.00303	0
Chr1	2850000	3531281	0.00294	0
Chr1	2860000	3535134	0.0031	0
Chr1	2870000	3539642	0.00312	0
Chr1	2880000	3562454	0.00323	0
Chr1	2890000	3585210	0.00316	0
Chr1	2900000	3585271	0.00316	0
Chr1	2910000	3585273	0.00316	0
Chr1	2920000	3585273	0.00316	0
Chr1	2930000	3590448	0.00313	0
Chr1	2940000	3590901	0.00314	0
Chr1	2950000	3592622	0.00314	0
Chr1	2960000	3596190	0.00312	0
Chr1	2970000	3596190	0.00312	0
Chr1	2980000	3603955	0.00316	0
Chr1	2990000	3699467	0.00312	0
Chr1	3000000	3714140	0.00301	0
Chr1	3010000	3720482	0.00284	0
Chr1	3020000	3722329	0.00284	0
Chr1	3030000	3722344	0.00284	0
Chr1	3040000	3722346	0.00284	0
Chr1	3050000	3728093	0.00276	0
Chr1	3060000	3728094	0.00276	0
Chr1	3070000	3728094	0.00276	0
Chr1	3080000	3728109	0.00276	0
Chr1	3090000	3728551	0.00275	0
Chr1	3100000	3803101	0.00273	0
Chr1	3110000	3880483	0.00282	0
Chr1	3120000	3880483	0.00282	0
Chr1	3130000	3880483	0.00282	0
Chr1	3140000	3880489	0.00282	0
Chr1	3150000	3880497	0.00282	0
Chr1	3160000	3880587	0.00281	0
Chr1	3170000	3880694	0.00281	0
Chr1	3180000	3880696	0.00281	0
Chr1	3190000	3880768	0.00281	0
Chr1	3200000	3881422	0.00279	0
Chr1	3210000	3881422	0.00279	0
Chr1	3220000	3881437	0.00279	0
Chr1	3230000	3882598	0.00281	0
Chr1	3240000	3883762	0.00283	0
Chr1	3250000	3915576	0.00287	0
Chr1	3260000	4027794	0.00353	0
Chr1	3270000	4036985	0.0036	0
Chr1	3280000	4043456	0.00364	0
Chr1	3290000	4090849	0.00382	0
Chr1	3300000	4090915	0.00382	0
Chr1	3310000	4091011	0.00382	0
Chr1	3320000	4091016	0.00382	0
Chr1	3330000	4091922	0.00384	0
Chr1	3340000	4091922	0.00384	0
Chr1	3350000	4132368	0.00404	0
Chr1	3360000	4132486	0.00404	0
Chr1	3370000	4133449	0.00405	0
Chr1	3380000	4261005	0.00429	0
Chr1	3390000	4292708	0.00449	0
Chr1	3400000	4343311	0.00448	0
Chr1	3410000	4358568	0.00449	0
Chr1	3420000	4376350	0.00458	0
Chr1	3430000	4381546	0.00473	0
Chr1	3440000	4391141	0.00486	0
Chr1	3450000	4414528	0.00525	0
Chr1	3460000	4415791	0.00529	0
Chr1	3470000	4415791	0.00529	0
Chr1	3480000	4415802	0.00529	0
Chr1	3490000	4418547	0.00544	0
Chr1	3500000	4425575	0.00545	0
Chr1	3510000	4433434	0.00552	0
Chr1	3520000	4460780	0.00578	0
Chr1	3530000	4504612	0.00588	0
Chr1	3540000	4711084	0.00559	0
Chr1	3550000	5080354	0.00566	0
Chr1	3560000	5080354	0.00566	0
Chr1	3570000	5213413	0.00562	0
Chr1	3580000	5214391	0.0056	0
Chr1	3590000	5388595	0.00579	0
Chr1	3600000	5427335	0.00581	0
Chr1	3610000	5487134	0.00581	0
Chr1	3620000	5487134	0.00581	0
Chr1	3630000	5487188	0.00581	0
Chr1	3640000	5487188	0.00581	0
Chr1	3650000	5487188	0.00581	0
Chr1	3660000	5487188	0.00581	0
Chr1	3670000	5487188	0.00581	0
Chr1	3680000	5521036	0.00582	0
Chr1	3690000	5537898	0.00583	0
Chr1	3700000	5541864	0.00592	0
Chr1	3710000	5542087	0.00592	0
Chr1	3720000	5628279	0.00612	0
Chr1	3730000	5633258	0.00624	0
Chr1	3740000	5633296	0.00624	0
Chr1	3750000	5633314	0.00624	0
Chr1	3760000	5633337	0.00625	0
Chr1	3770000	5633415	0.00626	0
Chr1	3780000	5633415	0.00626	0
Chr1	3790000	5633415	0.00626	0
Chr1	3800000	5633415	0.00626	0
Chr1	3810000	5638111	0.00627	0
Chr1	3820000	5638111	0.00627	0
Chr1	3830000	5638111	0.00627	0
Chr1	3840000	5639539	0.00627	0
Chr1	3850000	5639616	0.00627	0
Chr1	3860000	5642684	0.00617	0
Chr1	3870000	5642825	0.00618	0
Chr1	3880000	5650198	0.00624	0
Chr1	3890000	5689614	0.00652	0
Chr1	3900000	5694848	0.00649	0
Chr1	3910000	5717020	0.00653	0
Chr1	3920000	5720981	0.0065	0
Chr1	3930000	5720982	0.0065	0
Chr1	3940000	5721130	0.00645	0
Chr1	3950000	5721771	0.0063	0
Chr1	3960000	5723133	0.00611	0
Chr1	3970000	5724197	0.00601	0
Chr1	3980000	5724258	0.006	0
Chr1	3990000	5724259	0.006	0
Chr1	4000000	5724315	0.00598	0
Chr1	4010000	5724573	0.00598	0
Chr1	4020000	5724593	0.00598	0
Chr1	4030000	5781472	0.00601	0
Chr1	4040000	5793723	0.00625	0
Chr1	4050000	5811588	0.00626	0
Chr1	4060000	5816735	0.00626	0
Chr1	4070000	5818180	0.00629	0
Chr1	4080000	5818183	0.00629	0
Chr1	4090000	5818275	0.00628	0
Chr1	4100000	5825196	0.00618	0
Chr1	4110000	5825732	0.00617	0
Chr1	4120000	5841106	0.00614	0
Chr1	4130000	5841109	0.00614	0
Chr1	4140000	5862551	0.00612	0
Chr1	4150000	5863533	0.00612	0
Chr1	4160000	5863533	0.00612	0
Chr1	4170000	5865672	0.00608	0
Chr1	4180000	5865679	0.00608	0
Chr1	4190000	5866016	0.00604	0
Chr1	4200000	5866071	0.00605	0
Chr1	4210000	5868852	0.00604	0
Chr1	4220000	5870011	0.00606	0
Chr1	4230000	5871108	0.00604	0
Chr1	4240000	5871196	0.00604	0
Chr1	4250000	5871511	0.00604	0
Chr1	4260000	5871511	0.00604	0
Chr1	4270000	5871623	0.00604	0
Chr1	4280000	5872117	0.00603	0
Chr1	4290000	5875011	0.00588	0
Chr1	4300000	5875329	0.00589	0
Chr1	4310000	5875380	0.0059	0
Chr1	4320000	5875380	0.0059	0
Chr1	4330000	5875764	0.00591	0
Chr1	4340000	5876212	0.00591	0
Chr1	4350000	5877014	0.00591	0
Chr1	4360000	5880068	0.00589	0
Chr1	4370000	5882274	0.00591	0
Chr1	4380000	5919505	0.00595	0
Chr1	4390000	5924906	0.00577	0
Chr1	4400000	6020070	0.00572	0
Chr1	4410000	6025788	0.00557	0
Chr1	4420000	6062808	0.00531	0
Chr1	4430000	6073720	0.00529	0
Chr1	4440000	6075453	0.00509	0
Chr1	4450000	6087185	0.00495	0
Chr1	4460000	6087352	0.00495	0
Chr1	4470000	6094399	0.00496	0
Chr1	4480000	6098568	0.00486	0
Chr1	4490000	6099025	0.00487	0
Chr1	4500000	6099888	0.00488	0
Chr1	4510000	6101757	0.00497	0
Chr1	4520000	6101763	0.00497	0
Chr1	4530000	6102315	0.005	0
Chr1	4540000	6119526	0.0051	0
Chr1	4550000	6119529	0.0051	0
Chr1	4560000	6119542	0.0051	0
Chr1	4570000	6119578	0.0051	0
Chr1	4580000	6119578	0.0051	0
Chr1	4590000	6119578	0.0051	0
Chr1	4600000	6119578	0.0051	0
Chr1	4610000	6119578	0.0051	0
Chr1	4620000	6119578	0.0051	0
Chr1	4630000	6119578	0.0051	0
Chr1	4640000	6119578	0.0051	0
Chr1	4650000	6123581	0.0051	0
Chr1	4660000	6123583	0.0051	0
Chr1	4670000	6125245	0.00508	0
Chr1	4680000	6125461	0.00508	0
Chr1	4690000	6125498	0.00508	0
Chr1	4700000	6125572	0.0051	0
Chr1	4710000	6125705	0.00511	0
Chr1	4720000	6126069	0.00514	0
Chr1	4730000	6126109	0.00515	0
Chr1	4740000	6126109	0.00515	0
Chr1	4750000	6128244	0.00515	0
Chr1	4760000	6150668	0.00512	0
Chr1	4770000	6157838	0.00511	0
Chr1	4780000	6157842	0.00511	0
Chr1	4790000	6157846	0.00511	0
Chr1	4800000	6157846	0.00511	0
Chr1	4810000	6157852	0.00511	0
Chr1	4820000	6158299	0.00511	0
Chr1	4830000	6158332	0.00511	0
Chr1	4840000	6158356	0.00511	0
Chr1	4850000	6158356	0.00511	0
Chr1	4860000	6158374	0.00511	0
Chr1	4870000	6158375	0.00511	0
Chr1	4880000	6158377	0.00511	0
Chr1	4890000	6158377	0.00511	0
Chr1	4900000	6158378	0.00511	0
Chr1	4910000	6158379	0.00511	0
Chr1	4920000	6158379	0.00511	0
Chr1	4930000	6158528	0.0051	0
Chr1	4940000	6160387	0.00497	0
Chr1	4950000	6160414	0.00497	0
Chr1	4960000	6160427	0.00497	0
Chr1	4970000	6160427	0.00497	0
Chr1	4980000	6160427	0.00497	0
Chr1	4990000	6160505	0.00497	0
Chr1	5000000	6160505	0.00497	0
Chr1	5010000	6160516	0.00497	0
Chr1	5020000	6160535	0.00497	0
Chr1	5030000	6160536	0.00497	0
Chr1	5040000	6160536	0.00497	0
Chr1	5050000	6160542	0.00497	0
Chr1	5060000	6160542	0.00497	0
Chr1	5070000	6160542	0.00497	0
Chr1	5080000	6160543	0.00497	0
Chr1	5090000	6160739	0.00497	0
Chr1	5100000	6160739	0.00497	0
Chr1	5110000	6160739	0.00497	0
Chr1	5120000	6160872	0.00498	0
Chr1	5130000	6160872	0.00498	0
Chr1	5140000	6160879	0.00498	0
Chr1	5150000	6160880	0.00498	0
Chr1	5160000	6160880	0.00498	0
Chr1	5170000	6160886	0.00498	0
Chr1	5180000	6160886	0.00498	0
Chr1	5190000	6160904	0.00498	0
Chr1	5200000	6160948	0.00498	0
Chr1	5210000	6160948	0.00498	0
Chr1	5220000	6168846	0.00494	0
Chr1	5230000	6168922	0.0049	0
Chr1	5240000	6168922	0.0049	0
Chr1	5250000	6168922	0.0049	0
Chr1	5260000	6168922	0.0049	0
Chr1	5270000	6168926	0.0049	0
Chr1	5280000	6168926	0.0049	0
Chr1	5290000	6168926	0.0049	0
Chr1	5300000	6168926	0.0049	0
Chr1	5310000	6168926	0.0049	0
Chr1	5320000	6168936	0.0049	0
Chr1	5330000	6168937	0.0049	0
Chr1	5340000	6168945	0.0049	0
Chr1	5350000	6168947	0.0049	0
Chr1	5360000	6168951	0.0049	0
Chr1	5370000	6169870	0.00486	0
Chr1	5380000	6170060	0.00484	0
Chr1	5390000	6176870	0.00489	0
Chr1	5400000	6176870	0.00489	0
Chr1	5410000	6176870	0.00489	0
Chr1	5420000	6177236	0.00489	0
Chr1	5430000	6193686	0.00488	0
Chr1	5440000	6193853	0.0049	0
Chr1	5450000	6194326	0.00491	0
Chr1	5460000	6194330	0.00491	0
Chr1	5470000	6199512	0.0051	0
Chr1	5480000	6201153	0.00512	0
Chr1	5490000	6201512	0.00512	0
Chr1	5500000	6201512	0.00512	0
Chr1	5510000	6201512	0.00512	0
Chr1	5520000	6201514	0.00512	0
Chr1	5530000	6202771	0.00513	0
Chr1	5540000	6214704	0.00506	0
Chr1	5550000	6219388	0.00507	0
Chr1	5560000	6219388	0.00507	0
Chr1	5570000	6219391	0.00507	0
Chr1	5580000	6219391	0.00507	0
Chr1	5590000	6219391	0.00507	0
Chr1	5600000	6219490	0.00506	0
Chr1	5610000	6220961	0.00506	0
Chr1	5620000	6220961	0.00506	0
Chr1	5630000	6225227	0.00508	0
Chr1	5640000	6231456	0.00501	0
Chr1	5650000	6233231	0.00506	0
Chr1	5660000	6237128	0.00504	0
Chr1	5670000	6282368	0.00519	0
Chr1	5680000	6282788	0.00524	0
Chr1	5690000	6287599	0.00521	0
Chr1	5700000	6287938	0.00524	0
Chr1	5710000	6287994	0.00524	0
Chr1	5720000	6291604	0.00517	0
Chr1	5730000	6334594	0.00518	0
Chr1	5740000	6336178	0.00513	0
Chr1	5750000	6336245	0.00512	0
Chr1	5760000	6336555	0.00511	0
Chr1	5770000	6336603	0.00511	0
Chr1	5780000	6337171	0.00513	0
Chr1	5790000	6353654	0.00493	0
Chr1	5800000	6360667	0.00489	0
Chr1	5810000	6366216	0.00487	0
Chr1	5820000	6397564	0.00479	0
Chr1	5830000	6399552	0.00482	0
Chr1	5840000	6399555	0.00482	0
Chr1	5850000	6400644	0.0048	0
Chr1	5860000	6401435	0.00483	0
Chr1	5870000	6423988	0.00485	0
Chr1	5880000	6472879	0.00514	0
Chr1	5890000	6476907	0.00517	0
Chr1	5900000	6477230	0.00517	0
Chr1	5910000	6492566	0.00522	0
Chr1	5920000	6503843	0.00528	0
Chr1	5930000	6510225	0.00525	0
Chr1	5940000	6510238	0.00525	0
Chr1	5950000	6510238	0.00525	0
Chr1	5960000	6510244	0.00525	0
Chr1	5970000	6510273	0.00526	0
Chr1	5980000	6510273	0.00526	0
Chr1	5990000	6510273	0.00526	0
Chr1	6000000	6510273	0.00526	0
Chr1	6010000	6511364	0.00527	0
Chr1	6020000	6516958	0.00533	0
Chr1	6030000	6526235	0.00542	0
Chr1	6040000	6528111	0.00552	0
Chr1	6050000	6541566	0.0056	0
Chr1	6060000	6547557	0.00568	0
Chr1	6070000	6549331	0.00567	0
Chr1	6080000	6565738	0.00571	0
Chr1	6090000	6606036	0.00572	0
Chr1	6100000	6727725	0.00583	0
Chr1	6110000	6741462	0.00578	0
Chr1	6120000	6742167	0.00572	0
Chr1	6130000	6748387	0.00568	0
Chr1	6140000	6748480	0.00568	0
Chr1	6150000	6765502	0.00571	0
Chr1	6160000	6801318	0.00575	0
Chr1	6170000	6827974	0.00588	0
Chr1	6180000	6857349	0.00623	0
Chr1	6190000	6864059	0.0062	0
Chr1	6200000	6905702	0.00616	0
Chr1	6210000	6914228	0.00622	0
Chr1	6220000	6928858	0.00616	0
Chr1	6230000	6963389	0.00622	0
Chr1	6240000	6983847	0.00611	0
Chr1	6250000	6987101	0.00607	0
Chr1	6260000	6989987	0.00604	0
Chr1	6270000	6990248	0.00605	0
Chr1	6280000	6990472	0.00601	0
Chr1	6290000	6999832	0.00587	0
Chr1	6300000	7000396	0.00587	0
Chr1	6310000	7002597	0.00585	0
Chr1	6320000	7002704	0.00585	0
Chr1	6330000	7003100	0.00589	0
Chr1	6340000	7019143	0.00603	0
Chr1	6350000	7020170	0.00604	0
Chr1	6360000	7039660	0.00604	0
Chr1	6370000	7043188	0.00605	0
Chr1	6380000	7043362	0.00606	0
Chr1	6390000	7048140	0.0061	0
Chr1	6400000	7066266	0.00621	0
Chr1	6410000	7070180	0.00634	0
Chr1	6420000	7093218	0.00637	0
Chr1	6430000	7104733	0.0064	0
Chr1	6440000	7105201	0.00639	0
Chr1	6450000	7107803	0.00634	0
Chr1	6460000	7109750	0.00632	0
Chr1	6470000	7113151	0.00629	0
Chr1	6480000	7135061	0.00613	0
Chr1	6490000	7135575	0.00613	0
Chr1	6500000	7140200	0.00606	0
Chr1	6510000	7150296	0.00593	0
Chr1	6520000	7159006	0.00583	0
Chr1	6530000	7163737	0.00549	0
Chr1	6540000	7163892	0.00549	0
Chr1	6550000	7169556	0.00529	0
Chr1	6560000	7180592	0.00537	0
Chr1	6570000	7199816	0.00565	0
Chr1	6580000	7199918	0.00565	0
Chr1	6590000	7199918	0.00565	0
Chr1	6600000	7199918	0.00565	0
Chr1	6610000	7211639	0.00567	0
Chr1	6620000	7212179	0.00563	0
Chr1	6630000	7212179	0.00563	0
Chr1	6640000	7212179	0.00563	0
Chr1	6650000	7212179	0.00563	0
Chr1	6660000	7212182	0.00563	0
Chr1	6670000	7212380	0.00564	0
Chr1	6680000	7212380	0.00564	0
Chr1	6690000	7212380	0.00564	0
Chr1	6700000	7212404	0.00564	0
Chr1	6710000	7212411	0.00564	0
Chr1	6720000	7212412	0.00564	0
Chr1	6730000	7224154	0.00568	0
Chr1	6740000	7231042	0.00574	0
Chr1	6750000	7238893	0.00599	0
Chr1	6760000	7239031	0.006	0
Chr1	6770000	7273140	0.00605	0
Chr1	6780000	7314909	0.00605	0
Chr1	6790000	7314909	0.00605	0
Chr1	6800000	7314909	0.00605	0
Chr1	6810000	7321645	0.00614	0
Chr1	6820000	7324513	0.0062	0
Chr1	6830000	7336552	0.00628	0
Chr1	6840000	7482582	0.00634	0
Chr1	6850000	7489655	0.00632	0
Chr1	6860000	7503893	0.00646	0
Chr1	6870000	7529213	0.00649	0
Chr1	6880000	7531247	0.00641	0
Chr1	6890000	7531638	0.00641	0
