ContigName	ContigLength	MedianDepth
tig00001051	7319014	58
tig00001053	865621	54
tig00001054	105958	53
tig00001055	58146	53
tig00001057	808934	55
tig00001058	86712	52
tig00001061	39715	26
tig00001063	770754	55
tig00001064	230253	53
tig00001065	126300	55
tig00001067	172791	53
tig00001069	46316	53
tig00001070	59502	48
tig00001072	58779	53
tig00001073	155089	55
tig00001076	39616	54
tig00001077	2116181	52
tig00001079	51122	52
tig00001080	691082	56
tig00001084	113500	53
tig00001085	399503	55
tig00001086	163683	53
tig00001087	62715	52
tig00001088	1339849	56
tig00001089	115855	55
tig00001092	48744	57
tig00001100	207991	52
tig00001101	290616	52
tig00001109	259984	54
tig00001112	146329	53
tig00001113	86281	51
tig00001117	110746	53
tig00001125	49588	48
tig00001129	309437	52
tig00001134	33182	39
tig00001137	219227	54
tig00001143	74849	48
tig00001144	144297	51
tig00001145	111851	57
tig00001148	124462	52
tig00001150	49371	48
tig00001155	327267	56
tig00001156	458312	51
tig00001161	1247571	54
tig00001165	149657	52
tig00001176	189086	52
tig00001178	691775	54
tig00001179	138978	51
tig00001180	141603	53
tig00001184	81546	49
tig00001187	690989	56
tig00001192	206672	57
tig00001194	295642	54
tig00001197	548979	54
tig00001198	151987	51
tig00001200	97094	56
tig00001207	82445	52
tig00001209	414489	57
tig00001210	531742	55
tig00001211	45227	53
tig00001213	482570	54
tig00001214	607622	56
tig00001222	215683	52
tig00001231	50712	52
tig00001234	43124	47
tig00001235	76236	42
tig00001236	104027	56
tig00001239	171179	54
tig00001240	28503	37
tig00001241	445766	54
tig00001243	443174	51
tig00001245	1086880	55
tig00001246	501072	54
tig00001247	3837428	57
tig00001248	137948	55
tig00001250	59193	53
tig00001251	150016	53
tig00001259	61313	54
tig00001260	373714	56
tig00001261	529448	52
tig00001262	329869	54
tig00001264	90785	55
tig00001265	165509	54
tig00001266	198791	53
tig00001267	654050	53
tig00001268	220455	56
tig00001270	62846	50
tig00001273	357524	57
tig00001278	1932600	53
tig00001279	634198	52
tig00001280	92861	51
tig00001282	106019	55
tig00001285	95208	49
tig00001287	408646	55
tig00001288	54623	47
tig00001289	85819	56
tig00001290	42891	50
tig00001292	341846	55
tig00001293	137723	51
tig00001294	107175	51
tig00001295	147901	52
tig00001297	43499	57
tig00001298	70465	55
tig00001299	180594	56
tig00001301	115201	51
tig00001302	278835	56
tig00001303	175491	55
tig00001304	134369	52
tig00001306	482793	54
tig00001309	112779	52
tig00001310	167108	51
tig00001311	43214	51
tig00001312	130172	55
tig00001313	65323	55
tig00001314	80994	56
tig00001316	57494	56
tig00001319	53689	56
tig00001322	128652	55
tig00001323	139813	58
tig00001324	54015	55
tig00001329	89705	50
tig00001331	225080	56
tig00001332	97387	49
tig00001333	68290	108
tig00001336	54422	53
tig00001338	40886	83
tig00001339	88701	55
tig00001340	77542	52
tig00001341	88485	51
tig00001342	63372	53
tig00001344	80639	48
tig00001346	74102	46
tig00001347	268868	54
tig00001351	6361794	53
tig00001354	426019	52
tig00001355	46113	52
tig00001360	105645	54
tig00001361	98575	52
tig00001362	93295	51
tig00001363	233699	52
tig00001365	132224	52
tig00001368	216878	50
tig00001369	247005	54
tig00001372	2394119	57
tig00001375	549182	51
tig00001376	164598	53
tig00001378	30198	21
tig00001379	180597	54
tig00001380	123229	54
tig00001384	66402	56
tig00001388	529293	53
tig00001389	151038	54
tig00001391	72056	50
tig00001392	142069	57
tig00001393	201998	52
tig00001394	59529	53
tig00001395	69621	50
tig00001396	421812	52
tig00001398	209898	53
tig00001399	353217	54
tig00001400	105547	51
tig00001401	81134	51
tig00001404	74085	52
tig00001405	55785	50
tig00001408	119493	51
tig00001411	386717	52
tig00001415	55372	46
tig00001416	166346	53
tig00001418	46620	36
tig00001419	294391	52
tig00001420	77289	50
tig00001425	74637	48
tig00001428	222454	53
tig00001432	1375212	54
tig00001438	807445	55
tig00001439	71197	50
tig00001440	141160	50
tig00001442	330660	54
tig00001443	159433	54
tig00001444	66523	46
tig00001445	458006	56
tig00001446	52088	56
tig00001447	97291	52
tig00001452	61157	104
tig00001453	94333	54
tig00001456	71155	54
tig00001461	147200	52
tig00001463	70871	55
tig00001464	69387	58
tig00001465	122169	53
tig00001467	57550	50
tig00001468	174440	56
tig00001469	238466	55
tig00001473	353044	55
tig00001474	209377	54
tig00001477	124002	55
tig00001478	174634	52
tig00001479	186890	54
tig00001481	72115	44
tig00001485	166731	55
tig00001486	40134	40
tig00001489	73475	48
tig00001490	255247	55
tig00001491	94219	50
tig00001503	85095	43
tig00001504	81614	58
tig00001507	835619	53
tig00001509	80776	54
tig00001511	115928	55
tig00001513	236068	53
tig00001514	73439	48
tig00001522	1066810	51
tig00001523	695700	52
tig00001525	56840	54
tig00001530	171097	55
tig00001531	122290	57
tig00001532	537511	56
tig00001535	50458	52
tig00001538	57176	53
tig00001539	220130	55
tig00001541	1630825	66
tig00001542	99041	46
tig00001545	89286	56
tig00001548	144417	54
tig00001550	59622	54
tig00001551	67391	55
tig00001552	178641	56
tig00001553	81122	58
tig00001554	82848	51
tig00001556	40274	47
tig00001561	44851	48
tig00001563	39057	59
tig00001564	165141	55
tig00001565	53104	52
tig00001566	37544	51
tig00001567	317304	51
tig00001576	178910	53
tig00001577	1656066	54
tig00001578	130715	51
tig00001580	169108	51
tig00001586	53877	50
tig00001587	69139	49
tig00001588	157461	54
tig00001592	451984	54
tig00001593	308263	53
tig00001599	61111	48
tig00001600	290755	56
tig00001601	120607	52
tig00001604	77199	52
tig00001608	106952	60
tig00001614	135514	53
tig00001615	1719387	55
tig00001621	108453	56
tig00001622	153245	51
tig00001633	166772	55
tig00001634	44512	54
tig00001635	64371	53
tig00001639	557571	53
tig00001644	58408	69
tig00001648	127794	58
tig00001650	89176	46
tig00001652	782308	53
tig00001653	54468	51
tig00001655	43017	52
tig00001657	149373	58
tig00001659	573941	52
tig00001666	44814	46
tig00001667	35593	57
tig00001668	57824	56
tig00001669	30399	55
tig00001670	25665	55
tig00001676	80916	54
tig00001680	78108	55
tig00001681	219777	55
tig00001683	359384	54
tig00001684	114217	55
tig00001686	143627	57
tig00001689	236304	55
tig00001695	287031	54
tig00001696	244242	52
tig00001703	607782	55
tig00001704	49157	47
tig00001707	303872	59
tig00001708	1761663	53
tig00001709	370805	56
tig00001711	151613	54
tig00001714	238346	53
tig00001728	73715	57
tig00001729	588013	54
tig00001734	55294	45
tig00001737	2431651	57
tig00001743	447917	54
tig00001744	78613	50
tig00001747	30759	18
tig00001753	180451	54
tig00001754	153580	56
tig00001758	926422	56
tig00001759	289934	56
tig00001760	61213	0
tig00001761	55102	47
tig00001765	137713	57
tig00001768	105367	52
tig00001771	380340	56
tig00001774	732879	52
tig00001789	214686	56
tig00001797	419617	55
tig00001802	154372	56
tig00001805	283217	53
tig00001808	221095	52
tig00001811	30425	52
tig00001814	48776	54
tig00001819	39680	74
tig00001822	65301	52
tig00001828	59689	52
tig00001854	287238	54
tig00001858	53661	31
tig00001860	59634	47
tig00001862	346729	53
tig00001865	266982	53
tig00001867	81112	51
tig00001872	76010	54
tig00001873	116532	49
tig00001874	226988	51
tig00001875	63673	54
tig00001879	97428	46
tig00001880	42145	53
tig00001882	75560	56
tig00001883	36212	45
tig00001885	135619	53
tig00001890	326676	53
tig00001891	72719	55
tig00001892	249693	54
tig00001894	33746	53
tig00001896	101283	52
tig00001898	60582	53
tig00001899	133380	51
tig00001909	272814	55
tig00001912	308225	58
tig00001914	107729	59
tig00001916	44828	25
tig00001918	411903	54
tig00001921	51877	40
tig00001926	81910	63
tig00001931	67303	51
tig00001935	119214	55
tig00001936	140370	55
tig00001942	371143	54
tig00001943	60296	50
tig00001944	44196	54
tig00001946	130456	51
tig00001947	42263	51
tig00001949	421689	56
tig00001950	383861	58
tig00001952	41748	47
tig00001954	118476	51
tig00001955	97174	52
tig00001956	99029	53
tig00001957	1484012	55
tig00001958	363357	58
tig00001959	311402	54
tig00001961	92791	49
tig00001963	34855	33
tig00001964	44460	52
tig00001966	138781	52
tig00001967	89409	55
tig00001968	1181179	67
tig00001969	49664	51
tig00001972	85259	52
tig00001974	64540	54
tig00001975	260564	56
tig00001978	50635	49
tig00001980	41844	55
tig00001981	71482	54
tig00001984	251835	51
tig00001985	142765	56
tig00001987	56607	51
tig00001988	71234	52
tig00001991	450539	56
tig00001993	100972	54
tig00001997	96379	56
tig00001998	33816	44
tig00002002	105328	56
tig00002006	123883	50
tig00002013	90548	49
tig00002015	59556	53
tig00002016	43785	59
tig00002018	97581	49
tig00002020	479198	52
tig00002024	107521	51
tig00002028	143691	52
tig00002029	194236	53
tig00002031	88803	53
tig00002037	55822	51
tig00002038	86675	59
tig00002043	62806	52
tig00002044	53957	51
tig00002047	52616	50
tig00002049	33578	48
tig00002050	1246746	55
tig00002051	57832	51
tig00002052	45246	55
tig00002053	131844	53
tig00002056	249342	54
tig00002060	71660	44
tig00002062	49284	53
tig00002068	75140	57
tig00002070	96677	49
tig00002071	177592	56
tig00002080	38875	44
tig00002081	271560	50
tig00002083	370879	54
tig00002085	488440	51
tig00002086	137242	56
tig00002090	487204	53
tig00002095	269245	53
tig00002096	528138	50
tig00002097	260596	54
tig00002102	947155	55
tig00002103	175278	53
tig00002112	270552	53
tig00002114	119275	51
tig00002116	114693	49
tig00002121	126186	54
tig00002122	87113	50
tig00002123	90962	54
tig00002124	100437	50
tig00002125	72533	58
tig00002127	60510	55
tig00002130	60818	46
tig00002134	49584	47
tig00002135	32669	25
tig00002136	67430	47
tig00002138	58706	49
tig00002141	238082	52
tig00002142	211445	55
tig00002143	72263	52
tig00002147	101752	52
tig00002149	102440	53
tig00002150	88739	55
tig00002151	271327	52
tig00002155	190764	52
tig00002159	46854	47
tig00002161	218604	51
tig00002163	116637	58
tig00002167	71439	57
tig00002169	39037	43
tig00002172	74104	54
tig00002177	2446856	52
tig00002186	243414	50
tig00002187	152463	58
tig00002192	25628	10
tig00002193	203740	58
tig00002195	288700	56
tig00002197	232311	39
tig00002199	97493	50
tig00002203	94562	62
tig00002204	159323	53
tig00002208	141674	61
tig00002209	47196	46
tig00002210	66936	55
tig00002213	99519	49
tig00002216	324766	54
tig00002219	57964	58
tig00002223	42589	46
tig00002224	78019	48
tig00002227	191085	53
tig00002228	113944	54
tig00002234	180381	52
tig00002236	103628	51
tig00002242	76999	55
tig00002243	54834	57
tig00002246	107551	54
tig00002247	68552	63
tig00002249	333213	56
tig00002250	262315	56
tig00002254	204097	56
tig00002255	264824	50
tig00002256	38193	53
tig00002269	50710	44
tig00002270	116194	53
tig00002271	145094	50
tig00002274	285733	54
tig00002276	80223	55
tig00002283	404099	56
tig00002284	47418	47
tig00002286	110724	52
tig00002287	39470	55
tig00002288	46590	49
tig00002289	16902	52
tig00002290	26377	52
tig00002308	206735	64
tig00002311	112490	46
tig00002314	77880	52
tig00002325	36834	55
tig00002329	700806	54
tig00002332	119258	51
tig00002333	153372	53
tig00002334	123631	54
tig00002338	259984	57
tig00002340	48053	48
tig00002341	112992	56
tig00002344	2286648	52
tig00002349	391304	53
tig00002352	107985	49
tig00002353	109957	56
tig00002355	83227	49
tig00002357	34607	42
tig00002359	84204	48
tig00002361	275164	52
tig00002362	73815	58
tig00002367	2094213	51
tig00002369	51067	55
tig00002373	203285	55
tig00002374	52353	58
tig00002376	104789	50
tig00002378	285494	52
tig00002381	248651	52
tig00002382	61302	49
tig00002384	103188	53
tig00002390	476120	56
tig00002396	508735	52
tig00002398	120300	49
tig00002406	141361	55
tig00002407	149093	57
tig00002409	96870	49
tig00002410	73474	52
tig00002413	310702	57
tig00002415	96682	52
tig00002417	61607	53
tig00002418	243502	53
tig00002419	93485	53
tig00002420	113412	56
tig00002424	1407289	54
tig00002425	86395	50
tig00002427	46125	46
tig00002429	1078349	53
tig00002430	72889	47
tig00002431	48267	53
tig00002433	32499	57
tig00002434	126738	52
tig00002436	288721	54
tig00002439	129221	52
tig00002440	55483	53
tig00002450	97111	52
tig00002455	205331	53
tig00002460	276704	53
tig00002468	48635	46
tig00002476	205217	50
tig00002478	50845	52
tig00002484	1014252	55
tig00002485	58929	56
tig00002493	54717	51
tig00002495	350871	56
tig00002497	145549	53
tig00002503	1203444	58
tig00002504	410169	56
tig00002508	146563	52
tig00002509	1452808	54
tig00002511	97003	54
tig00002513	28294	27
tig00002525	1516316	52
tig00002537	339935	54
tig00002582	1466232	54
tig00002591	62490	51
tig00002605	122599	56
tig00002612	293721	53
tig00002614	33052	52
tig00002615	392705	54
tig00002642	85977	50
tig00002644	431080	56
tig00002648	648716	52
tig00002652	152401	52
tig00002659	37742	46
tig00002660	88541	57
tig00002667	33696	24
tig00002668	103643	55
tig00002672	264391	53
tig00002675	183665	57
tig00002678	264667	53
tig00002680	227487	56
tig00002681	164084	53
tig00002683	55493	55
tig00002685	65770	55
tig00002702	207612	54
tig00002713	250902	55
tig00002724	406571	54
tig00002730	73645	50
tig00002739	389464	53
tig00002740	62707	46
tig00002742	562218	55
tig00002743	472069	54
tig00002744	55229	51
tig00002747	54253	44
tig00002748	39656	53
tig00002765	200981	55
tig00002769	136626	53
tig00002786	81150	56
tig00002789	44741	54
tig00002796	98005	57
tig00002804	113296	55
tig00002808	237526	53
tig00002819	54945	55
tig00002822	49577	52
tig00002825	59677	53
tig00002826	563051	53
tig00002834	133320	54
tig00002836	170614	51
tig00002843	699401	54
tig00002847	149093	53
tig00002856	145487	53
tig00002857	124083	53
tig00002859	117554	53
tig00002868	483851	54
tig00002875	229852	55
tig00002881	207947	53
tig00002892	180676	57
tig00002895	77797	56
tig00002896	29936	45
tig00002900	182356	56
tig00002901	80372	56
tig00002904	76231	52
tig00002909	227521	53
tig00002910	44154	59
tig00002911	60014	56
tig00002912	321160	53
tig00002918	273217	51
tig00002934	48508	43
tig00002938	119914	56
tig00002940	1346786	101
tig00002941	123637	54
tig00002944	226255	54
tig00002946	35001	55
tig00002953	65893	53
tig00002954	90460	54
tig00002960	280662	54
tig00002961	121593	52
tig00002962	176713	56
tig00002966	113671	56
tig00002967	303674	53
tig00002981	98723	70
tig00002983	48659	47
tig00002994	93912	50
tig00002999	450788	54
tig00003007	1382859	54
tig00003015	798420	53
tig00003020	143780	52
tig00003021	307333	52
tig00003023	57509	53
tig00003024	70089	52
tig00003027	361421	52
tig00003032	129841	51
tig00003036	57066	54
tig00003048	150728	53
tig00003052	484011	55
tig00003057	64358	50
tig00003059	229534	53
tig00003067	145482	53
tig00003070	206872	55
tig00003071	211715	53
tig00003072	67030	51
tig00003077	60011	48
tig00003080	50327	46
tig00003086	50025	39
tig00003087	44243	50
tig00003095	82720	47
tig00003100	101747	47
tig00003101	24950	57
tig00003108	66597	56
tig00003109	611419	52
tig00003112	176702	53
tig00003113	65266	54
tig00003153	881909	51
tig00003156	132154	103
tig00003167	844354	52
tig00003171	138142	60
tig00003172	295234	53
tig00003182	325325	55
tig00003197	317594	54
tig00003198	66694	99
tig00003200	65543	139
tig00003202	59411	69
tig00003207	71201	101
tig00003220	67700	64
tig00003237	37963	53
tig00003238	409107	1126
tig00003241	333591	7249
tig00003245	104026	5738
tig00003258	366879	53
tig00003259	37682	945
tig00003265	49870	54
tig00003270	96240	6116
tig00003271	63583	7323
tig00003283	103495	59
tig00003288	37364	37
tig00003289	430882	56
tig00003295	45773	53
tig00003296	59709	36
tig00003300	57210	5770
tig00003303	499842	52
tig00003307	131821	57
tig00003313	58251	46
tig00003319	51183	48
tig00003324	67239	41
tig00003332	80519	55
tig00003335	106198	54
tig00003338	121885	53
tig00003340	129102	51
tig00003342	53986	596
tig00003344	40385	6843
tig00003350	59478	64
tig00003356	87890	61
tig00003362	216927	1823
tig00003369	58254	61
tig00003375	88130	56
tig00003380	63147	63
tig00003381	56532	60
tig00003386	633266	59
tig00003393	43700	3242
tig00003396	39183	5954
tig00003399	73145	3399
tig00003404	119993	52
tig00003415	215751	53
tig00003423	111490	50
tig00003430	162020	47
tig00003431	541405	61
tig00003433	70835	47
tig00003443	57536	53
tig00003444	22748	440
tig00003445	210759	60
tig00003446	51729	56
tig00003450	82801	44
tig00003456	44056	49
tig00003461	35731	55
tig00003465	49022	814
tig00003468	312502	55
tig00003471	54419	51
tig00003481	40066	512
tig00003485	62082	46
tig00003486	376114	56
tig00003487	171975	64
tig00003491	260158	57
tig00003494	474151	54
tig00003514	182281	55
tig00003519	69683	3491
tig00003531	46785	56
tig00003565	78374	56
tig00003573	60493	66
tig00003583	436463	56
tig00003585	125176	101
tig00003589	461179	54
tig00003595	54195	87
tig00003597	88703	48
tig00003606	99672	59
tig00003609	48643	538
tig00003610	74379	51
tig00003611	53906	527
tig00003619	36933	57
tig00003622	113180	55
tig00003628	190857	55
tig00003631	37676	427
tig00003635	66475	54
tig00003636	80306	53
tig00003640	71514	46
tig00003652	139442	53
tig00003653	210899	61
tig00003666	254872	191
tig00003667	361800	55
tig00003668	198867	54
