Chr	LocusName	CompositePos	GenomePos	TDa1401+TDa1401B	TDa1419+TDa1610	TDa1427	TDa1403	TDa1603
Chr5	Chr5:1716568	24.42	1716568	27.902	-	16.891	-	-
Chr5	Chr5:1669011	24.456	1669011	-	-	-	-	26.752
Chr5	Chr5:1715320	24.456	1715320	-	-	-	-	26.752
Chr5	Chr5:1724399	24.464	1724399	-	18.622	-	-	-
Chr5	Chr5:1719927	24.581	1719927	28.211	-	16.891	-	-
Chr5	Chr5:1737270	25.117	1737270	28.762	19.161	16.891	25.053	-
Chr5	Chr5:1732224	25.117	1732224	-	-	-	25.053	27.413
Chr5	Chr5:1805022	25.332	1805022	28.334	-	18.018	-	-
Chr5	Chr5:1816484	25.87	1816484	28.767	19.698	19.088	-	-
Chr5	Chr5:1888326	25.968	1888326	-	20.012	-	-	-
Chr5	Chr5:1869229	26.232	1869229	29.862	-	-	-	-
Chr5	Chr5:1848135	26.38	1848135	29.862	20.538	18.578	-	-
Chr5	Chr5:1869199	26.38	1869199	29.862	-	-	-	30.789
Chr5	Chr5:1904349	26.38	1904349	-	20.012	19.598	26.123	-
Chr5	Chr5:1946562	26.38	1946562	-	-	-	26.123	-
Chr5	Chr5:1902842	26.778	1902842	30.408	-	-	-	-
Chr5	Chr5:1936863	27.288	1936863	30.954	-	19.598	26.123	-
Chr5	Chr5:1902802	27.288	1902802	-	-	19.598	-	-
Chr5	Chr5:1919294	27.288	1919294	-	-	19.598	-	-
Chr5	Chr5:1923971	27.324	1923971	30.954	20.956	19.598	-	33.503
Chr5	Chr5:1946240	27.324	1946240	31.516	20.956	-	26.123	-
Chr5	Chr5:1968072	27.324	1968072	-	20.956	-	-	-
Chr5	Chr5:1813159	27.324	1813159	-	-	18.578	27.193	-
Chr5	Chr5:1947500	27.576	1947500	31.516	20.956	-	-	-
Chr5	Chr5:1949245	27.85	1949245	31.516	-	-	-	-
Chr5	Chr5:1789944	28.022	1789944	-	-	-	27.193	-
Chr5	Chr5:2015590	28.022	2015590	-	-	-	27.193	-
Chr5	Chr5:2009743	28.196	2009743	-	-	20.506	-	-
Chr5	Chr5:2007784	28.817	2007784	32.931	22.408	20.506	27.193	-
Chr5	Chr5:2007902	28.954	2007902	32.931	22.586	20.506	27.193	-
Chr5	Chr5:2028847	29.265	2028847	32.879	22.586	22.335	-	36.216
Chr5	Chr5:2012946	29.265	2012946	32.931	22.586	22.335	27.193	-
Chr5	Chr5:2013852	30.025	2013852	-	-	22.335	-	-
Chr5	Chr5:2115294	30.968	2115294	35.213	23.306	22.335	29.344	37.557
Chr5	Chr5:2117568	30.968	2117568	-	23.306	22.335	30.139	-
Chr5	Chr5:2117645	30.968	2117645	-	23.306	22.335	30.934	-
Chr5	Chr5:1946238	30.968	1946238	-	-	-	-	36.216
Chr5	Chr5:2210396	31.305	2210396	35.245	-	-	-	-
Chr5	Chr5:2225742	31.725	2225742	35.665	-	-	-	-
Chr5	Chr5:2230427	31.725	2230427	35.665	-	-	-	-
Chr5	Chr5:2225761	32.558	2225761	-	-	-	30.934	37.557
Chr5	Chr5:2272014	32.976	2272014	36.916	25.314	26.248	30.934	-
Chr5	Chr5:2272049	32.976	2272049	36.916	25.314	26.248	30.934	-
Chr5	Chr5:2270195	32.976	2270195	-	25.314	-	-	-
Chr5	Chr5:2267911	33.178	2267911	37.658	25.314	26.248	30.934	-
Chr5	Chr5:2285170	33.357	2285170	37.297	25.493	26.248	32.264	-
Chr5	Chr5:2287059	33.357	2287059	37.297	25.493	26.248	-	-
Chr5	Chr5:2291177	33.357	2291177	37.297	25.493	26.248	31.814	-
Chr5	Chr5:2303115	33.357	2303115	37.297	25.493	26.248	31.814	-
Chr5	Chr5:2264305	33.357	2264305	37.658	25.493	26.248	30.934	38.219
Chr5	Chr5:2267951	33.718	2267951	37.658	-	-	-	-
Chr5	Chr5:2718749	33.971	2718749	-	-	-	33.594	-
Chr5	Chr5:2344545	34.056	2344545	38.383	26.576	25.986	33.594	-
Chr5	Chr5:2303154	34.056	2303154	-	25.493	26.248	-	-
Chr5	Chr5:2267960	34.62	2267960	-	-	-	-	38.219
Chr5	Chr5:2411720	34.806	2411720	38.746	-	-	-	-
Chr5	Chr5:2414455	34.994	2414455	38.934	27.667	27.186	33.594	38.88
Chr5	Chr5:2423891	34.994	2423891	-	27.847	27.186	33.594	-
Chr5	Chr5:2455451	34.994	2455451	-	-	27.522	-	-
Chr5	Chr5:2411738	34.994	2411738	-	-	27.692	33.594	-
Chr5	Chr5:2507261	36.006	2507261	-	28.213	28.198	35.776	39.543
Chr5	Chr5:2588939	36.153	2588939	40.093	-	-	35.776	-
Chr5	Chr5:2507299	36.241	2507299	-	28.213	28.533	-	-
Chr5	Chr5:2600243	36.364	2600243	-	28.213	-	-	-
Chr5	Chr5:2620360	37.284	2620360	-	-	-	-	40.883
Chr5	Chr5:2787026	38.131	2787026	41.845	29.98	-	-	-
Chr5	Chr5:2779242	38.131	2779242	-	29.98	-	-	-
Chr5	Chr5:2856621	39.095	2856621	42.809	-	-	-	-
Chr5	Chr5:2815719	39.187	2815719	-	29.98	32.103	-	-
Chr5	Chr5:2893646	39.187	2893646	-	31.036	-	-	-
Chr5	Chr5:2814528	39.245	2814528	-	-	-	39.015	-
Chr5	Chr5:2894735	39.251	2894735	-	-	-	39.021	-
Chr5	Chr5:2893665	39.444	2893665	43.384	31.036	-	-	-
Chr5	Chr5:2894659	39.444	2894659	43.384	31.036	-	-	-
Chr5	Chr5:2962066	39.629	2962066	-	31.221	-	40.078	-
Chr5	Chr5:2688855	39.776	2688855	-	-	-	-	43.313
Chr5	Chr5:2813981	39.811	2813981	43.384	-	32.103	-	-
Chr5	Chr5:2814568	39.811	2814568	43.384	-	32.103	-	-
Chr5	Chr5:2868290	39.911	2868290	-	-	32.103	-	-
Chr5	Chr5:2868347	39.911	2868347	-	-	32.103	-	-
Chr5	Chr5:2913005	39.911	2913005	-	-	32.103	40.078	-
Chr5	Chr5:2957763	39.98	2957763	42.736	-	32.678	-	-
Chr5	Chr5:3022739	40.308	3022739	-	31.736	32.678	-	-
Chr5	Chr5:3000039	40.308	3000039	-	-	32.678	40.078	-
Chr5	Chr5:2926460	40.308	2926460	-	-	-	40.078	-
Chr5	Chr5:2941320	40.308	2941320	-	-	-	40.078	-
Chr5	Chr5:2943483	40.308	2943483	-	-	-	40.078	-
Chr5	Chr5:2944880	40.308	2944880	-	-	-	40.078	-
Chr5	Chr5:3002402	40.308	3002402	-	-	-	40.078	-
Chr5	Chr5:3027032	40.308	3027032	-	-	-	40.078	-
Chr5	Chr5:3027525	40.308	3027525	-	-	-	40.078	-
Chr5	Chr5:3028587	40.308	3028587	-	-	-	40.078	-
Chr5	Chr5:3021141	40.486	3021141	45.092	31.736	32.678	-	-
Chr5	Chr5:3002380	41.111	3002380	-	32.703	-	-	-
Chr5	Chr5:3012741	41.167	3012741	-	33.438	32.678	-	-
Chr5	Chr5:3056843	41.842	3056843	-	-	34.034	-	-
Chr5	Chr5:3056919	41.948	3056919	45.212	33.806	34.034	-	-
Chr5	Chr5:3055316	41.948	3055316	-	33.806	34.034	-	-
Chr5	Chr5:3094966	42	3094966	45.573	32.793	34.37	-	-
Chr5	Chr5:3097678	42	3097678	-	32.793	34.37	-	-
Chr5	Chr5:3073755	42.214	3073755	45.587	33.806	34.37	-	-
Chr5	Chr5:3183560	42.972	3183560	45.212	34.564	-	45.59	-
Chr5	Chr5:3183635	43.253	3183635	-	-	35.381	-	-
Chr5	Chr5:3215212	43.535	3215212	46.785	34.913	36.057	45.59	-
Chr5	Chr5:3183235	43.535	3183235	46.799	34.913	35.046	45.59	47.003
Chr5	Chr5:3249551	44.304	3249551	-	-	-	45.59	-
Chr5	Chr5:3282277	44.363	3282277	47.267	-	36.733	-	-
Chr5	Chr5:3344390	44.475	3344390	47.387	-	-	-	-
Chr5	Chr5:3344519	44.475	3344519	47.387	-	-	-	-
Chr5	Chr5:3346307	44.605	3346307	47.509	36.177	36.733	46.66	48.204
Chr5	Chr5:3375464	44.716	3375464	47.628	36.536	36.733	-	-
Chr5	Chr5:3378985	44.716	3378985	47.628	36.536	36.733	46.66	-
Chr5	Chr5:3387922	44.716	3387922	47.628	36.536	36.733	-	-
Chr5	Chr5:3388006	44.716	3388006	47.628	36.536	36.733	-	-
Chr5	Chr5:3390691	44.716	3390691	47.628	36.536	36.733	46.925	-
Chr5	Chr5:3420795	44.716	3420795	-	37.075	36.733	-	-
Chr5	Chr5:3424736	44.716	3424736	-	-	-	46.66	-
Chr5	Chr5:3441096	44.716	3441096	-	-	-	46.66	-
Chr5	Chr5:3443154	44.716	3443154	-	-	-	46.66	-
Chr5	Chr5:3458739	44.716	3458739	-	-	-	46.66	-
Chr5	Chr5:3424001	44.724	3424001	47.628	37.075	36.733	46.925	-
Chr5	Chr5:3441060	45.374	3441060	47.99	37.432	37.744	46.66	-
Chr5	Chr5:3506269	45.568	3506269	48.472	-	-	-	-
Chr5	Chr5:3521530	45.727	3521530	-	38.499	37.744	-	-
Chr5	Chr5:3552812	46.394	3552812	48.955	39.207	38.764	-	-
Chr5	Chr5:3571533	46.394	3571533	48.955	39.561	38.764	47.19	-
Chr5	Chr5:3443164	46.394	3443164	49.199	-	-	-	-
Chr5	Chr5:3607162	46.747	3607162	49.438	39.914	38.764	47.19	-
Chr5	Chr5:3614569	46.747	3614569	49.438	40.267	38.764	47.19	-
Chr5	Chr5:3612465	46.747	3612465	-	-	-	47.19	-
Chr5	Chr5:3745233	47.083	3745233	-	41.695	38.764	-	-
Chr5	Chr5:3836418	47.083	3836418	-	-	39.1	-	-
Chr5	Chr5:3859028	47.9	3859028	51.147	41.695	39.1	48.261	49.404
Chr5	Chr5:3906282	47.9	3906282	-	-	-	48.261	-
Chr5	Chr5:3879478	47.901	3879478	51.267	41.695	39.1	-	-
Chr5	Chr5:3904699	47.901	3904699	-	-	39.771	-	-
Chr5	Chr5:3930881	48.422	3930881	51.628	-	-	48.261	-
Chr5	Chr5:4405251	49.538	4405251	-	-	-	-	53.006
Chr5	Chr5:3990537	49.691	3990537	52.111	43.485	42.191	49.32	-
Chr5	Chr5:4077789	49.757	4077789	52.963	43.485	42.862	49.32	50.605
Chr5	Chr5:4129460	49.757	4129460	-	-	42.862	-	-
Chr5	Chr5:4409559	50.319	4409559	53.566	43.839	43.534	49.851	-
Chr5	Chr5:4424157	50.319	4424157	53.685	43.839	43.534	-	-
Chr5	Chr5:4457075	50.319	4457075	53.685	43.839	43.869	-	-
Chr5	Chr5:4536200	50.319	4536200	-	-	-	49.851	-
Chr5	Chr5:4424160	50.739	4424160	-	-	-	-	54.207
Chr5	Chr5:4769971	50.848	4769971	-	-	-	50.38	-
Chr5	Chr5:4884117	52.109	4884117	-	45.629	48.306	50.38	55.408
Chr5	Chr5:4884157	52.109	4884157	-	45.629	48.306	50.38	-
Chr5	Chr5:5253479	52.109	5253479	-	45.808	46.611	-	-
Chr5	Chr5:5030895	52.288	5030895	-	45.808	48.642	50.91	-
Chr5	Chr5:5110664	52.288	5110664	-	45.808	48.642	50.91	-
Chr5	Chr5:5141497	52.288	5141497	-	45.808	48.642	50.91	-
Chr5	Chr5:4996654	52.639	4996654	-	-	-	50.91	-
Chr5	Chr5:5030944	52.639	5030944	-	-	-	50.91	-
Chr5	Chr5:5057796	52.639	5057796	-	-	-	50.91	-
Chr5	Chr5:5071773	52.639	5071773	-	-	-	50.91	-
Chr5	Chr5:5880454	52.639	5880454	-	-	-	50.91	-
Chr5	Chr5:5913742	52.639	5913742	-	-	-	50.91	-
Chr5	Chr5:5927520	52.639	5927520	-	-	-	50.91	-
Chr5	Chr5:5941833	52.639	5941833	-	-	-	50.91	-
Chr5	Chr5:5941925	52.639	5941925	-	-	-	50.91	-
Chr5	Chr5:5966625	52.639	5966625	-	-	-	50.91	-
Chr5	Chr5:7114180	52.639	7114180	-	-	-	50.91	-
Chr5	Chr5:7119077	52.639	7119077	-	-	-	50.91	-
Chr5	Chr5:7847373	52.639	7847373	-	-	-	50.91	-
Chr5	Chr5:8119601	52.639	8119601	-	-	-	50.91	-
Chr5	Chr5:5814405	53.147	5814405	56.394	45.718	49.984	50.91	57.808
Chr5	Chr5:5493727	53.147	5493727	-	46.716	49.313	-	-
Chr5	Chr5:5499870	53.147	5499870	-	46.716	49.313	-	-
Chr5	Chr5:5514273	53.147	5514273	-	46.716	49.984	50.91	-
Chr5	Chr5:5439831	53.147	5439831	-	-	-	-	56.609
Chr5	Chr5:5889984	53.189	5889984	56.8	-	-	50.91	-
Chr5	Chr5:5890047	53.553	5890047	56.8	47.163	-	50.91	-
Chr5	Chr5:5931271	53.553	5931271	56.8	47.163	-	50.91	-
Chr5	Chr5:5953371	53.553	5953371	56.8	47.163	-	50.91	-
Chr5	Chr5:6002988	53.553	6002988	56.8	47.163	-	50.91	-
Chr5	Chr5:4251405	53.594	4251405	53.204	43.839	-	51.445	-
Chr5	Chr5:5880473	53.594	5880473	56.8	47.163	-	-	-
Chr5	Chr5:5911499	53.594	5911499	56.8	47.163	-	-	-
Chr5	Chr5:5940513	53.594	5940513	56.8	47.163	-	-	-
Chr5	Chr5:5940540	53.594	5940540	56.8	47.163	-	-	-
Chr5	Chr5:5998880	53.594	5998880	56.8	47.163	-	-	-
Chr5	Chr5:6039746	53.594	6039746	56.8	47.163	-	-	-
Chr5	Chr5:6299912	53.594	6299912	57.002	47.163	-	-	-
Chr5	Chr5:6323184	53.594	6323184	57.002	47.163	-	-	-
Chr5	Chr5:6551963	53.594	6551963	57.002	47.163	-	-	-
Chr5	Chr5:6901405	53.594	6901405	57.205	47.163	-	-	-
Chr5	Chr5:7007725	53.594	7007725	57.205	47.163	-	-	-
Chr5	Chr5:7007792	53.594	7007792	57.205	47.163	-	-	-
Chr5	Chr5:7025668	53.594	7025668	57.205	47.163	-	-	-
Chr5	Chr5:7025716	53.594	7025716	57.205	-	-	-	-
Chr5	Chr5:7239585	53.594	7239585	57.205	47.163	-	-	-
Chr5	Chr5:7242252	53.594	7242252	57.205	47.163	-	50.91	-
Chr5	Chr5:7599759	53.594	7599759	57.611	47.163	-	-	-
Chr5	Chr5:7851836	53.594	7851836	57.814	47.163	-	-	-
Chr5	Chr5:7853502	53.594	7853502	57.814	47.163	-	-	-
Chr5	Chr5:7923575	53.594	7923575	57.814	47.163	-	-	-
Chr5	Chr5:8097653	53.594	8097653	57.814	47.163	-	50.91	-
Chr5	Chr5:9280540	53.594	9280540	58.833	47.163	-	50.91	59.009
Chr5	Chr5:4185381	53.594	4185381	-	43.485	42.862	51.445	-
Chr5	Chr5:5962288	53.594	5962288	-	47.163	-	-	-
Chr5	Chr5:7114210	53.594	7114210	-	47.163	-	-	-
Chr5	Chr5:7242138	53.594	7242138	-	47.163	-	-	-
Chr5	Chr5:7847389	53.594	7847389	-	47.163	-	-	-
Chr5	Chr5:4251332	53.594	4251332	-	-	-	51.445	51.806
Chr5	Chr5:8470927	54.334	8470927	58.63	47.163	-	-	-
Chr5	Chr5:12483218	56.347	12483218	60.689	48.526	-	51.981	-
Chr5	Chr5:12971634	56.347	12971634	60.689	48.526	-	-	-
Chr5	Chr5:12971701	56.347	12971701	-	-	-	51.981	-
Chr5	Chr5:13455310	56.347	13455310	-	-	-	51.981	-
Chr5	Chr5:13643151	56.347	13643151	-	-	-	51.981	-
Chr5	Chr5:13721409	56.347	13721409	-	-	-	51.981	-
Chr5	Chr5:14095455	56.347	14095455	-	-	-	51.981	-
Chr5	Chr5:14095515	56.347	14095515	-	-	-	51.981	-
Chr5	Chr5:14133002	56.347	14133002	-	-	-	51.981	-
Chr5	Chr5:14161966	56.347	14161966	-	-	-	51.981	-
Chr5	Chr5:14307051	56.347	14307051	-	-	-	51.981	-
Chr5	Chr5:14447301	56.347	14447301	-	-	-	51.981	-
Chr5	Chr5:12471563	56.393	12471563	60.689	-	-	-	-
Chr5	Chr5:13653266	56.597	13653266	60.689	48.884	53.434	51.981	-
Chr5	Chr5:13653341	56.597	13653341	60.689	48.884	53.434	51.981	-
Chr5	Chr5:13656085	56.597	13656085	60.893	48.884	53.434	51.981	-
Chr5	Chr5:13657830	56.597	13657830	60.893	48.884	53.434	51.981	-
Chr5	Chr5:13660105	56.597	13660105	60.893	48.884	53.434	51.981	-
Chr5	Chr5:13660383	56.597	13660383	60.893	48.884	53.434	-	-
Chr5	Chr5:13649994	56.597	13649994	-	48.526	54.789	-	-
Chr5	Chr5:13721439	56.753	13721439	61.095	48.705	-	-	-
Chr5	Chr5:13793561	56.753	13793561	61.095	48.705	-	51.981	-
Chr5	Chr5:13960337	56.955	13960337	61.297	48.884	55.46	51.981	-
Chr5	Chr5:13963877	56.955	13963877	61.297	-	-	-	-
Chr5	Chr5:14161998	56.955	14161998	-	48.884	-	51.981	-
Chr5	Chr5:13962856	56.955	13962856	-	-	55.46	51.981	-
Chr5	Chr5:14135003	56.955	14135003	-	-	55.46	51.981	-
Chr5	Chr5:14207822	56.955	14207822	-	-	55.46	51.981	-
Chr5	Chr5:13969580	57.159	13969580	61.501	48.884	-	-	-
Chr5	Chr5:14183796	57.361	14183796	61.703	-	-	-	-
Chr5	Chr5:14184074	57.361	14184074	61.703	-	-	-	-
Chr5	Chr5:14370075	57.565	14370075	62.109	-	-	51.981	-
Chr5	Chr5:14650164	57.602	14650164	-	49.531	-	-	-
Chr5	Chr5:13959073	57.635	13959073	-	-	55.46	-	-
Chr5	Chr5:13966222	57.635	13966222	-	-	55.46	-	-
Chr5	Chr5:13970780	57.635	13970780	-	-	55.46	-	-
Chr5	Chr5:14183805	57.635	14183805	-	-	55.46	-	-
Chr5	Chr5:14307759	57.97	14307759	62.109	49.969	55.795	51.981	-
Chr5	Chr5:14448148	57.97	14448148	62.312	-	-	-	-
Chr5	Chr5:14708518	57.97	14708518	62.514	49.531	-	-	-
Chr5	Chr5:14711587	57.97	14711587	-	-	56.131	-	-
Chr5	Chr5:14707862	58.172	14707862	62.514	49.531	-	53.321	-
Chr5	Chr5:14646198	58.295	14646198	-	-	-	53.321	-
Chr5	Chr5:14783811	58.295	14783811	-	-	-	53.321	-
Chr5	Chr5:15074523	58.911	15074523	62.921	50.84	-	-	-
Chr5	Chr5:14975379	59.046	14975379	-	-	-	-	61.439
Chr5	Chr5:15120692	59.316	15120692	62.921	51.054	-	54.662	-
Chr5	Chr5:15276850	59.316	15276850	63.326	-	-	-	-
Chr5	Chr5:15025765	59.316	15025765	-	-	56.807	54.662	-
Chr5	Chr5:15111485	59.316	15111485	-	-	57.818	-	-
Chr5	Chr5:15304643	59.493	15304643	63.529	51.054	-	-	-
Chr5	Chr5:15136853	59.493	15136853	-	51.054	58.494	-	-
Chr5	Chr5:15219928	59.493	15219928	-	-	58.829	-	-
Chr5	Chr5:15325219	59.797	15325219	64.139	51.054	59.165	54.662	-
Chr5	Chr5:15175017	59.797	15175017	-	51.054	58.829	54.662	-
Chr5	Chr5:15323583	59.797	15323583	-	51.054	59.165	54.662	-
Chr5	Chr5:15701398	59.882	15701398	-	-	-	54.662	-
Chr5	Chr5:15351842	59.989	15351842	64.343	-	-	-	-
Chr5	Chr5:15351811	60.132	15351811	-	-	59.5	-	-
Chr5	Chr5:15404002	60.132	15404002	-	-	59.5	-	-
Chr5	Chr5:15404014	60.161	15404014	-	51.418	59.836	54.662	-
Chr5	Chr5:15396105	60.191	15396105	64.545	-	-	-	-
Chr5	Chr5:15070439	60.246	15070439	-	-	-	54.662	63.869
Chr5	Chr5:15437151	60.411	15437151	-	-	-	55.191	-
Chr5	Chr5:15527961	60.785	15527961	-	-	60.507	55.191	-
Chr5	Chr5:15526477	61.204	15526477	65.558	-	-	-	-
Chr5	Chr5:15666561	61.51	15666561	66.437	52.785	-	55.721	-
Chr5	Chr5:15675179	61.81	15675179	66.164	-	-	56.59	-
Chr5	Chr5:15675248	61.81	15675248	66.164	53.085	61.178	56.59	-
Chr5	Chr5:15917434	62.37	15917434	67.247	53.627	-	-	-
Chr5	Chr5:15917375	62.677	15917375	-	-	-	57.457	-
Chr5	Chr5:15934529	62.677	15934529	-	-	-	57.457	65.07
Chr5	Chr5:15909056	62.808	15909056	67.253	54.065	62.199	57.457	-
Chr5	Chr5:16003126	63.051	16003126	68.521	54.308	-	57.457	-
Chr5	Chr5:15931194	63.051	15931194	68.68	54.308	62.534	57.457	-
Chr5	Chr5:15852929	63.051	15852929	-	-	-	59.885	-
Chr5	Chr5:16009480	63.256	16009480	-	-	62.87	-	-
Chr5	Chr5:16064817	63.592	16064817	62.839	54.849	-	-	-
Chr5	Chr5:16069712	63.592	16069712	62.839	54.849	63.206	-	-
Chr5	Chr5:16071115	63.592	16071115	62.839	54.849	-	-	-
Chr5	Chr5:16036306	63.592	16036306	68.938	54.308	-	-	-
Chr5	Chr5:16184701	64.78	16184701	-	-	-	62.633	-
Chr5	Chr5:16105855	65.002	16105855	69.356	55.631	-	-	-
Chr5	Chr5:16304551	67.293	16304551	70.405	57.218	67.015	-	-
Chr5	Chr5:16304602	68.077	16304602	70.405	-	67.691	65.93	-
Chr5	Chr5:16397998	68.077	16397998	70.713	58.482	-	-	-
Chr5	Chr5:16398052	68.412	16398052	70.713	58.482	68.026	66.797	-
Chr5	Chr5:16401018	68.412	16401018	70.713	-	68.026	66.797	-
Chr5	Chr5:16404442	68.412	16404442	-	58.482	68.026	66.797	-
Chr5	Chr5:16411893	68.412	16411893	-	58.482	68.026	-	-
Chr5	Chr5:16360718	68.412	16360718	-	-	68.026	66.797	-
Chr5	Chr5:16397965	68.412	16397965	-	-	-	66.797	70.052
Chr5	Chr5:16480765	69.186	16480765	71.487	-	-	-	-
Chr5	Chr5:16487054	69.339	16487054	71.487	59.774	-	68.387	71.253
