Dalata.22838	Acomosus.4
Dalata.97	Acomosus.19427
Dalata.98	Acomosus.5421
Dalata.16475	Acomosus.79
Dalata.100	Acomosus.7789
Dalata.15931	Acomosus.80
Dalata.18020	Acomosus.81
Dalata.103	Acomosus.20705
Dalata.105	Acomosus.19422
Dalata.106	Acomosus.8281
Dalata.23824	Acomosus.83
Dalata.106	Acomosus.19421
Dalata.106	Acomosus.20703
Dalata.16362	Acomosus.84
Dalata.107	Acomosus.19419
Dalata.10942	Acomosus.86
Dalata.108	Acomosus.19414
Dalata.22765	Acomosus.87
Dalata.109	Acomosus.20697
Dalata.15921	Acomosus.88
Dalata.110	Acomosus.19408
Dalata.15925	Acomosus.89
Dalata.112	Acomosus.5927
Dalata.460	Acomosus.90
Dalata.113	Acomosus.20693
Dalata.15711	Acomosus.91
Dalata.115	Acomosus.20690
Dalata.18407	Acomosus.92
Dalata.116	Acomosus.19396
Dalata.24167	Acomosus.95
Dalata.21695	Acomosus.96
Dalata.21693	Acomosus.97
Dalata.118	Acomosus.3000
Dalata.119	Acomosus.2987
Dalata.21691	Acomosus.99
Dalata.21690	Acomosus.100
Dalata.21689	Acomosus.101
Dalata.6818	Acomosus.102
Dalata.121	Acomosus.9702
Dalata.123	Acomosus.20682
Dalata.6815	Acomosus.104
Dalata.6813	Acomosus.105
Dalata.21680	Acomosus.106
Dalata.126	Acomosus.7766
Dalata.6809	Acomosus.107
Dalata.127	Acomosus.9689
Dalata.7053	Acomosus.109
Dalata.128	Acomosus.19345
Dalata.130	Acomosus.2900
Dalata.21668	Acomosus.112
Dalata.131	Acomosus.19347
Dalata.7040	Acomosus.114
Dalata.132	Acomosus.19349
Dalata.22424	Acomosus.114
Dalata.133	Acomosus.19351
Dalata.135	Acomosus.20638
Dalata.18926	Acomosus.116
Dalata.137	Acomosus.19330
Dalata.138	Acomosus.19329
Dalata.21648	Acomosus.123
Dalata.144	Acomosus.20624
Dalata.21647	Acomosus.124
Dalata.6779	Acomosus.125
Dalata.149	Acomosus.8332
Dalata.21644	Acomosus.126
Dalata.6777	Acomosus.128
Dalata.6770	Acomosus.129
Dalata.7001	Acomosus.130
Dalata.156	Acomosus.19321
Dalata.6772	Acomosus.132
Dalata.21639	Acomosus.135
Dalata.21636	Acomosus.136
Dalata.162	Acomosus.20608
Dalata.6761	Acomosus.138
Dalata.164	Acomosus.20610
Dalata.6758	Acomosus.140
Dalata.21625	Acomosus.141
Dalata.166	Acomosus.8711
Dalata.170	Acomosus.19319
Dalata.6754	Acomosus.143
Dalata.171	Acomosus.20606
Dalata.21617	Acomosus.145
Dalata.172	Acomosus.11587
Dalata.21614	Acomosus.146
Dalata.174	Acomosus.21237
Dalata.21608	Acomosus.147
Dalata.22529	Acomosus.148
Dalata.176	Acomosus.3477
Dalata.21247	Acomosus.150
Dalata.21599	Acomosus.151
Dalata.6740	Acomosus.155
Dalata.181	Acomosus.19307
Dalata.21595	Acomosus.156
Dalata.182	Acomosus.3490
Dalata.21592	Acomosus.158
Dalata.184	Acomosus.19308
Dalata.21585	Acomosus.159
Dalata.186	Acomosus.7749
Dalata.187	Acomosus.19309
Dalata.22559	Acomosus.161
Dalata.6931	Acomosus.163
Dalata.6732	Acomosus.164
Dalata.188	Acomosus.20595
Dalata.23326	Acomosus.166
Dalata.6724	Acomosus.168
Dalata.190	Acomosus.3486
Dalata.23323	Acomosus.171
Dalata.191	Acomosus.3486
Dalata.8010	Acomosus.173
Dalata.193	Acomosus.7752
Dalata.15596	Acomosus.176
Dalata.194	Acomosus.20599
Dalata.23731	Acomosus.177
Dalata.21100	Acomosus.179
Dalata.20628	Acomosus.180
Dalata.197	Acomosus.20600
Dalata.23726	Acomosus.183
Dalata.199	Acomosus.20600
Dalata.1728	Acomosus.184
Dalata.5941	Acomosus.188
Dalata.7940	Acomosus.189
Dalata.211	Acomosus.8127
Dalata.211	Acomosus.22231
Dalata.23710	Acomosus.192
Dalata.214	Acomosus.3136
Dalata.214	Acomosus.3137
Dalata.7823	Acomosus.194
Dalata.221	Acomosus.19293
Dalata.25174	Acomosus.199
Dalata.7802	Acomosus.200
Dalata.7840	Acomosus.201
Dalata.222	Acomosus.19290
Dalata.21699	Acomosus.202
Dalata.20971	Acomosus.203
Dalata.223	Acomosus.19291
Dalata.13557	Acomosus.204
Dalata.21711	Acomosus.210
Dalata.6829	Acomosus.211
Dalata.229	Acomosus.20578
Dalata.230	Acomosus.13096
Dalata.231	Acomosus.13096
Dalata.238	Acomosus.20590
Dalata.21716	Acomosus.215
Dalata.21724	Acomosus.218
Dalata.21020	Acomosus.219
Dalata.21726	Acomosus.220
Dalata.8187	Acomosus.221
Dalata.21729	Acomosus.222
Dalata.6852	Acomosus.226
Dalata.21737	Acomosus.227
Dalata.23272	Acomosus.233
Dalata.21739	Acomosus.234
Dalata.21742	Acomosus.237
Dalata.6862	Acomosus.238
Dalata.21745	Acomosus.239
Dalata.6867	Acomosus.241
Dalata.1515	Acomosus.244
Dalata.21763	Acomosus.245
Dalata.21768	Acomosus.249
Dalata.21770	Acomosus.251
Dalata.21771	Acomosus.252
Dalata.8146	Acomosus.253
Dalata.6876	Acomosus.254
Dalata.8140	Acomosus.255
Dalata.21781	Acomosus.256
Dalata.6881	Acomosus.256
Dalata.8137	Acomosus.257
Dalata.15249	Acomosus.260
Dalata.1126	Acomosus.262
Dalata.15248	Acomosus.263
Dalata.304	Acomosus.20668
Dalata.1129	Acomosus.264
Dalata.15245	Acomosus.265
Dalata.9609	Acomosus.266
Dalata.306	Acomosus.7774
Dalata.307	Acomosus.8274
Dalata.308	Acomosus.20673
Dalata.309	Acomosus.20674
Dalata.17549	Acomosus.271
Dalata.15233	Acomosus.272
Dalata.311	Acomosus.20676
Dalata.312	Acomosus.17396
Dalata.313	Acomosus.4023
Dalata.15232	Acomosus.273
Dalata.316	Acomosus.20677
Dalata.9620	Acomosus.274
Dalata.15227	Acomosus.276
Dalata.319	Acomosus.7765
Dalata.16413	Acomosus.277
Dalata.320	Acomosus.7763
Dalata.15276	Acomosus.280
Dalata.15275	Acomosus.282
Dalata.15273	Acomosus.284
Dalata.330	Acomosus.20640
Dalata.1120	Acomosus.285
Dalata.17577	Acomosus.287
Dalata.335	Acomosus.20651
Dalata.15265	Acomosus.291
Dalata.342	Acomosus.19367
Dalata.343	Acomosus.19368
Dalata.15263	Acomosus.292
Dalata.344	Acomosus.2863
Dalata.15262	Acomosus.295
Dalata.22281	Acomosus.296
Dalata.345	Acomosus.19369
Dalata.15296	Acomosus.299
Dalata.347	Acomosus.8705
Dalata.348	Acomosus.20661
Dalata.22308	Acomosus.302
Dalata.15302	Acomosus.303
Dalata.9676	Acomosus.304
Dalata.9677	Acomosus.305
Dalata.350	Acomosus.2950
Dalata.15322	Acomosus.307
Dalata.353	Acomosus.19287
Dalata.15316	Acomosus.309
Dalata.22322	Acomosus.310
Dalata.15309	Acomosus.312
Dalata.357	Acomosus.16323
Dalata.22336	Acomosus.314
Dalata.15332	Acomosus.315
Dalata.22339	Acomosus.316
Dalata.15337	Acomosus.317
Dalata.14669	Acomosus.318
Dalata.22341	Acomosus.319
Dalata.22342	Acomosus.320
Dalata.15340	Acomosus.321
Dalata.22343	Acomosus.323
Dalata.376	Acomosus.20564
Dalata.377	Acomosus.20445
Dalata.9696	Acomosus.324
Dalata.15415	Acomosus.326
Dalata.379	Acomosus.20296
Dalata.380	Acomosus.19177
Dalata.9702	Acomosus.327
Dalata.381	Acomosus.19178
Dalata.383	Acomosus.3411
Dalata.384	Acomosus.19183
Dalata.15409	Acomosus.333
Dalata.385	Acomosus.20448
Dalata.22357	Acomosus.334
Dalata.22358	Acomosus.335
Dalata.388	Acomosus.19187
Dalata.389	Acomosus.3404
Dalata.15406	Acomosus.337
Dalata.22368	Acomosus.339
Dalata.392	Acomosus.2016
Dalata.22370	Acomosus.341
Dalata.394	Acomosus.8638
Dalata.15393	Acomosus.343
Dalata.395	Acomosus.7701
Dalata.15392	Acomosus.345
Dalata.17676	Acomosus.346
Dalata.15390	Acomosus.347
Dalata.397	Acomosus.12110
Dalata.15382	Acomosus.349
Dalata.403	Acomosus.396
Dalata.15374	Acomosus.352
Dalata.404	Acomosus.22186
Dalata.15373	Acomosus.353
Dalata.15371	Acomosus.355
Dalata.15369	Acomosus.357
Dalata.408	Acomosus.19198
Dalata.409	Acomosus.7706
Dalata.411	Acomosus.17144
Dalata.23254	Acomosus.359
Dalata.9722	Acomosus.360
Dalata.413	Acomosus.19202
Dalata.15364	Acomosus.361
Dalata.23280	Acomosus.363
Dalata.23277	Acomosus.365
Dalata.415	Acomosus.3377
Dalata.416	Acomosus.3378
Dalata.23275	Acomosus.366
Dalata.422	Acomosus.7707
Dalata.15426	Acomosus.367
Dalata.425	Acomosus.8625
Dalata.427	Acomosus.20475
Dalata.15444	Acomosus.371
Dalata.25187	Acomosus.371
Dalata.15442	Acomosus.373
Dalata.429	Acomosus.19208
Dalata.430	Acomosus.7708
Dalata.432	Acomosus.20477
Dalata.17805	Acomosus.376
Dalata.15433	Acomosus.377
Dalata.23260	Acomosus.380
Dalata.433	Acomosus.3387
Dalata.23259	Acomosus.381
Dalata.434	Acomosus.3388
Dalata.23258	Acomosus.383
Dalata.23257	Acomosus.384
Dalata.436	Acomosus.19210
Dalata.23256	Acomosus.385
Dalata.15454	Acomosus.387
Dalata.438	Acomosus.7713
Dalata.439	Acomosus.19211
Dalata.440	Acomosus.20484
Dalata.15455	Acomosus.388
Dalata.441	Acomosus.20487
Dalata.444	Acomosus.20488
Dalata.10888	Acomosus.391
Dalata.445	Acomosus.7715
Dalata.15457	Acomosus.392
Dalata.446	Acomosus.20489
Dalata.448	Acomosus.19220
Dalata.15459	Acomosus.394
Dalata.15461	Acomosus.395
Dalata.452	Acomosus.19222
Dalata.454	Acomosus.2770
Dalata.5888	Acomosus.400
Dalata.457	Acomosus.20512
Dalata.458	Acomosus.19228
Dalata.23182	Acomosus.402
Dalata.461	Acomosus.20514
Dalata.15478	Acomosus.403
Dalata.462	Acomosus.19230
Dalata.464	Acomosus.20515
Dalata.465	Acomosus.20516
Dalata.466	Acomosus.7720
Dalata.17505	Acomosus.409
Dalata.467	Acomosus.20518
Dalata.15494	Acomosus.411
Dalata.468	Acomosus.19237
Dalata.469	Acomosus.19015
Dalata.470	Acomosus.19238
Dalata.471	Acomosus.19239
Dalata.15496	Acomosus.414
Dalata.15498	Acomosus.415
Dalata.473	Acomosus.20520
Dalata.15507	Acomosus.416
Dalata.10081	Acomosus.417
Dalata.15535	Acomosus.419
Dalata.477	Acomosus.20522
Dalata.15529	Acomosus.421
Dalata.10892	Acomosus.422
Dalata.478	Acomosus.7728
Dalata.3891	Acomosus.424
Dalata.479	Acomosus.20524
Dalata.23201	Acomosus.427
Dalata.480	Acomosus.20525
Dalata.23205	Acomosus.428
Dalata.481	Acomosus.19252
Dalata.483	Acomosus.8189
Dalata.15518	Acomosus.429
Dalata.484	Acomosus.16279
Dalata.485	Acomosus.20530
Dalata.486	Acomosus.2748
Dalata.17595	Acomosus.430
Dalata.487	Acomosus.19256
Dalata.489	Acomosus.19259
Dalata.490	Acomosus.20531
Dalata.22323	Acomosus.431
Dalata.15513	Acomosus.432
Dalata.492	Acomosus.7733
Dalata.23208	Acomosus.434
Dalata.18355	Acomosus.436
Dalata.15577	Acomosus.438
Dalata.15578	Acomosus.439
Dalata.15581	Acomosus.442
Dalata.23217	Acomosus.443
Dalata.499	Acomosus.20542
Dalata.500	Acomosus.19268
Dalata.501	Acomosus.3098
Dalata.6922	Acomosus.445
Dalata.8089	Acomosus.446
Dalata.9957	Acomosus.447
Dalata.504	Acomosus.19271
Dalata.507	Acomosus.8156
Dalata.510	Acomosus.19273
Dalata.511	Acomosus.19275
Dalata.6718	Acomosus.455
Dalata.514	Acomosus.19276
Dalata.517	Acomosus.3122
Dalata.518	Acomosus.3127
Dalata.6717	Acomosus.456
Dalata.519	Acomosus.20563
Dalata.8083	Acomosus.457
Dalata.6715	Acomosus.458
Dalata.520	Acomosus.19283
Dalata.21479	Acomosus.459
Dalata.4515	Acomosus.460
Dalata.521	Acomosus.19284
Dalata.522	Acomosus.7685
Dalata.6710	Acomosus.462
Dalata.523	Acomosus.19166
Dalata.22616	Acomosus.464
Dalata.528	Acomosus.19161
Dalata.529	Acomosus.7682
Dalata.532	Acomosus.19159
Dalata.533	Acomosus.20423
Dalata.6708	Acomosus.467
Dalata.22629	Acomosus.469
Dalata.22633	Acomosus.470
Dalata.539	Acomosus.19159
Dalata.22634	Acomosus.471
Dalata.541	Acomosus.11012
Dalata.3083	Acomosus.476
Dalata.22641	Acomosus.478
Dalata.6700	Acomosus.479
Dalata.22645	Acomosus.481
Dalata.21398	Acomosus.482
Dalata.22646	Acomosus.486
Dalata.22647	Acomosus.487
Dalata.6691	Acomosus.489
Dalata.579	Acomosus.19156
Dalata.21352	Acomosus.492
Dalata.13111	Acomosus.494
Dalata.584	Acomosus.12926
Dalata.585	Acomosus.6478
Dalata.6693	Acomosus.496
Dalata.21238	Acomosus.497
Dalata.23775	Acomosus.499
Dalata.23751	Acomosus.501
Dalata.21843	Acomosus.502
Dalata.593	Acomosus.20395
Dalata.23777	Acomosus.504
Dalata.595	Acomosus.7664
Dalata.23089	Acomosus.505
Dalata.23778	Acomosus.507
Dalata.597	Acomosus.7665
Dalata.9854	Acomosus.510
Dalata.23773	Acomosus.511
Dalata.601	Acomosus.7669
Dalata.602	Acomosus.20401
Dalata.23788	Acomosus.513
Dalata.604	Acomosus.20402
Dalata.23787	Acomosus.515
Dalata.606	Acomosus.19135
Dalata.607	Acomosus.19136
Dalata.608	Acomosus.19139
Dalata.23786	Acomosus.517
Dalata.1857	Acomosus.519
Dalata.612	Acomosus.20416
Dalata.615	Acomosus.20418
Dalata.616	Acomosus.21616
Dalata.618	Acomosus.12460
Dalata.21838	Acomosus.525
Dalata.21839	Acomosus.526
Dalata.624	Acomosus.20162
Dalata.626	Acomosus.18934
Dalata.627	Acomosus.17587
Dalata.23784	Acomosus.529
Dalata.629	Acomosus.19056
Dalata.23765	Acomosus.531
Dalata.630	Acomosus.3226
Dalata.631	Acomosus.19055
Dalata.634	Acomosus.19052
Dalata.7878	Acomosus.535
Dalata.635	Acomosus.9728
Dalata.23783	Acomosus.537
Dalata.21287	Acomosus.543
Dalata.638	Acomosus.20302
Dalata.642	Acomosus.8499
Dalata.643	Acomosus.20294
Dalata.23790	Acomosus.547
Dalata.645	Acomosus.20288
Dalata.646	Acomosus.20287
Dalata.19113	Acomosus.549
Dalata.23756	Acomosus.550
Dalata.21837	Acomosus.551
Dalata.21832	Acomosus.553
Dalata.21827	Acomosus.554
Dalata.652	Acomosus.19036
Dalata.21798	Acomosus.557
Dalata.4476	Acomosus.559
Dalata.655	Acomosus.20276
Dalata.8106	Acomosus.563
Dalata.660	Acomosus.20269
Dalata.21814	Acomosus.565
Dalata.6913	Acomosus.566
Dalata.21552	Acomosus.570
Dalata.6906	Acomosus.571
Dalata.663	Acomosus.20204
Dalata.23807	Acomosus.572
Dalata.6896	Acomosus.575
Dalata.672	Acomosus.19010
Dalata.673	Acomosus.20256
Dalata.674	Acomosus.7626
Dalata.675	Acomosus.20258
Dalata.679	Acomosus.18997
Dalata.680	Acomosus.14908
Dalata.683	Acomosus.3277
Dalata.684	Acomosus.20241
Dalata.6890	Acomosus.588
Dalata.685	Acomosus.20242
Dalata.6888	Acomosus.589
Dalata.15254	Acomosus.590
Dalata.688	Acomosus.10047
Dalata.689	Acomosus.8551
Dalata.1123	Acomosus.592
Dalata.690	Acomosus.20243
Dalata.5355	Acomosus.594
Dalata.691	Acomosus.2167
Dalata.691	Acomosus.12016
Dalata.692	Acomosus.20250
Dalata.699	Acomosus.6306
Dalata.15221	Acomosus.599
Dalata.704	Acomosus.22134
Dalata.705	Acomosus.8559
Dalata.707	Acomosus.11368
Dalata.1098	Acomosus.605
Dalata.709	Acomosus.7600
Dalata.710	Acomosus.20239
Dalata.1089	Acomosus.607
Dalata.1084	Acomosus.611
Dalata.714	Acomosus.17005
Dalata.714	Acomosus.17007
Dalata.17846	Acomosus.612
Dalata.1082	Acomosus.613
Dalata.716	Acomosus.2730
Dalata.717	Acomosus.9619
Dalata.1081	Acomosus.614
Dalata.718	Acomosus.20215
Dalata.17843	Acomosus.616
Dalata.719	Acomosus.9618
Dalata.720	Acomosus.18982
Dalata.721	Acomosus.13083
Dalata.722	Acomosus.8489
Dalata.722	Acomosus.8486
Dalata.15133	Acomosus.622
Dalata.725	Acomosus.1473
Dalata.731	Acomosus.8468
Dalata.733	Acomosus.20198
Dalata.734	Acomosus.20197
Dalata.15146	Acomosus.633
Dalata.1039	Acomosus.634
Dalata.737	Acomosus.6329
Dalata.1498	Acomosus.635
Dalata.15154	Acomosus.636
Dalata.739	Acomosus.20190
Dalata.15156	Acomosus.637
Dalata.740	Acomosus.18489
Dalata.741	Acomosus.20196
Dalata.742	Acomosus.8038
Dalata.1032	Acomosus.640
Dalata.743	Acomosus.18962
Dalata.1028	Acomosus.643
Dalata.746	Acomosus.8034
Dalata.1017	Acomosus.645
Dalata.17795	Acomosus.646
Dalata.17793	Acomosus.646
Dalata.748	Acomosus.8033
Dalata.15165	Acomosus.647
Dalata.1735	Acomosus.648
Dalata.751	Acomosus.2715
Dalata.754	Acomosus.3019
Dalata.15122	Acomosus.652
Dalata.17783	Acomosus.653
Dalata.15119	Acomosus.654
Dalata.760	Acomosus.8019
Dalata.765	Acomosus.19105
Dalata.766	Acomosus.20381
Dalata.767	Acomosus.19113
Dalata.15105	Acomosus.662
Dalata.19654	Acomosus.664
Dalata.772	Acomosus.20389
Dalata.12108	Acomosus.665
Dalata.775	Acomosus.20164
Dalata.18812	Acomosus.666
Dalata.778	Acomosus.8602
Dalata.22166	Acomosus.667
Dalata.780	Acomosus.3341
Dalata.20962	Acomosus.668
Dalata.12782	Acomosus.669
Dalata.17099	Acomosus.670
Dalata.3130	Acomosus.671
Dalata.3131	Acomosus.672
Dalata.12764	Acomosus.673
Dalata.12757	Acomosus.675
Dalata.3137	Acomosus.677
Dalata.783	Acomosus.6376
Dalata.784	Acomosus.9751
Dalata.785	Acomosus.8211
Dalata.5825	Acomosus.678
Dalata.787	Acomosus.18885
Dalata.5263	Acomosus.679
Dalata.789	Acomosus.20353
Dalata.12751	Acomosus.680
Dalata.793	Acomosus.20351
Dalata.3159	Acomosus.683
Dalata.5357	Acomosus.685
Dalata.3155	Acomosus.686
Dalata.797	Acomosus.7645
Dalata.12738	Acomosus.688
Dalata.799	Acomosus.19085
Dalata.800	Acomosus.20348
Dalata.801	Acomosus.22260
Dalata.3149	Acomosus.690
Dalata.802	Acomosus.19082
Dalata.803	Acomosus.5705
Dalata.16919	Acomosus.692
Dalata.3145	Acomosus.693
Dalata.3144	Acomosus.694
Dalata.806	Acomosus.20345
Dalata.807	Acomosus.19078
Dalata.3143	Acomosus.695
Dalata.808	Acomosus.19077
Dalata.3142	Acomosus.696
Dalata.3140	Acomosus.697
Dalata.811	Acomosus.19075
Dalata.813	Acomosus.20343
Dalata.16918	Acomosus.698
Dalata.815	Acomosus.8080
Dalata.16908	Acomosus.701
Dalata.818	Acomosus.20327
Dalata.16907	Acomosus.702
Dalata.819	Acomosus.19064
Dalata.5327	Acomosus.703
Dalata.12715	Acomosus.703
Dalata.5318	Acomosus.704
Dalata.820	Acomosus.20325
Dalata.821	Acomosus.16221
Dalata.3179	Acomosus.705
Dalata.824	Acomosus.19069
Dalata.3181	Acomosus.706
Dalata.825	Acomosus.20320
Dalata.16898	Acomosus.707
Dalata.827	Acomosus.20316
Dalata.3184	Acomosus.711
Dalata.829	Acomosus.19060
Dalata.830	Acomosus.20328
Dalata.3185	Acomosus.712
Dalata.832	Acomosus.3225
Dalata.833	Acomosus.19059
Dalata.8088	Acomosus.713
Dalata.3188	Acomosus.714
Dalata.841	Acomosus.8090
Dalata.16896	Acomosus.715
Dalata.842	Acomosus.20148
Dalata.16895	Acomosus.716
Dalata.3192	Acomosus.718
Dalata.3193	Acomosus.719
Dalata.843	Acomosus.18929
Dalata.16891	Acomosus.720
Dalata.844	Acomosus.20129
Dalata.845	Acomosus.18912
Dalata.846	Acomosus.22414
Dalata.848	Acomosus.9588
Dalata.5307	Acomosus.721
Dalata.849	Acomosus.18923
Dalata.3197	Acomosus.722
Dalata.850	Acomosus.18921
Dalata.12688	Acomosus.724
Dalata.3200	Acomosus.725
Dalata.3201	Acomosus.726
Dalata.3204	Acomosus.727
Dalata.853	Acomosus.20132
Dalata.854	Acomosus.18909
Dalata.3203	Acomosus.728
Dalata.16858	Acomosus.730
Dalata.3230	Acomosus.731
Dalata.855	Acomosus.8102
Dalata.855	Acomosus.10472
Dalata.5284	Acomosus.732
Dalata.856	Acomosus.18906
Dalata.16862	Acomosus.734
Dalata.12660	Acomosus.735
Dalata.16864	Acomosus.736
Dalata.13084	Acomosus.737
Dalata.16865	Acomosus.739
Dalata.859	Acomosus.18902
Dalata.861	Acomosus.3304
Dalata.12673	Acomosus.741
Dalata.862	Acomosus.3305
Dalata.16867	Acomosus.742
Dalata.863	Acomosus.20115
Dalata.12651	Acomosus.743
Dalata.865	Acomosus.18899
Dalata.16870	Acomosus.746
Dalata.868	Acomosus.18927
Dalata.16871	Acomosus.748
Dalata.873	Acomosus.20109
Dalata.12639	Acomosus.751
Dalata.3206	Acomosus.752
Dalata.5409	Acomosus.753
Dalata.877	Acomosus.18562
Dalata.878	Acomosus.2366
Dalata.6400	Acomosus.754
Dalata.3235	Acomosus.755
Dalata.882	Acomosus.18864
Dalata.3237	Acomosus.756
Dalata.3239	Acomosus.757
Dalata.884	Acomosus.18946
Dalata.886	Acomosus.9523
Dalata.3247	Acomosus.758
Dalata.20674	Acomosus.759
Dalata.3337	Acomosus.760
Dalata.888	Acomosus.18952
Dalata.890	Acomosus.8770
Dalata.16785	Acomosus.761
Dalata.3334	Acomosus.763
Dalata.896	Acomosus.8816
Dalata.16792	Acomosus.765
Dalata.899	Acomosus.21093
Dalata.899	Acomosus.20112
Dalata.900	Acomosus.20173
Dalata.16800	Acomosus.772
Dalata.16804	Acomosus.773
Dalata.903	Acomosus.18288
Dalata.12834	Acomosus.776
Dalata.3319	Acomosus.778
Dalata.3317	Acomosus.780
Dalata.21583	Acomosus.779
Dalata.904	Acomosus.20374
Dalata.905	Acomosus.20411
Dalata.906	Acomosus.20352
Dalata.907	Acomosus.8845
Dalata.3316	Acomosus.782
Dalata.3314	Acomosus.783
Dalata.16812	Acomosus.784
Dalata.5036	Acomosus.785
Dalata.912	Acomosus.20095
Dalata.913	Acomosus.20091
Dalata.3308	Acomosus.787
Dalata.916	Acomosus.3630
Dalata.917	Acomosus.8872
Dalata.16823	Acomosus.792
Dalata.919	Acomosus.18872
Dalata.16825	Acomosus.794
Dalata.921	Acomosus.3639
Dalata.16829	Acomosus.797
Dalata.923	Acomosus.8876
Dalata.8679	Acomosus.798
Dalata.16831	Acomosus.799
Dalata.928	Acomosus.7813
Dalata.930	Acomosus.8893
Dalata.930	Acomosus.20843
Dalata.16835	Acomosus.801
Dalata.932	Acomosus.20081
Dalata.3283	Acomosus.802
Dalata.3275	Acomosus.803
Dalata.16840	Acomosus.805
Dalata.935	Acomosus.9480
Dalata.12601	Acomosus.807
Dalata.937	Acomosus.5833
Dalata.938	Acomosus.8304
Dalata.3265	Acomosus.808
Dalata.939	Acomosus.7814
Dalata.23121	Acomosus.811
Dalata.3262	Acomosus.812
Dalata.940	Acomosus.18851
Dalata.16843	Acomosus.813
Dalata.941	Acomosus.8932
Dalata.16842	Acomosus.814
Dalata.5443	Acomosus.815
Dalata.945	Acomosus.20073
Dalata.3259	Acomosus.816
Dalata.3258	Acomosus.817
Dalata.947	Acomosus.20069
Dalata.3255	Acomosus.818
Dalata.949	Acomosus.3699
Dalata.16846	Acomosus.819
Dalata.950	Acomosus.20068
Dalata.952	Acomosus.18826
Dalata.3253	Acomosus.820
Dalata.953	Acomosus.20065
Dalata.954	Acomosus.20064
Dalata.3252	Acomosus.823
Dalata.955	Acomosus.8941
Dalata.5422	Acomosus.825
Dalata.3249	Acomosus.826
Dalata.3340	Acomosus.827
Dalata.16782	Acomosus.828
Dalata.3341	Acomosus.829
Dalata.961	Acomosus.8951
Dalata.3342	Acomosus.830
Dalata.962	Acomosus.3724
Dalata.3344	Acomosus.831
Dalata.964	Acomosus.22521
Dalata.964	Acomosus.20057
Dalata.965	Acomosus.17813
Dalata.3349	Acomosus.832
Dalata.16773	Acomosus.833
Dalata.966	Acomosus.18811
Dalata.967	Acomosus.18809
Dalata.3351	Acomosus.834
Dalata.3352	Acomosus.835
