Dalata.186	Acomosus.7749
Dalata.91	Acomosus.20714
Dalata.103	Acomosus.20705
Dalata.106	Acomosus.20703
Dalata.109	Acomosus.20697
Dalata.113	Acomosus.20693
Dalata.115	Acomosus.20690
Dalata.123	Acomosus.20682
Dalata.135	Acomosus.20638
Dalata.144	Acomosus.20624
Dalata.162	Acomosus.20608
Dalata.164	Acomosus.20610
Dalata.171	Acomosus.20606
Dalata.188	Acomosus.20595
Dalata.194	Acomosus.20599
Dalata.197	Acomosus.20600
Dalata.199	Acomosus.20600
Dalata.229	Acomosus.20578
Dalata.238	Acomosus.20590
Dalata.304	Acomosus.20668
Dalata.308	Acomosus.20673
Dalata.309	Acomosus.20674
Dalata.311	Acomosus.20676
Dalata.316	Acomosus.20677
Dalata.330	Acomosus.20640
Dalata.335	Acomosus.20651
Dalata.348	Acomosus.20661
Dalata.377	Acomosus.20445
Dalata.385	Acomosus.20448
Dalata.427	Acomosus.20475
Dalata.432	Acomosus.20477
Dalata.440	Acomosus.20484
Dalata.441	Acomosus.20487
Dalata.444	Acomosus.20488
Dalata.446	Acomosus.20489
Dalata.457	Acomosus.20512
Dalata.461	Acomosus.20514
Dalata.464	Acomosus.20515
Dalata.465	Acomosus.20516
Dalata.467	Acomosus.20518
Dalata.473	Acomosus.20520
Dalata.477	Acomosus.20522
Dalata.479	Acomosus.20524
Dalata.480	Acomosus.20525
Dalata.485	Acomosus.20530
Dalata.490	Acomosus.20531
Dalata.499	Acomosus.20542
Dalata.519	Acomosus.20563
Dalata.533	Acomosus.20423
Dalata.593	Acomosus.20395
Dalata.602	Acomosus.20401
Dalata.604	Acomosus.20402
Dalata.612	Acomosus.20416
Dalata.615	Acomosus.20418
Dalata.766	Acomosus.20381
Dalata.772	Acomosus.20389
Dalata.789	Acomosus.20353
Dalata.793	Acomosus.20351
Dalata.800	Acomosus.20348
Dalata.806	Acomosus.20345
Dalata.813	Acomosus.20343
Dalata.1017	Acomosus.645
Dalata.1028	Acomosus.643
Dalata.1032	Acomosus.640
Dalata.1039	Acomosus.634
Dalata.1081	Acomosus.614
Dalata.1082	Acomosus.613
Dalata.1084	Acomosus.611
Dalata.1089	Acomosus.607
Dalata.1098	Acomosus.605
Dalata.1123	Acomosus.592
Dalata.1204	Acomosus.3456
Dalata.1225	Acomosus.3448
Dalata.1233	Acomosus.3444
Dalata.1234	Acomosus.3442
Dalata.1249	Acomosus.3436
Dalata.1250	Acomosus.3435
Dalata.1251	Acomosus.3431
Dalata.1271	Acomosus.3428
Dalata.1273	Acomosus.3426
Dalata.1277	Acomosus.3425
Dalata.1343	Acomosus.3421
Dalata.1351	Acomosus.3417
Dalata.1375	Acomosus.3414
Dalata.1376	Acomosus.3405
Dalata.1430	Acomosus.2878
Dalata.1443	Acomosus.2874
Dalata.1446	Acomosus.2869
Dalata.1452	Acomosus.2866
Dalata.1453	Acomosus.2865
Dalata.1456	Acomosus.2862
Dalata.1462	Acomosus.2857
Dalata.1493	Acomosus.2886
Dalata.1497	Acomosus.2884
Dalata.1523	Acomosus.2898
Dalata.1527	Acomosus.2901
Dalata.1529	Acomosus.2902
Dalata.1539	Acomosus.2904
Dalata.1541	Acomosus.2906
Dalata.1542	Acomosus.2907
Dalata.1549	Acomosus.2935
Dalata.1580	Acomosus.2944
Dalata.1592	Acomosus.2954
Dalata.1595	Acomosus.2956
Dalata.1597	Acomosus.2962
Dalata.1598	Acomosus.2963
Dalata.1666	Acomosus.3497
Dalata.1668	Acomosus.3496
Dalata.1673	Acomosus.3494
Dalata.1682	Acomosus.3489
Dalata.1690	Acomosus.3485
Dalata.1708	Acomosus.3475
Dalata.1714	Acomosus.3467
Dalata.1737	Acomosus.3466
Dalata.1770	Acomosus.2966
Dalata.1789	Acomosus.2972
Dalata.1790	Acomosus.2968
Dalata.1800	Acomosus.2973
Dalata.1802	Acomosus.2991
Dalata.1815	Acomosus.2993
Dalata.1853	Acomosus.2986
Dalata.1869	Acomosus.2985
Dalata.1875	Acomosus.2980
Dalata.1876	Acomosus.2979
Dalata.1890	Acomosus.3009
Dalata.1893	Acomosus.3007
Dalata.1895	Acomosus.2841
Dalata.1896	Acomosus.2840
Dalata.1902	Acomosus.2832
Dalata.1909	Acomosus.2824
Dalata.1919	Acomosus.2819
Dalata.1920	Acomosus.2818
Dalata.1922	Acomosus.2817
Dalata.1944	Acomosus.2808
Dalata.1951	Acomosus.2803
Dalata.1985	Acomosus.2786
Dalata.1986	Acomosus.2784
Dalata.1202	Acomosus.8699
Dalata.1203	Acomosus.8698
Dalata.1214	Acomosus.8695
Dalata.1219	Acomosus.8693
Dalata.1230	Acomosus.8687
Dalata.1231	Acomosus.8686
Dalata.1243	Acomosus.8679
Dalata.1252	Acomosus.8673
Dalata.1265	Acomosus.8670
Dalata.1281	Acomosus.8666
Dalata.1349	Acomosus.8655
Dalata.1350	Acomosus.8654
Dalata.1378	Acomosus.8650
Dalata.1411	Acomosus.8365
Dalata.1412	Acomosus.8366
Dalata.1420	Acomosus.8368
Dalata.1431	Acomosus.8374
Dalata.1467	Acomosus.8385
Dalata.1473	Acomosus.8404
Dalata.1474	Acomosus.8403
Dalata.1481	Acomosus.8361
Dalata.1509	Acomosus.8394
Dalata.1510	Acomosus.8396
Dalata.1528	Acomosus.8359
Dalata.1536	Acomosus.8355
Dalata.1543	Acomosus.8352
Dalata.1550	Acomosus.8342
Dalata.1551	Acomosus.8339
Dalata.1556	Acomosus.8345
Dalata.1585	Acomosus.8331
Dalata.1590	Acomosus.8329
Dalata.1599	Acomosus.8325
Dalata.1635	Acomosus.8736
Dalata.1649	Acomosus.8734
Dalata.1667	Acomosus.8731
Dalata.1678	Acomosus.8729
Dalata.1681	Acomosus.8728
Dalata.1695	Acomosus.8723
Dalata.1696	Acomosus.8722
Dalata.1697	Acomosus.8720
Dalata.1710	Acomosus.8717
Dalata.1713	Acomosus.8715
Dalata.1730	Acomosus.8713
Dalata.1732	Acomosus.8710
Dalata.1776	Acomosus.8321
Dalata.1785	Acomosus.8319
Dalata.1786	Acomosus.8318
Dalata.1787	Acomosus.8317
Dalata.1799	Acomosus.8315
Dalata.1812	Acomosus.8305
Dalata.1852	Acomosus.8302
Dalata.1864	Acomosus.8298
Dalata.1865	Acomosus.8297
Dalata.1867	Acomosus.8291
Dalata.1872	Acomosus.8285
Dalata.1873	Acomosus.8284
Dalata.1874	Acomosus.8283
Dalata.1878	Acomosus.8280
Dalata.1880	Acomosus.8277
Dalata.1898	Acomosus.8267
Dalata.1921	Acomosus.8251
Dalata.1925	Acomosus.8248
Dalata.1934	Acomosus.8247
Dalata.1940	Acomosus.8238
Dalata.1945	Acomosus.8230
Dalata.1951	Acomosus.8227
Dalata.1961	Acomosus.8223
Dalata.1963	Acomosus.8221
Dalata.1981	Acomosus.8215
Dalata.995	Acomosus.14717
Dalata.1000	Acomosus.14713
Dalata.1009	Acomosus.14706
Dalata.1015	Acomosus.14699
Dalata.1016	Acomosus.14698
Dalata.1019	Acomosus.14696
Dalata.1038	Acomosus.14691
Dalata.1040	Acomosus.14689
Dalata.1041	Acomosus.14688
Dalata.1042	Acomosus.14685
Dalata.1044	Acomosus.14684
Dalata.1046	Acomosus.14679
Dalata.1050	Acomosus.14678
Dalata.1064	Acomosus.14675
Dalata.1069	Acomosus.14671
Dalata.1070	Acomosus.14670
Dalata.1070	Acomosus.14669
Dalata.1086	Acomosus.14665
Dalata.1088	Acomosus.14663
Dalata.1105	Acomosus.14659
Dalata.1122	Acomosus.14653
Dalata.2004	Acomosus.1572
Dalata.2014	Acomosus.1578
Dalata.2026	Acomosus.1587
Dalata.2027	Acomosus.1589
Dalata.2028	Acomosus.1590
Dalata.2030	Acomosus.1594
Dalata.2035	Acomosus.1598
Dalata.2040	Acomosus.1607
Dalata.2050	Acomosus.1615
Dalata.2055	Acomosus.1618
Dalata.2056	Acomosus.1621
Dalata.2063	Acomosus.1634
Dalata.2065	Acomosus.1633
Dalata.2071	Acomosus.1631
Dalata.2082	Acomosus.1939
Dalata.2089	Acomosus.1945
Dalata.2097	Acomosus.1933
Dalata.2101	Acomosus.1849
Dalata.2103	Acomosus.1848
Dalata.2112	Acomosus.1857
Dalata.2114	Acomosus.1879
Dalata.2130	Acomosus.1668
Dalata.2146	Acomosus.1679
Dalata.2150	Acomosus.1676
Dalata.2155	Acomosus.1683
Dalata.2157	Acomosus.1686
Dalata.2166	Acomosus.1690
Dalata.2171	Acomosus.1693
Dalata.2172	Acomosus.1692
Dalata.2174	Acomosus.1695
Dalata.2182	Acomosus.1696
Dalata.2192	Acomosus.1709
Dalata.2199	Acomosus.1713
Dalata.2201	Acomosus.1714
Dalata.2202	Acomosus.1715
Dalata.2207	Acomosus.1720
Dalata.2229	Acomosus.1731
Dalata.2239	Acomosus.1749
Dalata.2241	Acomosus.1746
Dalata.2247	Acomosus.1757
Dalata.2248	Acomosus.1759
Dalata.2249	Acomosus.1761
Dalata.2255	Acomosus.1766
Dalata.2260	Acomosus.1772
Dalata.2264	Acomosus.1773
Dalata.2307	Acomosus.1793
Dalata.2309	Acomosus.1796
Dalata.2319	Acomosus.1802
Dalata.2322	Acomosus.1803
Dalata.2325	Acomosus.1814
Dalata.2362	Acomosus.1809
Dalata.2363	Acomosus.1819
Dalata.2376	Acomosus.1828
Dalata.2379	Acomosus.1842
Dalata.2382	Acomosus.1841
Dalata.2405	Acomosus.1884
Dalata.2435	Acomosus.2446
Dalata.2460	Acomosus.2465
Dalata.2510	Acomosus.2453
Dalata.2526	Acomosus.2432
Dalata.2527	Acomosus.2431
Dalata.2530	Acomosus.2426
Dalata.2535	Acomosus.2423
Dalata.2540	Acomosus.2416
Dalata.2542	Acomosus.2409
Dalata.2555	Acomosus.2495
Dalata.2589	Acomosus.2466
Dalata.2615	Acomosus.2471
Dalata.2630	Acomosus.2482
Dalata.2635	Acomosus.2484
Dalata.2655	Acomosus.2486
Dalata.2699	Acomosus.2499
Dalata.2701	Acomosus.2502
Dalata.2707	Acomosus.2503
Dalata.2714	Acomosus.2506
Dalata.2724	Acomosus.2531
Dalata.2732	Acomosus.2525
Dalata.2733	Acomosus.2524
Dalata.2794	Acomosus.2538
Dalata.2801	Acomosus.2549
Dalata.2803	Acomosus.2551
Dalata.2805	Acomosus.2553
Dalata.2806	Acomosus.2555
Dalata.2807	Acomosus.2556
Dalata.2808	Acomosus.2557
Dalata.2809	Acomosus.2559
Dalata.2810	Acomosus.2561
Dalata.2825	Acomosus.2564
Dalata.2839	Acomosus.2569
Dalata.2844	Acomosus.2572
Dalata.2854	Acomosus.2580
Dalata.2855	Acomosus.2582
Dalata.2857	Acomosus.2584
Dalata.2868	Acomosus.2545
Dalata.2872	Acomosus.2598
Dalata.2873	Acomosus.2599
Dalata.2874	Acomosus.2600
Dalata.2875	Acomosus.2602
Dalata.2878	Acomosus.2656
Dalata.2914	Acomosus.2650
Dalata.2916	Acomosus.2648
Dalata.2917	Acomosus.2647
Dalata.2926	Acomosus.2643
Dalata.2930	Acomosus.2641
Dalata.2931	Acomosus.2640
Dalata.2932	Acomosus.2640
Dalata.2938	Acomosus.2633
Dalata.2951	Acomosus.2628
Dalata.2955	Acomosus.2626
Dalata.2959	Acomosus.2624
Dalata.2979	Acomosus.2612
Dalata.2996	Acomosus.2658
Dalata.2018	Acomosus.6209
Dalata.2019	Acomosus.6210
Dalata.2023	Acomosus.6213
Dalata.2033	Acomosus.6215
Dalata.2038	Acomosus.6220
Dalata.2046	Acomosus.6224
Dalata.2079	Acomosus.6261
Dalata.2083	Acomosus.6250
Dalata.2091	Acomosus.6237
Dalata.2163	Acomosus.6068
Dalata.2167	Acomosus.6069
Dalata.2173	Acomosus.6074
Dalata.2189	Acomosus.6080
Dalata.2200	Acomosus.6090
Dalata.2233	Acomosus.6102
Dalata.2234	Acomosus.6103
Dalata.2252	Acomosus.6111
Dalata.2253	Acomosus.6113
Dalata.2265	Acomosus.6118
Dalata.2266	Acomosus.6120
Dalata.2269	Acomosus.6121
Dalata.2272	Acomosus.6122
Dalata.2274	Acomosus.6123
Dalata.2277	Acomosus.6128
Dalata.2278	Acomosus.6126
Dalata.2279	Acomosus.6124
Dalata.2286	Acomosus.6132
Dalata.2306	Acomosus.6138
Dalata.2313	Acomosus.6140
Dalata.2323	Acomosus.6143
Dalata.2339	Acomosus.6136
Dalata.2346	Acomosus.6147
Dalata.2351	Acomosus.6148
Dalata.2358	Acomosus.6149
Dalata.2364	Acomosus.6152
Dalata.2374	Acomosus.6155
Dalata.2375	Acomosus.6156
Dalata.2377	Acomosus.6157
Dalata.2384	Acomosus.6159
Dalata.2404	Acomosus.6190
Dalata.2409	Acomosus.6188
Dalata.2417	Acomosus.6176
Dalata.2418	Acomosus.6177
Dalata.2453	Acomosus.6197
Dalata.2505	Acomosus.6169
Dalata.2587	Acomosus.6788
Dalata.2621	Acomosus.6777
Dalata.2624	Acomosus.6797
Dalata.2625	Acomosus.6798
Dalata.2628	Acomosus.6799
Dalata.2631	Acomosus.6801
Dalata.2636	Acomosus.6805
Dalata.2688	Acomosus.6811
Dalata.2695	Acomosus.6816
Dalata.2715	Acomosus.6825
Dalata.2717	Acomosus.6826
Dalata.2718	Acomosus.6828
Dalata.2720	Acomosus.6822
Dalata.2721	Acomosus.6823
Dalata.2722	Acomosus.6820
Dalata.2797	Acomosus.6851
Dalata.2798	Acomosus.6853
Dalata.2802	Acomosus.6854
Dalata.2826	Acomosus.6863
Dalata.2831	Acomosus.6865
Dalata.2834	Acomosus.6868
Dalata.2840	Acomosus.6872
Dalata.2864	Acomosus.6884
Dalata.2876	Acomosus.6888
Dalata.2880	Acomosus.6949
Dalata.2908	Acomosus.6948
Dalata.2909	Acomosus.6946
Dalata.2915	Acomosus.6942
Dalata.2920	Acomosus.6937
Dalata.2923	Acomosus.6934
Dalata.2950	Acomosus.6925
Dalata.2957	Acomosus.6922
Dalata.2961	Acomosus.6919
Dalata.2962	Acomosus.6918
Dalata.2963	Acomosus.6916
Dalata.2978	Acomosus.6903
Dalata.2982	Acomosus.6901
Dalata.2988	Acomosus.6895
Dalata.2990	Acomosus.6894
Dalata.2991	Acomosus.6892
Dalata.2993	Acomosus.6950
Dalata.3001	Acomosus.6954
Dalata.3004	Acomosus.6956
Dalata.3006	Acomosus.6958
Dalata.3010	Acomosus.6961
Dalata.3011	Acomosus.6963
Dalata.3018	Acomosus.1477
Dalata.3019	Acomosus.1476
Dalata.3020	Acomosus.1451
Dalata.3024	Acomosus.1346
Dalata.3026	Acomosus.1469
Dalata.3029	Acomosus.1457
Dalata.3035	Acomosus.1358
Dalata.3043	Acomosus.1364
Dalata.3050	Acomosus.1368
Dalata.3056	Acomosus.1381
Dalata.3058	Acomosus.1426
Dalata.3074	Acomosus.1400
Dalata.3080	Acomosus.1409
Dalata.3081	Acomosus.1408
Dalata.3082	Acomosus.1407
Dalata.3084	Acomosus.1385
Dalata.3089	Acomosus.1378
Dalata.3090	Acomosus.1377
Dalata.3095	Acomosus.1387
Dalata.3099	Acomosus.1392
Dalata.3106	Acomosus.1435
Dalata.3108	Acomosus.1432
Dalata.3113	Acomosus.1428
Dalata.3113	Acomosus.1429
Dalata.3116	Acomosus.1396
Dalata.3117	Acomosus.1397
Dalata.3121	Acomosus.1335
Dalata.3130	Acomosus.671
Dalata.3131	Acomosus.672
Dalata.3137	Acomosus.677
Dalata.3140	Acomosus.697
Dalata.3142	Acomosus.696
Dalata.3143	Acomosus.695
Dalata.3144	Acomosus.694
Dalata.3145	Acomosus.693
Dalata.3149	Acomosus.690
Dalata.3155	Acomosus.686
Dalata.3159	Acomosus.683
Dalata.3179	Acomosus.705
Dalata.3181	Acomosus.706
Dalata.3184	Acomosus.711
Dalata.3185	Acomosus.712
Dalata.3188	Acomosus.714
Dalata.3192	Acomosus.718
Dalata.3193	Acomosus.719
Dalata.3197	Acomosus.722
Dalata.3200	Acomosus.725
Dalata.3201	Acomosus.726
Dalata.3203	Acomosus.728
Dalata.3204	Acomosus.727
Dalata.3206	Acomosus.752
Dalata.3230	Acomosus.731
Dalata.3235	Acomosus.755
Dalata.3237	Acomosus.756
Dalata.3239	Acomosus.757
Dalata.3247	Acomosus.758
Dalata.3249	Acomosus.826
Dalata.3252	Acomosus.823
Dalata.3253	Acomosus.820
Dalata.3255	Acomosus.818
Dalata.3258	Acomosus.817
Dalata.3259	Acomosus.816
Dalata.3262	Acomosus.812
Dalata.3265	Acomosus.808
Dalata.3275	Acomosus.803
Dalata.3283	Acomosus.802
Dalata.3308	Acomosus.787
Dalata.3314	Acomosus.783
Dalata.3316	Acomosus.782
Dalata.3317	Acomosus.780
Dalata.3319	Acomosus.778
Dalata.3334	Acomosus.763
Dalata.3337	Acomosus.760
Dalata.3340	Acomosus.827
Dalata.3341	Acomosus.829
Dalata.3342	Acomosus.830
Dalata.3344	Acomosus.831
Dalata.3349	Acomosus.832
Dalata.3351	Acomosus.834
Dalata.3352	Acomosus.835
Dalata.3355	Acomosus.842
Dalata.3361	Acomosus.848
Dalata.3376	Acomosus.855
Dalata.3377	Acomosus.861
Dalata.3381	Acomosus.866
Dalata.3383	Acomosus.867
Dalata.3387	Acomosus.869
Dalata.3389	Acomosus.870
Dalata.3391	Acomosus.885
Dalata.3393	Acomosus.876
Dalata.3402	Acomosus.1015
Dalata.3404	Acomosus.1016
Dalata.3409	Acomosus.893
Dalata.3415	Acomosus.907
Dalata.3431	Acomosus.919
Dalata.3442	Acomosus.923
Dalata.3443	Acomosus.924
Dalata.3444	Acomosus.896
Dalata.3455	Acomosus.1029
Dalata.3464	Acomosus.940
Dalata.3467	Acomosus.1008
Dalata.3469	Acomosus.944
Dalata.3483	Acomosus.960
Dalata.3491	Acomosus.962
Dalata.3495	Acomosus.970
Dalata.3497	Acomosus.974
Dalata.3498	Acomosus.958
Dalata.3499	Acomosus.992
Dalata.3501	Acomosus.1025
Dalata.3508	Acomosus.983
Dalata.3509	Acomosus.984
Dalata.3512	Acomosus.980
Dalata.3535	Acomosus.990
Dalata.3540	Acomosus.1004
Dalata.3545	Acomosus.1003
Dalata.3562	Acomosus.996
Dalata.4268	Acomosus.3058
Dalata.4270	Acomosus.3059
Dalata.4272	Acomosus.3060
Dalata.4274	Acomosus.3061
Dalata.4278	Acomosus.3064
Dalata.4322	Acomosus.3251
Dalata.4323	Acomosus.3250
Dalata.4324	Acomosus.3249
Dalata.4335	Acomosus.3242
Dalata.4338	Acomosus.3237
Dalata.4339	Acomosus.3236
Dalata.4342	Acomosus.3234
Dalata.4343	Acomosus.3233
Dalata.4346	Acomosus.3229
Dalata.4351	Acomosus.3224
Dalata.4356	Acomosus.3215
Dalata.4359	Acomosus.3214
Dalata.4362	Acomosus.3210
Dalata.4371	Acomosus.3185
Dalata.4376	Acomosus.3186
Dalata.4383	Acomosus.3191
Dalata.4389	Acomosus.2691
Dalata.4396	Acomosus.2686
Dalata.4403	Acomosus.2683
Dalata.4404	Acomosus.2682
Dalata.4405	Acomosus.2681
Dalata.4409	Acomosus.2678
Dalata.4415	Acomosus.2675
Dalata.4429	Acomosus.2708
Dalata.4434	Acomosus.2713
Dalata.4444	Acomosus.2720
Dalata.4466	Acomosus.2734
Dalata.4468	Acomosus.2733
Dalata.4478	Acomosus.3767
Dalata.4494	Acomosus.3762
Dalata.4497	Acomosus.3760
Dalata.4498	Acomosus.3759
Dalata.4499	Acomosus.3758
Dalata.4500	Acomosus.3756
Dalata.4503	Acomosus.3755
Dalata.4504	Acomosus.3753
Dalata.4506	Acomosus.3754
Dalata.4509	Acomosus.3750
Dalata.4513	Acomosus.3751
Dalata.4514	Acomosus.3748
Dalata.4542	Acomosus.3727
Dalata.4546	Acomosus.3729
Dalata.4550	Acomosus.3726
Dalata.4552	Acomosus.3722
Dalata.4553	Acomosus.3718
Dalata.4555	Acomosus.3717
Dalata.4556	Acomosus.3712
Dalata.4564	Acomosus.3706
Dalata.4574	Acomosus.3705
Dalata.4579	Acomosus.3692
Dalata.4582	Acomosus.3698
Dalata.4583	Acomosus.3689
Dalata.4585	Acomosus.3687
Dalata.4586	Acomosus.3686
Dalata.4590	Acomosus.3673
Dalata.4596	Acomosus.3670
Dalata.4596	Acomosus.3679
Dalata.4597	Acomosus.3667
Dalata.4604	Acomosus.3621
Dalata.4605	Acomosus.3622
Dalata.4606	Acomosus.3623
Dalata.4610	Acomosus.3628
Dalata.4611	Acomosus.3629
Dalata.4612	Acomosus.3632
Dalata.4615	Acomosus.3635
Dalata.4619	Acomosus.3637
Dalata.4622	Acomosus.3641
Dalata.4634	Acomosus.3609
Dalata.4637	Acomosus.3645
Dalata.4646	Acomosus.3649
Dalata.4647	Acomosus.3651
Dalata.4657	Acomosus.3654
Dalata.4664	Acomosus.3656
Dalata.4674	Acomosus.3619
Dalata.4682	Acomosus.3617
Dalata.4687	Acomosus.3607
Dalata.4696	Acomosus.3643
Dalata.4700	Acomosus.3614
Dalata.4707	Acomosus.3605
Dalata.4713	Acomosus.3602
Dalata.4718	Acomosus.3597
Dalata.4723	Acomosus.3596
Dalata.4727	Acomosus.3587
Dalata.4728	Acomosus.3585
Dalata.4734	Acomosus.3578
Dalata.4735	Acomosus.3577
Dalata.4739	Acomosus.3574
Dalata.4740	Acomosus.3575
Dalata.4743	Acomosus.3570
Dalata.4746	Acomosus.3542
Dalata.4748	Acomosus.3566
Dalata.4750	Acomosus.3565
Dalata.4751	Acomosus.3564
Dalata.4759	Acomosus.3556
Dalata.4765	Acomosus.3562
Dalata.4767	Acomosus.3563
Dalata.4774	Acomosus.3546
Dalata.4780	Acomosus.3544
Dalata.4787	Acomosus.3539
Dalata.4789	Acomosus.3538
Dalata.4803	Acomosus.3537
Dalata.4805	Acomosus.3535
Dalata.4809	Acomosus.3532
Dalata.4810	Acomosus.3531
Dalata.4811	Acomosus.3530
Dalata.4812	Acomosus.3524
Dalata.4821	Acomosus.3521
Dalata.4837	Acomosus.3506
Dalata.4847	Acomosus.3515
Dalata.4849	Acomosus.3517
Dalata.4853	Acomosus.3518
Dalata.4854	Acomosus.3519
Dalata.3028	Acomosus.5431
Dalata.3055	Acomosus.5342
Dalata.3059	Acomosus.5400
Dalata.3064	Acomosus.5396
Dalata.3067	Acomosus.5389
Dalata.3077	Acomosus.5371
Dalata.3079	Acomosus.5366
Dalata.3085	Acomosus.5383
Dalata.3087	Acomosus.5384
Dalata.3105	Acomosus.5412
Dalata.3124	Acomosus.5439
